"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48149","0","10","70","0","2016","1","","Fayette County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",810,9216,9172,9181,81691341,43720741,606223,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.1,-350,-3.7,-352,-3.7,-323,-3.4,-9100260,-10.0,-3005306,-6.4,2449,0.4,-49,-6.7
"48149","0","10","70","0","2016","2","","Fayette County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",814,9227,9215,9298,83087368,14446118,170319,691,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.8,-264,-2.8,-321,-3.4,-241,-2.5,-7563275,-8.3,-1734454,-10.7,-19602,-10.3,-41,-5.6
"48149","0","10","70","0","2016","3","","Fayette County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",814,9187,9165,9073,87447547,8269428,103851,736,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.5,-211,-2.2,-181,-1.9,-202,-2.2,-1245358,-1.4,-616570,-6.9,-1398,-1.3,6,0.8
"48149","0","10","70","0","2016","4","","Fayette County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",811,9136,9168,9159,90631040,6355786,95268,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.8,-217,-2.3,-148,-1.6,-169,-1.8,-3382536,-3.6,-321249,-4.8,13471,16.5,-13,-1.7
"48149","1","10","71","0","2016","1","","Fayette County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,65,66,745797,0,0,856,"",2.75,0.38,0.36,0.36,0.32,0.00,0.00,0.87,"",0,0.0,6,9.4,0,0.0,3,4.8,-91074,-10.9,0,0.0,0,0.0,-150,-14.9
"48149","1","10","71","0","2016","2","","Fayette County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,70,62,65,727743,0,0,852,"",2.56,0.39,0.34,0.36,0.32,0.00,0.00,0.88,"",-1,-7.1,8,12.9,-6,-8.8,-7,-9.7,-10553,-1.4,0,0.0,0,0.0,9,1.1
"48149","1","10","71","0","2016","3","","Fayette County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,64,67,74,823546,0,0,927,"",2.58,0.35,0.37,0.42,0.30,0.00,0.00,0.80,"",-1,-7.1,0,0.0,1,1.5,9,13.8,13156,1.6,0,0.0,0,0.0,-32,-3.3
"48149","1","10","71","0","2016","4","","Fayette County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,73,72,72,788447,0,0,838,"",2.61,0.41,0.40,0.40,0.31,0.00,0.00,0.76,"",-1,-7.1,3,4.3,3,4.3,4,5.9,-17217,-2.1,0,0.0,0,0.0,-60,-6.7
"48149","1","102","72","0","2016","1","","Fayette County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,70,65,66,745797,0,0,856,"",2.75,0.39,0.36,0.37,0.33,0.00,0.00,0.87,"",0,0.0,6,9.4,0,0.0,3,4.8,-91074,-10.9,0,0.0,0,0.0,-150,-14.9
"48149","1","102","72","0","2016","2","","Fayette County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,70,62,65,727743,0,0,852,"",2.57,0.39,0.35,0.36,0.33,0.00,0.00,0.88,"",-1,-7.1,8,12.9,-6,-8.8,-7,-9.7,-10553,-1.4,0,0.0,0,0.0,9,1.1
"48149","1","102","72","0","2016","3","","Fayette County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,64,67,74,823546,0,0,927,"",2.59,0.36,0.38,0.42,0.31,0.00,0.00,0.80,"",-1,-7.1,0,0.0,1,1.5,9,13.8,13156,1.6,0,0.0,0,0.0,-32,-3.3
"48149","1","102","72","0","2016","4","","Fayette County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,73,72,72,788447,0,0,838,"",2.62,0.42,0.41,0.41,0.31,0.00,0.00,0.76,"",-1,-7.1,3,4.3,3,4.3,4,5.9,-17217,-2.1,0,0.0,0,0.0,-60,-6.7
"48149","1","1021","73","0","2016","1","","Fayette County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",3.93,1.17,1.17,1.17,1.45,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","1021","73","0","2016","2","","Fayette County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.55,1.19,1.14,1.22,1.41,0.00,0.00,1.20,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","1021","73","0","2016","3","","Fayette County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.58,1.20,1.25,1.29,1.41,0.00,0.00,1.13,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","1021","73","0","2016","4","","Fayette County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.62,1.27,1.24,1.17,1.30,0.00,0.00,1.06,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","1028","73","0","2016","1","","Fayette County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,13,14,161080,0,0,826,"",1.92,0.18,0.13,0.14,0.11,0.00,0.00,0.73,"",0,0.0,6,50.0,0,0.0,2,16.7,-23772,-12.9,0,0.0,0,0.0,-327,-28.4
"48149","1","1028","73","0","2016","2","","Fayette County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,12,11,141463,0,0,796,"",1.94,0.18,0.12,0.11,0.10,0.00,0.00,0.73,"",0,0.0,6,50.0,-6,-33.3,-8,-42.1,-25379,-15.2,0,0.0,0,0.0,10,1.3
"48149","1","1028","73","0","2016","3","","Fayette County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,12,18,133744,0,0,753,"",1.95,0.11,0.12,0.19,0.08,0.00,0.00,0.58,"",0,0.0,-2,-15.4,-2,-14.3,5,38.5,-29043,-17.8,0,0.0,0,0.0,-186,-19.8
"48149","1","1028","73","0","2016","4","","Fayette County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,18,19,115377,0,0,484,"",1.97,0.19,0.19,0.20,0.08,0.00,0.00,0.40,"",0,0.0,0,0.0,1,5.9,2,11.8,-23554,-17.0,0,0.0,0,0.0,-133,-21.6
"48149","1","48-49","74","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",4.04,1.29,1.29,1.28,1.56,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","48-49","74","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.65,1.30,1.25,1.33,1.53,0.00,0.00,1.18,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","48-49","74","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.69,1.32,1.37,1.41,1.51,0.00,0.00,1.11,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","48-49","74","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.73,1.39,1.36,1.28,1.40,0.00,0.00,1.05,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","491","75","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",4.07,1.32,1.31,1.31,1.64,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","491","75","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.67,1.33,1.27,1.36,1.60,0.00,0.00,1.21,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","491","75","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.71,1.35,1.40,1.44,1.58,0.00,0.00,1.13,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","491","75","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.75,1.42,1.39,1.31,1.45,0.00,0.00,1.06,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","4911","76","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",4.07,1.32,1.31,1.31,1.64,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","4911","76","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.67,1.33,1.27,1.36,1.60,0.00,0.00,1.21,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","4911","76","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.71,1.35,1.40,1.44,1.58,0.00,0.00,1.13,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","4911","76","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.75,1.42,1.39,1.31,1.45,0.00,0.00,1.06,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","49111","77","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",4.07,1.32,1.31,1.31,1.64,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","49111","77","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.67,1.33,1.27,1.36,1.60,0.00,0.00,1.21,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","49111","77","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.71,1.35,1.40,1.44,1.58,0.00,0.00,1.13,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","49111","77","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.75,1.42,1.39,1.31,1.45,0.00,0.00,1.06,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","491110","78","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,52,52,52,584717,0,0,865,"",4.07,1.32,1.31,1.31,1.64,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,1,2.0,-67302,-10.3,0,0.0,0,0.0,-106,-10.9
"48149","1","491110","78","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,52,50,54,586280,0,0,867,"",3.67,1.33,1.27,1.36,1.60,0.00,0.00,1.21,"",-1,-10.0,2,4.0,0,0.0,1,1.9,14826,2.6,0,0.0,0,0.0,5,0.6
"48149","1","491110","78","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,53,55,56,689802,0,0,971,"",3.71,1.35,1.40,1.44,1.58,0.00,0.00,1.13,"",-1,-10.0,2,3.9,3,5.8,4,7.7,42199,6.5,0,0.0,0,0.0,7,0.7
"48149","1","491110","78","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,55,54,53,673070,0,0,959,"",3.75,1.42,1.39,1.31,1.45,0.00,0.00,1.06,"",-1,-10.0,3,5.8,2,3.8,2,3.9,6337,1.0,0,0.0,0,0.0,-34,-3.4
"48149","1","92","74","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,13,14,161080,0,0,826,"",1.92,0.18,0.13,0.14,0.11,0.00,0.00,0.73,"",0,0.0,6,50.0,0,0.0,2,16.7,-23772,-12.9,0,0.0,0,0.0,-327,-28.4
"48149","1","92","74","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,12,11,141463,0,0,796,"",1.94,0.18,0.12,0.11,0.10,0.00,0.00,0.73,"",0,0.0,6,50.0,-6,-33.3,-8,-42.1,-25379,-15.2,0,0.0,0,0.0,10,1.3
"48149","1","92","74","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,12,18,133744,0,0,753,"",1.95,0.11,0.12,0.19,0.08,0.00,0.00,0.58,"",0,0.0,-2,-15.4,-2,-14.3,5,38.5,-29043,-17.8,0,0.0,0,0.0,-186,-19.8
"48149","1","92","74","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,18,19,115377,0,0,484,"",1.97,0.19,0.19,0.20,0.08,0.00,0.00,0.40,"",0,0.0,0,0.0,1,5.9,2,11.8,-23554,-17.0,0,0.0,0,0.0,-133,-21.6
"48149","1","924","75","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,8,9,123094,0,0,947,"",4.25,2.12,1.33,1.49,1.44,0.00,0.00,0.87,"",0,0.0,4,44.4,-2,-20.0,0,0.0,-23837,-16.2,0,0.0,0,0.0,-264,-21.8
"48149","1","924","75","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,8,7,115045,0,0,915,"",4.27,2.25,1.25,1.00,1.41,0.00,0.00,0.95,"",0,0.0,5,55.6,-5,-38.5,-7,-50.0,-16692,-12.7,0,0.0,0,0.0,71,8.4
"48149","1","924","75","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,8,14,105239,0,0,810,"",4.31,1.14,1.16,2.10,0.97,0.00,0.00,0.66,"",0,0.0,0,0.0,-1,-11.1,6,75.0,-23155,-18.0,0,0.0,0,0.0,-375,-31.6
"48149","1","924","75","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,14,15,88946,0,0,477,"",4.38,2.18,2.25,2.45,1.06,0.00,0.00,0.46,"",0,0.0,1,7.7,2,16.7,3,25.0,-20202,-18.5,0,0.0,0,0.0,-204,-30.0
"48149","1","9241","76","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,8,9,123094,0,0,947,"",4.25,2.12,1.33,1.49,1.44,0.00,0.00,0.87,"",0,0.0,4,44.4,-2,-20.0,0,0.0,-23837,-16.2,0,0.0,0,0.0,-264,-21.8
"48149","1","9241","76","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,8,7,115045,0,0,915,"",4.27,2.25,1.25,1.00,1.41,0.00,0.00,0.95,"",0,0.0,5,55.6,-5,-38.5,-7,-50.0,-16692,-12.7,0,0.0,0,0.0,71,8.4
"48149","1","9241","76","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,8,14,105239,0,0,810,"",4.31,1.14,1.16,2.10,0.97,0.00,0.00,0.66,"",0,0.0,0,0.0,-1,-11.1,6,75.0,-23155,-18.0,0,0.0,0,0.0,-375,-31.6
"48149","1","9241","76","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,14,15,88946,0,0,477,"",4.38,2.18,2.25,2.45,1.06,0.00,0.00,0.46,"",0,0.0,1,7.7,2,16.7,3,25.0,-20202,-18.5,0,0.0,0,0.0,-204,-30.0
"48149","1","92412","77","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,8,9,123094,0,0,947,"",4.47,2.60,1.64,1.83,1.92,0.00,0.00,0.95,"",0,0.0,4,44.4,-2,-20.0,0,0.0,-23837,-16.2,0,0.0,0,0.0,-264,-21.8
"48149","1","92412","77","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,8,7,115045,0,0,915,"",4.49,2.75,1.51,1.20,1.86,0.00,0.00,1.04,"",0,0.0,5,55.6,-5,-38.5,-7,-50.0,-16692,-12.7,0,0.0,0,0.0,71,8.4
"48149","1","92412","77","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,8,14,105239,0,0,810,"",4.54,1.36,1.38,2.53,1.25,0.00,0.00,0.72,"",0,0.0,0,0.0,-1,-11.1,6,75.0,-23155,-18.0,0,0.0,0,0.0,-375,-31.6
"48149","1","92412","77","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,14,15,88946,0,0,477,"",4.60,2.63,2.74,2.99,1.39,0.00,0.00,0.50,"",0,0.0,1,7.7,2,16.7,3,25.0,-20202,-18.5,0,0.0,0,0.0,-204,-30.0
"48149","1","924120","78","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,8,9,123094,0,0,947,"",4.47,2.60,1.64,1.83,1.92,0.00,0.00,0.95,"",0,0.0,4,44.4,-2,-20.0,0,0.0,-23837,-16.2,0,0.0,0,0.0,-264,-21.8
"48149","1","924120","78","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,8,7,115045,0,0,915,"",4.49,2.75,1.51,1.20,1.86,0.00,0.00,1.04,"",0,0.0,5,55.6,-5,-38.5,-7,-50.0,-16692,-12.7,0,0.0,0,0.0,71,8.4
"48149","1","924120","78","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,8,14,105239,0,0,810,"",4.54,1.36,1.38,2.53,1.25,0.00,0.00,0.72,"",0,0.0,0,0.0,-1,-11.1,6,75.0,-23155,-18.0,0,0.0,0,0.0,-375,-31.6
"48149","1","924120","78","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,14,15,88946,0,0,477,"",4.60,2.63,2.74,2.99,1.39,0.00,0.00,0.50,"",0,0.0,1,7.7,2,16.7,3,25.0,-20202,-18.5,0,0.0,0,0.0,-204,-30.0
"48149","1","926","75","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,5,5,37986,0,0,584,"",2.89,0.31,0.32,0.32,0.15,0.00,0.00,0.48,"",0,0.0,2,66.7,2,66.7,2,66.7,65,0.2,0,0.0,0,0.0,-388,-39.9
"48149","1","926","75","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,26418,0,0,508,"",2.92,0.26,0.26,0.26,0.12,0.00,0.00,0.46,"",0,0.0,1,33.3,-1,-20.0,-1,-20.0,-8687,-24.7,0,0.0,0,0.0,-115,-18.5
"48149","1","926","75","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,4,4,28505,0,0,598,"",2.95,0.19,0.26,0.26,0.11,0.00,0.00,0.45,"",0,0.0,-2,-40.0,-1,-20.0,-1,-20.0,-5888,-17.1,0,0.0,0,0.0,69,13.0
"48149","1","926","75","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,4,4,26431,0,0,508,"",2.99,0.26,0.26,0.26,0.11,0.00,0.00,0.43,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-3352,-11.3,0,0.0,0,0.0,50,10.9
"48149","1","9261","76","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,5,5,37986,0,0,584,"",2.89,0.31,0.32,0.32,0.15,0.00,0.00,0.48,"",0,0.0,2,66.7,2,66.7,2,66.7,65,0.2,0,0.0,0,0.0,-388,-39.9
"48149","1","9261","76","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,26418,0,0,508,"",2.92,0.26,0.26,0.26,0.12,0.00,0.00,0.46,"",0,0.0,1,33.3,-1,-20.0,-1,-20.0,-8687,-24.7,0,0.0,0,0.0,-115,-18.5
"48149","1","9261","76","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,4,4,28505,0,0,598,"",2.95,0.19,0.26,0.26,0.11,0.00,0.00,0.45,"",0,0.0,-2,-40.0,-1,-20.0,-1,-20.0,-5888,-17.1,0,0.0,0,0.0,69,13.0
"48149","1","9261","76","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,4,4,26431,0,0,508,"",2.99,0.26,0.26,0.26,0.11,0.00,0.00,0.43,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-3352,-11.3,0,0.0,0,0.0,50,10.9
"48149","1","92611","77","0","2016","1","","Fayette County, Texas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,5128,0,0,131,"",5.35,1.09,1.10,1.10,0.12,0.00,0.00,0.11,"",0,0.0,2,200.0,2,200.0,2,200.0,1668,48.2,0,0.0,0,0.0,-135,-50.8
"48149","1","92611","77","0","2016","2","","Fayette County, Texas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,2904,0,0,112,"",5.41,0.73,0.74,0.73,0.07,0.00,0.00,0.10,"",0,0.0,1,100.0,-1,-33.3,-1,-33.3,-1884,-39.3,0,0.0,0,0.0,-46,-29.1
"48149","1","92611","77","0","2016","3","","Fayette County, Texas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,2,2,2595,0,0,120,"",5.48,0.36,0.73,0.74,0.05,0.00,0.00,0.09,"",0,0.0,-2,-66.7,-1,-33.3,-1,-33.3,-1085,-29.5,0,0.0,0,0.0,26,27.7
"48149","1","92611","77","0","2016","4","","Fayette County, Texas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,3706,0,0,143,"",5.52,0.73,0.73,0.73,0.09,0.00,0.00,0.12,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,309,9.1,0,0.0,0,0.0,56,64.4
