"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48163","0","10","70","0","2016","1","","Frio County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",433,6371,6395,6182,66968956,31679070,782196,816,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,2.6,-1294,-16.9,-1281,-16.7,-1238,-16.7,-29360352,-30.5,-9278909,-22.7,-167010,-17.6,-161,-16.5
"48163","0","10","70","0","2016","2","","Frio County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",428,6115,6182,6107,65739733,9296281,192180,824,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-2.3,-1389,-18.5,-1216,-16.4,-1198,-16.4,-22709576,-25.7,-2240573,-19.4,-35452,-15.6,-95,-10.3
"48163","0","10","70","0","2016","3","","Frio County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",422,6011,6030,6034,69088481,5257575,107732,882,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-3.2,-1012,-14.4,-781,-11.5,-666,-9.9,-9624005,-12.2,-607902,-10.4,5340,5.2,-3,-0.3
"48163","0","10","70","0","2016","4","","Frio County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",423,6054,6221,6212,69823229,5567280,152198,872,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.6,-528,-8.0,-274,-4.2,-232,-3.6,-8781238,-11.2,127776,2.3,55009,56.6,-57,-6.1
"48163","1","10","71","0","2016","1","","Frio County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,141,138,138,3258001,0,0,1803,"",2.93,1.11,1.09,1.13,1.71,0.00,0.00,1.54,"",0,0.0,37,35.6,36,35.3,39,39.4,1008987,44.9,0,0.0,0,0.0,101,5.9
"48163","1","10","71","0","2016","2","","Frio County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,142,141,136,2858992,0,0,1575,"",3.00,1.19,1.17,1.13,1.59,0.00,0.00,1.36,"",0,0.0,38,36.5,43,43.9,35,34.7,855071,42.7,0,0.0,0,0.0,49,3.2
"48163","1","10","71","0","2016","3","","Frio County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,139,141,134,3254356,0,0,1814,"",2.68,1.16,1.18,1.13,1.52,0.00,0.00,1.31,"",-1,-12.5,27,24.1,27,23.7,17,14.5,750920,30.0,0,0.0,0,0.0,130,7.7
"48163","1","10","71","0","2016","4","","Frio County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,142,146,148,3195810,0,0,1692,"",2.69,1.20,1.20,1.21,1.62,0.00,0.00,1.35,"",-1,-12.5,9,6.8,8,5.8,12,8.8,560772,21.3,0,0.0,0,0.0,198,13.3
"48163","1","102","72","0","2016","1","","Frio County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,141,138,138,3258001,0,0,1803,"",2.94,1.13,1.11,1.15,1.74,0.00,0.00,1.54,"",0,0.0,37,35.6,36,35.3,39,39.4,1008987,44.9,0,0.0,0,0.0,101,5.9
"48163","1","102","72","0","2016","2","","Frio County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,142,141,136,2858992,0,0,1575,"",3.00,1.21,1.19,1.15,1.61,0.00,0.00,1.36,"",0,0.0,38,36.5,43,43.9,35,34.7,855071,42.7,0,0.0,0,0.0,49,3.2
"48163","1","102","72","0","2016","3","","Frio County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,139,141,134,3254356,0,0,1814,"",2.69,1.18,1.20,1.15,1.55,0.00,0.00,1.31,"",-1,-12.5,27,24.1,27,23.7,17,14.5,750920,30.0,0,0.0,0,0.0,130,7.7
"48163","1","102","72","0","2016","4","","Frio County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,142,146,148,3195810,0,0,1692,"",2.70,1.22,1.23,1.23,1.65,0.00,0.00,1.35,"",-1,-12.5,9,6.8,8,5.8,12,8.8,560772,21.3,0,0.0,0,0.0,198,13.3
"48163","1","1021","73","0","2016","1","","Frio County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,8,10,9,102707,0,0,878,"",2.94,0.26,0.32,0.30,0.31,0.00,0.00,1.05,"",0,0.0,-1,-11.1,1,11.1,0,0.0,-17185,-14.3,0,0.0,0,0.0,-147,-14.3
"48163","1","1021","73","0","2016","2","","Frio County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,8,8,8,103607,0,0,996,"",3.00,0.28,0.27,0.28,0.32,0.00,0.00,1.15,"",0,0.0,-1,-11.1,0,0.0,0,0.0,-453,-0.4,0,0.0,0,0.0,35,3.6
"48163","1","1021","73","0","2016","3","","Frio County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,9,9,9,118233,0,0,1011,"",3.07,0.31,0.31,0.31,0.31,0.00,0.00,0.98,"",0,0.0,1,12.5,1,12.5,1,12.5,13587,13.0,0,0.0,0,0.0,5,0.5
"48163","1","1021","73","0","2016","4","","Frio County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,9,8,8,125246,0,0,1156,"",3.09,0.31,0.27,0.26,0.31,0.00,0.00,1.11,"",0,0.0,1,12.5,-1,-11.1,-1,-11.1,17783,16.5,0,0.0,0,0.0,202,21.2
"48163","1","1028","73","0","2016","1","","Frio County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,133,128,129,3155294,0,0,1867,"",3.60,1.93,1.86,1.94,2.64,0.00,0.00,1.38,"",0,0.0,38,40.0,35,37.6,39,43.3,1026172,48.2,0,0.0,0,0.0,100,5.7
"48163","1","1028","73","0","2016","2","","Frio County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,134,133,128,2755385,0,0,1610,"",3.68,2.06,2.02,1.96,2.49,0.00,0.00,1.24,"",0,0.0,39,41.1,43,47.8,35,37.6,855524,45.0,0,0.0,0,0.0,33,2.1
"48163","1","1028","73","0","2016","3","","Frio County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,130,132,125,3136123,0,0,1870,"",2.82,1.99,2.03,1.94,2.38,0.00,0.00,1.20,"",-1,-25.0,26,25.0,26,24.5,16,14.7,737333,30.7,0,0.0,0,0.0,135,7.8
"48163","1","1028","73","0","2016","4","","Frio County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,133,138,140,3070564,0,0,1724,"",2.84,2.07,2.10,2.12,2.64,0.00,0.00,1.26,"",-1,-25.0,8,6.4,9,7.0,13,10.2,542989,21.5,0,0.0,0,0.0,193,12.6
"48163","1","48-49","74","0","2016","1","","Frio County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,10,9,102707,0,0,878,"",3.02,0.29,0.35,0.33,0.33,0.00,0.00,1.03,"",0,0.0,-1,-11.1,1,11.1,0,0.0,-17185,-14.3,0,0.0,0,0.0,-147,-14.3
"48163","1","48-49","74","0","2016","2","","Frio County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,8,8,103607,0,0,996,"",3.08,0.30,0.30,0.30,0.34,0.00,0.00,1.14,"",0,0.0,-1,-11.1,0,0.0,0,0.0,-453,-0.4,0,0.0,0,0.0,35,3.6
"48163","1","48-49","74","0","2016","3","","Frio County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,9,9,118233,0,0,1011,"",3.16,0.34,0.34,0.34,0.33,0.00,0.00,0.96,"",0,0.0,1,12.5,1,12.5,1,12.5,13587,13.0,0,0.0,0,0.0,5,0.5
"48163","1","48-49","74","0","2016","4","","Frio County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,8,8,125246,0,0,1156,"",3.18,0.34,0.30,0.28,0.34,0.00,0.00,1.10,"",0,0.0,1,12.5,-1,-11.1,-1,-11.1,17783,16.5,0,0.0,0,0.0,202,21.2
"48163","1","491","75","0","2016","1","","Frio County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,8,10,9,102707,0,0,878,"",3.05,0.29,0.36,0.34,0.35,0.00,0.00,1.06,"",0,0.0,-1,-11.1,1,11.1,0,0.0,-17185,-14.3,0,0.0,0,0.0,-147,-14.3
"48163","1","491","75","0","2016","2","","Frio County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,8,8,8,103607,0,0,996,"",3.11,0.31,0.30,0.31,0.36,0.00,0.00,1.16,"",0,0.0,-1,-11.1,0,0.0,0,0.0,-453,-0.4,0,0.0,0,0.0,35,3.6
