"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48187","0","10","70","0","2016","1","","Guadalupe County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2049,37264,37526,37672,366620506,191584493,3165833,752,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,2.8,4410,13.4,4367,13.2,4072,12.1,37845280,11.5,24578256,14.7,99941,3.3,-10,-1.3
"48187","0","10","70","0","2016","2","","Guadalupe County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2070,38170,38390,38725,383110506,64825159,967308,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",71,3.6,4375,12.9,4507,13.3,4462,13.0,48467695,14.5,11349433,21.2,30432,3.2,9,1.2
"48187","0","10","70","0","2016","3","","Guadalupe County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2083,38656,38385,38856,397611740,42110376,605214,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",76,3.8,4346,12.7,4264,12.5,4414,12.8,52088872,15.1,7952882,23.3,-10617,-1.7,17,2.2
"48187","0","10","70","0","2016","4","","Guadalupe County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2095,39188,40196,39852,416382026,42015338,588261,806,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",83,4.1,4292,12.3,5148,14.7,4717,13.4,38429025,10.2,12407352,41.9,63265,12.1,-24,-2.9
"48187","1","10","71","0","2016","1","","Guadalupe County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,206,207,206,3090598,0,0,1152,"",1.32,0.28,0.28,0.28,0.30,0.00,0.00,1.07,"",0,0.0,5,2.5,1,0.5,5,2.5,-218407,-6.6,0,0.0,0,0.0,-104,-8.3
"48187","1","10","71","0","2016","2","","Guadalupe County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,206,208,211,3004231,0,0,1109,"",1.32,0.28,0.28,0.28,0.29,0.00,0.00,1.03,"",0,0.0,-9,-4.2,5,2.5,-1,-0.5,41268,1.4,0,0.0,0,0.0,24,2.2
"48187","1","10","71","0","2016","3","","Guadalupe County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,204,216,213,3429399,0,0,1250,"",1.32,0.27,0.28,0.28,0.28,0.00,0.00,1.01,"",0,0.0,-10,-4.7,8,3.8,5,2.4,-15377,-0.4,0,0.0,0,0.0,-12,-1.0
"48187","1","10","71","0","2016","4","","Guadalupe County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,216,219,241,3430922,0,0,1171,"",1.32,0.28,0.28,0.31,0.29,0.00,0.00,1.01,"",0,0.0,4,1.9,12,5.8,27,12.6,149369,4.6,0,0.0,0,0.0,-25,-2.1
"48187","1","102","72","0","2016","1","","Guadalupe County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,206,207,206,3090598,0,0,1152,"",1.32,0.28,0.28,0.28,0.30,0.00,0.00,1.07,"",0,0.0,5,2.5,1,0.5,5,2.5,-218407,-6.6,0,0.0,0,0.0,-104,-8.3
"48187","1","102","72","0","2016","2","","Guadalupe County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,206,208,211,3004231,0,0,1109,"",1.32,0.28,0.28,0.28,0.29,0.00,0.00,1.03,"",0,0.0,-9,-4.2,5,2.5,-1,-0.5,41268,1.4,0,0.0,0,0.0,24,2.2
