"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48189","0","10","70","0","2016","1","","Hale County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",896,11540,11626,11660,97841597,55575915,891176,648,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.4,-180,-1.5,5,0.0,18,0.2,981978,1.0,70405,0.1,-55000,-5.8,9,1.4
"48189","0","10","70","0","2016","2","","Hale County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",894,11664,11686,11585,101204775,22356676,333042,669,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,-112,-1.0,-103,-0.9,-202,-1.7,4171595,4.3,-124478,-0.6,-25562,-7.1,36,5.7
"48189","0","10","70","0","2016","3","","Hale County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",898,11774,11930,12003,102820422,12217627,201529,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-146,-1.2,-168,-1.4,-131,-1.1,-434550,-0.4,-1888730,-13.4,-35792,-15.1,6,0.9
"48189","0","10","70","0","2016","4","","Hale County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",889,11961,12212,12090,110503313,11872849,233286,703,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.6,-93,-0.8,68,0.6,11,0.1,-896715,-0.8,10388,0.1,-1647,-0.7,-6,-0.8
"48189","1","10","71","0","2016","1","","Hale County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,77,72,73,960623,0,0,999,"",1.60,0.34,0.31,0.32,0.35,0.00,0.00,1.07,"",0,0.0,6,8.5,-3,-4.0,-2,-2.7,-97421,-9.2,0,0.0,0,0.0,-106,-9.6
"48189","1","10","71","0","2016","2","","Hale County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,73,79,75,930517,0,0,946,"",1.61,0.32,0.35,0.33,0.34,0.00,0.00,1.01,"",0,0.0,4,5.8,6,8.2,4,5.6,28198,3.1,0,0.0,0,0.0,-32,-3.3
"48189","1","10","71","0","2016","3","","Hale County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,80,76,76,1087825,0,0,1082,"",1.80,0.34,0.32,0.32,0.34,0.00,0.00,1.04,"",1,11.1,9,12.7,3,4.1,3,4.1,14326,1.3,0,0.0,0,0.0,-60,-5.3
"48189","1","10","71","0","2016","4","","Hale County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,78,76,77,984849,0,0,984,"",1.83,0.33,0.32,0.32,0.32,0.00,0.00,0.97,"",1,11.1,7,9.9,-1,-1.3,0,0.0,-38433,-3.8,0,0.0,0,0.0,-66,-6.3
"48189","1","102","72","0","2016","1","","Hale County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,77,72,73,960623,0,0,999,"",1.60,0.34,0.32,0.32,0.35,0.00,0.00,1.07,"",0,0.0,6,8.5,-3,-4.0,-2,-2.7,-97421,-9.2,0,0.0,0,0.0,-106,-9.6
"48189","1","102","72","0","2016","2","","Hale County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,73,79,75,930517,0,0,946,"",1.62,0.33,0.35,0.34,0.34,0.00,0.00,1.01,"",0,0.0,4,5.8,6,8.2,4,5.6,28198,3.1,0,0.0,0,0.0,-32,-3.3
"48189","1","102","72","0","2016","3","","Hale County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,80,76,76,1087825,0,0,1082,"",1.80,0.35,0.33,0.33,0.35,0.00,0.00,1.04,"",1,11.1,9,12.7,3,4.1,3,4.1,14326,1.3,0,0.0,0,0.0,-60,-5.3
"48189","1","102","72","0","2016","4","","Hale County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,78,76,77,984849,0,0,984,"",1.84,0.34,0.33,0.33,0.32,0.00,0.00,0.97,"",1,11.1,7,9.9,-1,-1.3,0,0.0,-38433,-3.8,0,0.0,0,0.0,-66,-6.3
