"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48211","0","10","70","0","2016","1","","Hemphill County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",228,2021,1999,1962,30516028,11035784,187667,1177,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-3.4,-353,-14.9,-359,-15.2,-347,-15.0,-5576120,-15.4,-2721494,-19.8,-10108,-5.1,-6,-0.5
"48211","0","10","70","0","2016","2","","Hemphill County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",226,1932,1973,2043,26740461,2460121,39525,1037,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-3.0,-349,-15.3,-311,-13.6,-260,-11.3,-3584467,-11.8,170621,7.5,18022,83.8,18,1.8
"48211","0","10","70","0","2016","3","","Hemphill County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",224,2051,2049,2067,29342742,2187512,40875,1098,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-4.3,-157,-7.1,-129,-5.9,-69,-3.2,434237,1.5,-9745,-0.4,10352,33.9,75,7.3
"48211","0","10","70","0","2016","4","","Hemphill County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",228,2069,2070,2097,29550585,1824073,38132,1094,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.9,-64,-3.0,-22,-1.1,16,0.8,-1066138,-3.5,484455,36.2,13405,54.2,-26,-2.3
"48211","1","10","71","0","2016","1","","Hemphill County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,9,10,11,86181,0,0,663,"",2.79,0.22,0.25,0.28,0.10,0.00,0.00,0.39,"",0,0.0,0,0.0,1,11.1,3,37.5,-13424,-13.5,0,0.0,0,0.0,-221,-25.0
"48211","1","10","71","0","2016","2","","Hemphill County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,12,10,97207,0,0,641,"",2.84,0.34,0.31,0.25,0.13,0.00,0.00,0.44,"",0,0.0,5,62.5,4,50.0,2,25.0,9275,10.5,0,0.0,0,0.0,-205,-24.2
"48211","1","10","71","0","2016","3","","Hemphill County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,14,12,114944,0,0,680,"",2.89,0.32,0.35,0.30,0.13,0.00,0.00,0.40,"",0,0.0,5,62.5,6,75.0,4,50.0,8355,7.8,0,0.0,0,0.0,-345,-33.7
"48211","1","10","71","0","2016","4","","Hemphill County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,12,10,12,109549,0,0,744,"",2.86,0.30,0.25,0.29,0.13,0.00,0.00,0.47,"",0,0.0,0,0.0,3,42.9,5,71.4,23942,28.0,0,0.0,0,0.0,-16,-2.1
"48211","1","102","72","0","2016","1","","Hemphill County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,9,10,11,86181,0,0,663,"",2.79,0.23,0.26,0.29,0.10,0.00,0.00,0.39,"",0,0.0,0,0.0,1,11.1,3,37.5,-13424,-13.5,0,0.0,0,0.0,-221,-25.0
"48211","1","102","72","0","2016","2","","Hemphill County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,12,10,97207,0,0,641,"",2.84,0.35,0.32,0.25,0.13,0.00,0.00,0.44,"",0,0.0,5,62.5,4,50.0,2,25.0,9275,10.5,0,0.0,0,0.0,-205,-24.2
"48211","1","102","72","0","2016","3","","Hemphill County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,14,12,114944,0,0,680,"",2.89,0.32,0.35,0.30,0.13,0.00,0.00,0.40,"",0,0.0,5,62.5,6,75.0,4,50.0,8355,7.8,0,0.0,0,0.0,-345,-33.7
"48211","1","102","72","0","2016","4","","Hemphill County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,12,10,12,109549,0,0,744,"",2.86,0.30,0.25,0.30,0.13,0.00,0.00,0.47,"",0,0.0,0,0.0,3,42.9,5,71.4,23942,28.0,0,0.0,0,0.0,-16,-2.1
"48211","1","1021","73","0","2016","1","","Hemphill County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,53796,0,0,1035,"",1.40,0.41,0.41,0.42,0.36,0.00,0.00,0.86,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-17600,-24.7,0,0.0,0,0.0,-142,-12.1
"48211","1","1021","73","0","2016","2","","Hemphill County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,6,6,63165,0,0,857,"",1.42,0.54,0.64,0.62,0.47,0.00,0.00,0.79,"",0,0.0,1,25.0,1,20.0,1,20.0,-412,-0.6,0,0.0,0,0.0,-191,-18.2
"48211","1","1021","73","0","2016","3","","Hemphill County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,74254,0,0,952,"",1.45,0.61,0.61,0.61,0.45,0.00,0.00,0.74,"",0,0.0,1,20.0,1,20.0,1,20.0,-2409,-3.1,0,0.0,0,0.0,-227,-19.3
"48211","1","1021","73","0","2016","4","","Hemphill County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,74114,0,0,950,"",1.43,0.61,0.61,0.58,0.44,0.00,0.00,0.73,"",0,0.0,0,0.0,2,50.0,2,50.0,15279,26.0,0,0.0,0,0.0,-20,-2.1
"48211","1","1028","73","0","2016","1","","Hemphill County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,6,7,32385,0,0,415,"",5.13,0.23,0.28,0.33,0.06,0.00,0.00,0.21,"",0,0.0,0,0.0,2,50.0,4,133.3,4176,14.8,0,0.0,0,0.0,-127,-23.4
"48211","1","1028","73","0","2016","2","","Hemphill County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,6,4,34042,0,0,436,"",5.23,0.39,0.29,0.18,0.08,0.00,0.00,0.27,"",0,0.0,4,100.0,3,100.0,1,33.3,9687,39.8,0,0.0,0,0.0,-126,-22.4
"48211","1","1028","73","0","2016","3","","Hemphill County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,8,6,40690,0,0,447,"",5.31,0.31,0.36,0.27,0.07,0.00,0.00,0.23,"",0,0.0,4,133.3,5,166.7,3,100.0,10764,36.0,0,0.0,0,0.0,-320,-41.7
"48211","1","1028","73","0","2016","4","","Hemphill County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,4,6,35435,0,0,511,"",5.26,0.27,0.18,0.27,0.07,0.00,0.00,0.30,"",0,0.0,0,0.0,1,33.3,3,100.0,8663,32.4,0,0.0,0,0.0,-4,-0.8
"48211","1","48-49","74","0","2016","1","","Hemphill County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,53796,0,0,1035,"",1.44,0.45,0.45,0.46,0.38,0.00,0.00,0.84,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-17600,-24.7,0,0.0,0,0.0,-142,-12.1
"48211","1","48-49","74","0","2016","2","","Hemphill County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,6,6,63165,0,0,857,"",1.46,0.60,0.70,0.67,0.51,0.00,0.00,0.78,"",0,0.0,1,25.0,1,20.0,1,20.0,-412,-0.6,0,0.0,0,0.0,-191,-18.2
"48211","1","48-49","74","0","2016","3","","Hemphill County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,74254,0,0,952,"",1.49,0.67,0.67,0.66,0.48,0.00,0.00,0.73,"",0,0.0,1,20.0,1,20.0,1,20.0,-2409,-3.1,0,0.0,0,0.0,-227,-19.3
"48211","1","48-49","74","0","2016","4","","Hemphill County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,74114,0,0,950,"",1.47,0.67,0.67,0.63,0.47,0.00,0.00,0.72,"",0,0.0,0,0.0,2,50.0,2,50.0,15279,26.0,0,0.0,0,0.0,-20,-2.1
"48211","1","491","75","0","2016","1","","Hemphill County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,53796,0,0,1035,"",1.45,0.46,0.46,0.47,0.40,0.00,0.00,0.87,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-17600,-24.7,0,0.0,0,0.0,-142,-12.1
"48211","1","491","75","0","2016","2","","Hemphill County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,6,6,63165,0,0,857,"",1.47,0.61,0.71,0.69,0.53,0.00,0.00,0.80,"",0,0.0,1,25.0,1,20.0,1,20.0,-412,-0.6,0,0.0,0,0.0,-191,-18.2
"48211","1","491","75","0","2016","3","","Hemphill County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,74254,0,0,952,"",1.50,0.68,0.68,0.68,0.51,0.00,0.00,0.74,"",0,0.0,1,20.0,1,20.0,1,20.0,-2409,-3.1,0,0.0,0,0.0,-227,-19.3
"48211","1","491","75","0","2016","4","","Hemphill County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,74114,0,0,950,"",1.48,0.68,0.68,0.65,0.49,0.00,0.00,0.73,"",0,0.0,0,0.0,2,50.0,2,50.0,15279,26.0,0,0.0,0,0.0,-20,-2.1
"48211","1","4911","76","0","2016","1","","Hemphill County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,53796,0,0,1035,"",1.45,0.46,0.46,0.47,0.40,0.00,0.00,0.87,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-17600,-24.7,0,0.0,0,0.0,-142,-12.1
"48211","1","4911","76","0","2016","2","","Hemphill County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,6,6,63165,0,0,857,"",1.47,0.61,0.71,0.69,0.53,0.00,0.00,0.80,"",0,0.0,1,25.0,1,20.0,1,20.0,-412,-0.6,0,0.0,0,0.0,-191,-18.2
