"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48269","0","10","70","0","2016","1","","King County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20,80,80,82,781143,113018,1134,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-21,-20.8,-22,-21.6,-20,-19.6,-709144,-47.6,-237855,-67.8,-773,-40.5,-383,-34.0
"48269","0","10","70","0","2016","2","","King County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20,83,82,92,810991,42966,590,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-4.8,-34,-29.1,-38,-31.7,-32,-25.8,-1004821,-55.3,-50241,-53.9,-448,-43.2,-433,-37.3
"48269","0","10","70","0","2016","3","","King County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",21,90,92,93,794312,20409,302,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-31,-25.6,-33,-26.4,-26,-21.8,-1316906,-62.4,-26915,-56.9,-34,-10.1,-668,-50.0
"48269","0","10","70","0","2016","4","","King County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",21,80,78,78,871221,16737,89,852,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-27,-25.2,-35,-31.0,-34,-30.4,-1287928,-59.6,-13426,-44.5,-46,-34.1,-649,-43.2
"48269","1","10","71","0","2016","1","","King County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,2,2,2,21853,0,0,841,"",15.88,1.26,1.26,1.24,0.98,0.00,0.00,0.79,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-12562,-36.5,0,0.0,0,0.0,-41,-4.6
"48269","1","10","71","0","2016","2","","King County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,2,1,2,22866,0,0,1055,"",16.03,1.23,0.62,1.11,1.03,0.00,0.00,1.03,"",0,0.0,-1,-33.3,-2,-66.7,-1,-33.3,-6308,-21.6,0,0.0,0,0.0,307,41.0
"48269","1","10","71","0","2016","3","","King County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,1,2,2,6218,0,0,287,"",15.40,0.56,1.10,1.09,0.25,0.00,0.00,0.27,"",0,0.0,-2,-66.7,-1,-33.3,-1,-33.3,-28119,-81.9,0,0.0,0,0.0,-593,-67.4
"48269","1","10","71","0","2016","4","","King County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,2,2,2,20293,0,0,781,"",15.51,1.28,1.32,1.30,0.83,0.00,0.00,0.64,"",0,0.0,-1,-33.3,0,0.0,0,0.0,1064,5.5,0,0.0,0,0.0,147,23.2
"48269","1","102","72","0","2016","1","","King County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,2,2,2,21853,0,0,841,"",15.92,1.28,1.29,1.26,1.00,0.00,0.00,0.79,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-12562,-36.5,0,0.0,0,0.0,-41,-4.6
"48269","1","102","72","0","2016","2","","King County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,2,1,2,22866,0,0,1055,"",16.07,1.25,0.63,1.13,1.05,0.00,0.00,1.03,"",0,0.0,-1,-33.3,-2,-66.7,-1,-33.3,-6308,-21.6,0,0.0,0,0.0,307,41.0
"48269","1","102","72","0","2016","3","","King County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,1,2,2,6218,0,0,287,"",15.43,0.57,1.12,1.11,0.26,0.00,0.00,0.27,"",0,0.0,-2,-66.7,-1,-33.3,-1,-33.3,-28119,-81.9,0,0.0,0,0.0,-593,-67.4
"48269","1","102","72","0","2016","4","","King County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,2,2,2,20293,0,0,781,"",15.54,1.30,1.34,1.32,0.84,0.00,0.00,0.64,"",0,0.0,-1,-33.3,0,0.0,0,0.0,1064,5.5,0,0.0,0,0.0,147,23.2
