"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48323","0","10","70","0","2016","1","","Maverick County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",886,17750,17738,17834,135484134,64701773,1144882,586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,547,3.2,511,3.0,483,2.8,2166831,1.6,-593441,-0.9,29939,2.7,-8,-1.3
"48323","0","10","70","0","2016","2","","Maverick County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",891,17947,17983,17848,136268107,32981664,583765,585,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.3,291,1.6,92,0.5,-38,-0.2,3600527,2.7,1499779,4.8,56427,10.7,12,2.1
"48323","0","10","70","0","2016","3","","Maverick County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",886,17138,17138,17443,141477455,17152878,269245,631,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.0,41,0.2,117,0.7,13,0.1,4131143,3.0,-307059,-1.8,-14393,-5.1,16,2.6
"48323","0","10","70","0","2016","4","","Maverick County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",887,17773,18151,18152,149845868,13108687,221100,639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,53,0.3,309,1.7,223,1.2,3217959,2.2,-1698939,-11.5,-45272,-17.0,6,0.9
"48323","1","10","71","0","2016","1","","Maverick County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,884,888,878,22087461,0,0,1923,"",2.33,2.51,2.53,2.49,5.73,0.00,0.00,2.28,"",0,0.0,32,3.8,37,4.3,42,5.0,1266843,6.1,0,0.0,0,0.0,31,1.6
"48323","1","10","71","0","2016","2","","Maverick County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,883,876,860,18836705,0,0,1660,"",2.34,2.51,2.49,2.45,5.04,0.00,0.00,2.03,"",0,0.0,4,0.5,-7,-0.8,-23,-2.6,906,0.0,0,0.0,0,0.0,17,1.0
"48323","1","10","71","0","2016","3","","Maverick County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,849,841,830,21633975,0,0,1981,"",2.37,2.49,2.48,2.42,4.93,0.00,0.00,2.00,"",0,0.0,-39,-4.4,-46,-5.2,-53,-6.0,-1079866,-4.8,0,0.0,0,0.0,9,0.5
"48323","1","10","71","0","2016","4","","Maverick County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,835,838,830,19234270,0,0,1773,"",2.39,2.41,2.37,2.32,4.55,0.00,0.00,1.93,"",0,0.0,-48,-5.4,-48,-5.4,-34,-3.9,-832063,-4.1,0,0.0,0,0.0,14,0.8
"48323","1","102","72","0","2016","1","","Maverick County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,884,888,878,22087461,0,0,1923,"",2.34,2.55,2.57,2.54,5.83,0.00,0.00,2.28,"",0,0.0,32,3.8,37,4.3,42,5.0,1266843,6.1,0,0.0,0,0.0,31,1.6
"48323","1","102","72","0","2016","2","","Maverick County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,883,876,860,18836705,0,0,1660,"",2.34,2.56,2.54,2.49,5.13,0.00,0.00,2.03,"",0,0.0,4,0.5,-7,-0.8,-23,-2.6,906,0.0,0,0.0,0,0.0,17,1.0
