"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48325","0","10","70","0","2016","1","","Medina County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",832,9320,9241,9284,77254416,36465019,556242,640,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.5,99,1.1,26,0.3,39,0.4,-1743625,-2.2,-557291,-1.5,-31701,-5.4,-19,-2.9
"48325","0","10","70","0","2016","2","","Medina County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",826,9297,9255,9261,77984329,13722660,166115,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.2,-83,-0.9,-156,-1.7,-241,-2.5,380452,0.5,-457641,-3.2,-19937,-10.7,14,2.2
"48325","0","10","70","0","2016","3","","Medina County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",825,9150,9149,9286,79749049,8155609,106560,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.6,-192,-2.1,-60,-0.7,-154,-1.6,-595965,-0.7,-767547,-8.6,-19428,-15.4,5,0.8
"48325","0","10","70","0","2016","4","","Medina County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",825,9416,9557,9409,86534007,7263116,106253,704,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.2,-72,-0.8,34,0.4,18,0.2,700910,0.8,-612905,-7.8,-14389,-11.9,7,1.0
"48325","1","10","71","0","2016","1","","Medina County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,61,56,59,811667,0,0,1064,"",2.29,0.33,0.31,0.32,0.37,0.00,0.00,1.16,"",0,0.0,0,0.0,-1,-1.8,3,5.4,-44955,-5.2,0,0.0,0,0.0,-72,-6.3
"48325","1","10","71","0","2016","2","","Medina County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,57,62,60,773829,0,0,998,"",2.33,0.31,0.34,0.33,0.36,0.00,0.00,1.10,"",0,0.0,-2,-3.4,1,1.6,3,5.3,34229,4.6,0,0.0,0,0.0,34,3.5
"48325","1","10","71","0","2016","3","","Medina County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,61,65,65,929323,0,0,1123,"",2.35,0.34,0.36,0.36,0.38,0.00,0.00,1.07,"",0,0.0,3,5.2,7,12.1,4,6.6,78660,9.2,0,0.0,0,0.0,14,1.3
"48325","1","10","71","0","2016","4","","Medina County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,65,61,71,946940,0,0,1109,"",2.37,0.35,0.33,0.38,0.39,0.00,0.00,1.09,"",0,0.0,8,14.0,4,7.0,15,26.8,123678,15.0,0,0.0,0,0.0,-9,-0.8
"48325","1","102","72","0","2016","1","","Medina County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,61,56,59,811667,0,0,1064,"",2.30,0.34,0.31,0.33,0.38,0.00,0.00,1.16,"",0,0.0,0,0.0,-1,-1.8,3,5.4,-44955,-5.2,0,0.0,0,0.0,-72,-6.3
"48325","1","102","72","0","2016","2","","Medina County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,57,62,60,773829,0,0,998,"",2.33,0.32,0.35,0.34,0.37,0.00,0.00,1.10,"",0,0.0,-2,-3.4,1,1.6,3,5.3,34229,4.6,0,0.0,0,0.0,34,3.5
"48325","1","102","72","0","2016","3","","Medina County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,61,65,65,929323,0,0,1123,"",2.36,0.34,0.37,0.36,0.38,0.00,0.00,1.07,"",0,0.0,3,5.2,7,12.1,4,6.6,78660,9.2,0,0.0,0,0.0,14,1.3
"48325","1","102","72","0","2016","4","","Medina County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,65,61,71,946940,0,0,1109,"",2.37,0.36,0.33,0.39,0.40,0.00,0.00,1.09,"",0,0.0,8,14.0,4,7.0,15,26.8,123678,15.0,0,0.0,0,0.0,-9,-0.8
"48325","1","1021","73","0","2016","1","","Medina County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.06,0.92,0.90,0.89,1.29,0.00,0.00,1.44,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","1021","73","0","2016","2","","Medina County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.11,0.93,0.95,1.00,1.27,0.00,0.00,1.32,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","1021","73","0","2016","3","","Medina County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.14,0.96,1.00,0.99,1.32,0.00,0.00,1.34,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","1021","73","0","2016","4","","Medina County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.16,1.01,0.99,1.06,1.23,0.00,0.00,1.21,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","1028","73","0","2016","1","","Medina County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,16,19,317295,0,0,1331,"",1.87,0.20,0.16,0.19,0.23,0.00,0.00,1.26,"",0,0.0,0,0.0,0,0.0,3,18.8,-5792,-1.8,0,0.0,0,0.0,-103,-7.2
"48325","1","1028","73","0","2016","2","","Medina County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,20,16,281629,0,0,1250,"",1.91,0.16,0.20,0.16,0.21,0.00,0.00,1.22,"",0,0.0,-4,-20.0,0,0.0,0,0.0,9669,3.6,0,0.0,0,0.0,129,11.5
"48325","1","1028","73","0","2016","3","","Medina County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,21,21,339888,0,0,1286,"",1.92,0.19,0.21,0.21,0.22,0.00,0.00,1.09,"",0,0.0,3,18.8,5,31.2,2,10.5,37898,12.5,0,0.0,0,0.0,-80,-5.9
"48325","1","1028","73","0","2016","4","","Medina County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,16,22,336964,0,0,1341,"",1.94,0.20,0.16,0.22,0.23,0.00,0.00,1.21,"",0,0.0,5,33.3,1,6.7,7,46.7,77459,29.8,0,0.0,0,0.0,10,0.8
"48325","1","48-49","74","0","2016","1","","Medina County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.15,1.00,0.98,0.98,1.39,0.00,0.00,1.41,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","48-49","74","0","2016","2","","Medina County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.20,1.02,1.04,1.09,1.37,0.00,0.00,1.30,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","48-49","74","0","2016","3","","Medina County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.23,1.05,1.10,1.09,1.42,0.00,0.00,1.31,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","48-49","74","0","2016","4","","Medina County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.26,1.10,1.08,1.15,1.33,0.00,0.00,1.19,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","491","75","0","2016","1","","Medina County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.17,1.03,1.00,1.00,1.47,0.00,0.00,1.45,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","491","75","0","2016","2","","Medina County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.22,1.04,1.07,1.11,1.43,0.00,0.00,1.33,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","491","75","0","2016","3","","Medina County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.26,1.07,1.12,1.11,1.48,0.00,0.00,1.35,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","491","75","0","2016","4","","Medina County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.28,1.12,1.11,1.17,1.38,0.00,0.00,1.21,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","4911","76","0","2016","1","","Medina County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.17,1.03,1.00,1.00,1.47,0.00,0.00,1.45,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","4911","76","0","2016","2","","Medina County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.22,1.04,1.07,1.11,1.43,0.00,0.00,1.33,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","4911","76","0","2016","3","","Medina County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.26,1.07,1.12,1.11,1.48,0.00,0.00,1.35,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","4911","76","0","2016","4","","Medina County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.28,1.12,1.11,1.17,1.38,0.00,0.00,1.21,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","49111","77","0","2016","1","","Medina County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.17,1.03,1.00,1.00,1.47,0.00,0.00,1.45,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","49111","77","0","2016","2","","Medina County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.22,1.04,1.07,1.11,1.43,0.00,0.00,1.33,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","49111","77","0","2016","3","","Medina County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.26,1.07,1.12,1.11,1.48,0.00,0.00,1.35,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","49111","77","0","2016","4","","Medina County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.28,1.12,1.11,1.17,1.38,0.00,0.00,1.21,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","491110","78","0","2016","1","","Medina County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,41,40,40,494372,0,0,943,"",3.17,1.03,1.00,1.00,1.47,0.00,0.00,1.45,"",0,0.0,0,0.0,-1,-2.4,0,0.0,-39163,-7.3,0,0.0,0,0.0,-66,-6.5
"48325","1","491110","78","0","2016","2","","Medina County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,41,42,44,492200,0,0,894,"",3.22,1.04,1.07,1.11,1.43,0.00,0.00,1.33,"",0,0.0,2,5.1,1,2.4,3,7.3,24560,5.3,0,0.0,0,0.0,2,0.2
"48325","1","491110","78","0","2016","3","","Medina County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,42,44,44,589435,0,0,1046,"",3.26,1.07,1.12,1.11,1.48,0.00,0.00,1.35,"",0,0.0,0,0.0,2,4.8,2,4.8,40762,7.4,0,0.0,0,0.0,41,4.1
"48325","1","491110","78","0","2016","4","","Medina County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,45,45,49,609976,0,0,1013,"",3.28,1.12,1.11,1.17,1.38,0.00,0.00,1.21,"",0,0.0,3,7.1,3,7.1,8,19.5,46219,8.2,0,0.0,0,0.0,-28,-2.7
"48325","1","92","74","0","2016","1","","Medina County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,20,16,19,317295,0,0,1331,"",1.87,0.20,0.16,0.19,0.23,0.00,0.00,1.26,"",0,0.0,0,0.0,0,0.0,3,18.8,-5792,-1.8,0,0.0,0,0.0,-103,-7.2
"48325","1","92","74","0","2016","2","","Medina County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,20,16,281629,0,0,1250,"",1.91,0.16,0.20,0.16,0.21,0.00,0.00,1.22,"",0,0.0,-4,-20.0,0,0.0,0,0.0,9669,3.6,0,0.0,0,0.0,129,11.5
"48325","1","92","74","0","2016","3","","Medina County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,21,21,339888,0,0,1286,"",1.92,0.19,0.21,0.21,0.22,0.00,0.00,1.09,"",0,0.0,3,18.8,5,31.2,2,10.5,37898,12.5,0,0.0,0,0.0,-80,-5.9
"48325","1","92","74","0","2016","4","","Medina County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,20,16,22,336964,0,0,1341,"",1.94,0.20,0.16,0.22,0.23,0.00,0.00,1.21,"",0,0.0,5,33.3,1,6.7,7,46.7,77459,29.8,0,0.0,0,0.0,10,0.8
"48325","1","924","75","0","2016","1","","Medina County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,7,10,118364,0,0,976,"",4.14,1.77,1.16,1.64,1.46,0.00,0.00,0.96,"",0,0.0,-1,-8.3,-1,-12.5,2,25.0,-9605,-7.5,0,0.0,0,0.0,-79,-7.5
"48325","1","924","75","0","2016","2","","Medina County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,11,7,100319,0,0,926,"",4.20,1.12,1.71,1.01,1.31,0.00,0.00,1.03,"",0,0.0,-5,-41.7,-1,-8.3,-1,-12.5,-15871,-13.7,0,0.0,0,0.0,88,10.5
"48325","1","924","75","0","2016","3","","Medina County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,12,12,126653,0,0,860,"",4.26,1.43,1.74,1.76,1.28,0.00,0.00,0.78,"",0,0.0,2,25.0,4,50.0,1,9.1,6478,5.4,0,0.0,0,0.0,-167,-16.3
"48325","1","924","75","0","2016","4","","Medina County, Texas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,7,12,113179,0,0,871,"",4.30,1.66,1.08,1.91,1.41,0.00,0.00,0.91,"",0,0.0,4,57.1,0,0.0,5,71.4,14594,14.8,0,0.0,0,0.0,-212,-19.6
"48325","1","9241","76","0","2016","1","","Medina County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,7,10,118364,0,0,976,"",4.14,1.77,1.16,1.64,1.46,0.00,0.00,0.96,"",0,0.0,-1,-8.3,-1,-12.5,2,25.0,-9605,-7.5,0,0.0,0,0.0,-79,-7.5
"48325","1","9241","76","0","2016","2","","Medina County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,11,7,100319,0,0,926,"",4.20,1.12,1.71,1.01,1.31,0.00,0.00,1.03,"",0,0.0,-5,-41.7,-1,-8.3,-1,-12.5,-15871,-13.7,0,0.0,0,0.0,88,10.5
"48325","1","9241","76","0","2016","3","","Medina County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,12,12,126653,0,0,860,"",4.26,1.43,1.74,1.76,1.28,0.00,0.00,0.78,"",0,0.0,2,25.0,4,50.0,1,9.1,6478,5.4,0,0.0,0,0.0,-167,-16.3
"48325","1","9241","76","0","2016","4","","Medina County, Texas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,7,12,113179,0,0,871,"",4.30,1.66,1.08,1.91,1.41,0.00,0.00,0.91,"",0,0.0,4,57.1,0,0.0,5,71.4,14594,14.8,0,0.0,0,0.0,-212,-19.6
"48325","1","92412","77","0","2016","1","","Medina County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,7,10,118364,0,0,976,"",4.35,2.17,1.42,2.01,1.96,0.00,0.00,1.04,"",0,0.0,-1,-8.3,-1,-12.5,2,25.0,-9605,-7.5,0,0.0,0,0.0,-79,-7.5
"48325","1","92412","77","0","2016","2","","Medina County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,11,7,100319,0,0,926,"",4.42,1.36,2.07,1.20,1.73,0.00,0.00,1.13,"",0,0.0,-5,-41.7,-1,-8.3,-1,-12.5,-15871,-13.7,0,0.0,0,0.0,88,10.5
"48325","1","92412","77","0","2016","3","","Medina County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,12,12,126653,0,0,860,"",4.48,1.70,2.07,2.12,1.65,0.00,0.00,0.84,"",0,0.0,2,25.0,4,50.0,1,9.1,6478,5.4,0,0.0,0,0.0,-167,-16.3
"48325","1","92412","77","0","2016","4","","Medina County, Texas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,7,12,113179,0,0,871,"",4.52,2.01,1.32,2.33,1.85,0.00,0.00,0.99,"",0,0.0,4,57.1,0,0.0,5,71.4,14594,14.8,0,0.0,0,0.0,-212,-19.6
"48325","1","924120","78","0","2016","1","","Medina County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,7,10,118364,0,0,976,"",4.35,2.17,1.42,2.01,1.96,0.00,0.00,1.04,"",0,0.0,-1,-8.3,-1,-12.5,2,25.0,-9605,-7.5,0,0.0,0,0.0,-79,-7.5
"48325","1","924120","78","0","2016","2","","Medina County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,11,7,100319,0,0,926,"",4.42,1.36,2.07,1.20,1.73,0.00,0.00,1.13,"",0,0.0,-5,-41.7,-1,-8.3,-1,-12.5,-15871,-13.7,0,0.0,0,0.0,88,10.5
"48325","1","924120","78","0","2016","3","","Medina County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,12,12,126653,0,0,860,"",4.48,1.70,2.07,2.12,1.65,0.00,0.00,0.84,"",0,0.0,2,25.0,4,50.0,1,9.1,6478,5.4,0,0.0,0,0.0,-167,-16.3
"48325","1","924120","78","0","2016","4","","Medina County, Texas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,7,12,113179,0,0,871,"",4.52,2.01,1.32,2.33,1.85,0.00,0.00,0.99,"",0,0.0,4,57.1,0,0.0,5,71.4,14594,14.8,0,0.0,0,0.0,-212,-19.6
"48325","1","926","75","0","2016","1","","Medina County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,70807,0,0,1816,"",1.41,0.19,0.19,0.19,0.30,0.00,0.00,1.60,"",0,0.0,0,0.0,0,0.0,0,0.0,-859,-1.2,0,0.0,0,0.0,-22,-1.2
"48325","1","926","75","0","2016","2","","Medina County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,52688,0,0,1351,"",1.44,0.19,0.19,0.19,0.25,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,0,0.0,-938,-1.7,0,0.0,0,0.0,-24,-1.7
"48325","1","926","75","0","2016","3","","Medina County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,60992,0,0,1564,"",1.46,0.19,0.19,0.19,0.25,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,-994,-1.6,0,0.0,0,0.0,-25,-1.6
"48325","1","926","75","0","2016","4","","Medina County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,61673,0,0,1581,"",1.47,0.19,0.19,0.19,0.27,0.00,0.00,1.46,"",0,0.0,0,0.0,0,0.0,0,0.0,3820,6.6,0,0.0,0,0.0,98,6.6
"48325","1","9261","76","0","2016","1","","Medina County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,70807,0,0,1816,"",1.41,0.19,0.19,0.19,0.30,0.00,0.00,1.60,"",0,0.0,0,0.0,0,0.0,0,0.0,-859,-1.2,0,0.0,0,0.0,-22,-1.2
"48325","1","9261","76","0","2016","2","","Medina County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,52688,0,0,1351,"",1.44,0.19,0.19,0.19,0.25,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,0,0.0,-938,-1.7,0,0.0,0,0.0,-24,-1.7
"48325","1","9261","76","0","2016","3","","Medina County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,60992,0,0,1564,"",1.46,0.19,0.19,0.19,0.25,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,-994,-1.6,0,0.0,0,0.0,-25,-1.6
"48325","1","9261","76","0","2016","4","","Medina County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,61673,0,0,1581,"",1.47,0.19,0.19,0.19,0.27,0.00,0.00,1.46,"",0,0.0,0,0.0,0,0.0,0,0.0,3820,6.6,0,0.0,0,0.0,98,6.6
"48325","1","92614","77","0","2016","1","","Medina County, Texas","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,70807,0,0,1816,"",3.37,0.94,0.98,0.98,1.86,0.00,0.00,1.93,"",0,0.0,0,0.0,0,0.0,0,0.0,-859,-1.2,0,0.0,0,0.0,-22,-1.2
