"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48341","0","10","70","0","2016","1","","Moore County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",546,10383,10380,10366,111880771,56328497,721598,829,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,-16,-0.2,-30,-0.3,-142,-1.4,-7517335,-6.3,-2105252,-3.6,-73636,-9.3,-51,-5.8
"48341","0","10","70","0","2016","2","","Moore County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",540,10475,10786,10821,111576705,22113925,302218,803,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.7,-68,-0.6,165,1.6,154,1.4,3651614,3.4,2824238,14.6,10340,3.5,21,2.7
"48341","0","10","70","0","2016","3","","Moore County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",539,11110,11284,11191,129166588,16517458,266233,888,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.6,481,4.5,653,6.1,372,3.4,15700224,13.8,3808837,30.0,60310,29.3,72,8.8
"48341","0","10","70","0","2016","4","","Moore County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",539,11141,11090,11131,127287433,12157729,165439,880,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.5,518,4.9,451,4.2,484,4.5,4884074,4.0,2137734,21.3,12915,8.5,-5,-0.6
"48341","1","10","71","0","2016","1","","Moore County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,72,67,70,1053391,0,0,1163,"",2.04,0.35,0.33,0.34,0.33,0.00,0.00,0.98,"",0,0.0,14,24.1,10,17.5,10,16.7,102697,10.8,0,0.0,0,0.0,-91,-7.3
"48341","1","10","71","0","2016","2","","Moore County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,68,69,71,983736,0,0,1091,"",2.08,0.33,0.33,0.33,0.32,0.00,0.00,0.97,"",0,0.0,4,6.2,7,11.3,4,6.0,120178,13.9,0,0.0,0,0.0,58,5.6
"48341","1","10","71","0","2016","3","","Moore County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,69,67,68,1200105,0,0,1358,"",2.10,0.31,0.30,0.31,0.30,0.00,0.00,0.98,"",0,0.0,2,3.0,0,0.0,0,0.0,119164,11.0,0,0.0,0,0.0,123,10.0
"48341","1","10","71","0","2016","4","","Moore County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,68,67,75,1057110,0,0,1162,"",2.11,0.31,0.31,0.34,0.29,0.00,0.00,0.92,"",0,0.0,-1,-1.4,-1,-1.5,3,4.2,54274,5.4,0,0.0,0,0.0,55,5.0
"48341","1","102","72","0","2016","1","","Moore County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,72,67,70,1053391,0,0,1163,"",2.04,0.36,0.33,0.35,0.34,0.00,0.00,0.98,"",0,0.0,14,24.1,10,17.5,10,16.7,102697,10.8,0,0.0,0,0.0,-91,-7.3
"48341","1","102","72","0","2016","2","","Moore County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,68,69,71,983736,0,0,1091,"",2.08,0.34,0.33,0.34,0.33,0.00,0.00,0.97,"",0,0.0,4,6.2,7,11.3,4,6.0,120178,13.9,0,0.0,0,0.0,58,5.6
