"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48343","0","10","70","0","2016","1","","Morris County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",236,3731,3753,3750,37570046,21895055,952142,772,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.3,-851,-18.6,-823,-18.0,-790,-17.4,-18558278,-33.1,-6820958,-23.8,216703,29.5,-174,-18.4
"48343","0","10","70","0","2016","2","","Morris County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",231,3634,3621,3531,34806765,4176582,99920,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.7,-737,-16.9,-743,-17.0,-803,-18.5,-7936551,-18.6,-580502,-12.2,897,0.9,-10,-1.3
"48343","0","10","70","0","2016","3","","Morris County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",231,3560,3568,3553,34774330,2487053,64857,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.5,-585,-14.1,-615,-14.7,-587,-14.2,-6727480,-16.2,18460,0.7,11697,22.0,-17,-2.2
"48343","0","10","70","0","2016","4","","Morris County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",231,3386,3406,3356,36266916,2419542,90437,825,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.9,-608,-15.2,-589,-14.7,-617,-15.5,-8922012,-19.7,623268,34.7,49495,120.9,-47,-5.4
"48343","1","10","71","0","2016","1","","Morris County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,30,27,29,285305,0,0,766,"",3.37,0.40,0.36,0.39,0.27,0.00,0.00,0.69,"",0,0.0,2,7.1,-1,-3.6,0,0.0,-48561,-14.5,0,0.0,0,0.0,-140,-15.5
"48343","1","10","71","0","2016","2","","Morris County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,28,30,30,296010,0,0,776,"",3.47,0.39,0.42,0.43,0.31,0.00,0.00,0.74,"",0,0.0,-1,-3.4,1,3.4,1,3.4,14452,5.1,0,0.0,0,0.0,29,3.9
"48343","1","10","71","0","2016","3","","Morris County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,30,30,31,341272,0,0,865,"",3.50,0.42,0.42,0.44,0.32,0.00,0.00,0.73,"",0,0.0,1,3.4,1,3.4,1,3.3,8231,2.5,0,0.0,0,0.0,-8,-0.9
"48343","1","10","71","0","2016","4","","Morris County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,29,28,29,331784,0,0,890,"",3.52,0.44,0.42,0.44,0.32,0.00,0.00,0.75,"",0,0.0,0,0.0,-2,-6.7,0,0.0,-3855,-1.1,0,0.0,0,0.0,10,1.1
"48343","1","102","72","0","2016","1","","Morris County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,30,27,29,285305,0,0,766,"",3.37,0.41,0.37,0.40,0.27,0.00,0.00,0.69,"",0,0.0,2,7.1,-1,-3.6,0,0.0,-48561,-14.5,0,0.0,0,0.0,-140,-15.5
"48343","1","102","72","0","2016","2","","Morris County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,28,30,30,296010,0,0,776,"",3.48,0.40,0.43,0.44,0.32,0.00,0.00,0.74,"",0,0.0,-1,-3.4,1,3.4,1,3.4,14452,5.1,0,0.0,0,0.0,29,3.9
"48343","1","102","72","0","2016","3","","Morris County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,30,30,31,341272,0,0,865,"",3.51,0.43,0.43,0.45,0.32,0.00,0.00,0.74,"",0,0.0,1,3.4,1,3.4,1,3.3,8231,2.5,0,0.0,0,0.0,-8,-0.9
"48343","1","102","72","0","2016","4","","Morris County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,29,28,29,331784,0,0,890,"",3.53,0.45,0.43,0.45,0.33,0.00,0.00,0.75,"",0,0.0,0,0.0,-2,-6.7,0,0.0,-3855,-1.1,0,0.0,0,0.0,10,1.1
"48343","1","1021","73","0","2016","1","","Morris County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,27,29,285305,0,0,766,"",6.74,1.67,1.49,1.60,1.54,0.00,0.00,0.97,"",0,0.0,2,7.1,-1,-3.6,0,0.0,-48561,-14.5,0,0.0,0,0.0,-140,-15.5
"48343","1","1021","73","0","2016","2","","Morris County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,28,30,30,296010,0,0,776,"",6.94,1.62,1.74,1.78,1.71,0.00,0.00,0.99,"",0,0.0,-1,-3.4,1,3.4,1,3.4,14452,5.1,0,0.0,0,0.0,29,3.9
"48343","1","1021","73","0","2016","3","","Morris County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,30,31,341272,0,0,865,"",7.01,1.76,1.75,1.83,1.76,0.00,0.00,0.99,"",0,0.0,1,3.4,1,3.4,1,3.3,8231,2.5,0,0.0,0,0.0,-8,-0.9
"48343","1","1021","73","0","2016","4","","Morris County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,29,28,29,331784,0,0,890,"",7.06,1.80,1.73,1.75,1.60,0.00,0.00,0.91,"",0,0.0,0,0.0,-2,-6.7,0,0.0,-3855,-1.1,0,0.0,0,0.0,10,1.1
