"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48375","0","10","70","0","2016","1","","Potter County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3991,78723,78915,78780,802238858,395382058,6254764,783,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,1.4,567,0.7,343,0.4,369,0.5,-6575790,-0.8,8319471,2.1,-584530,-8.5,-11,-1.4
"48375","0","10","70","0","2016","2","","Potter County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3999,79595,79553,79254,814393021,123797270,1735380,788,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,1.1,492,0.6,324,0.4,-94,-0.1,21538908,2.7,1363060,1.1,-191668,-9.9,18,2.3
"48375","0","10","70","0","2016","3","","Potter County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4014,78514,78583,78949,850095551,74507805,1067347,831,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,0.8,261,0.3,246,0.3,-188,-0.2,28751465,3.5,1427626,2.0,-81846,-7.1,27,3.4
"48375","0","10","70","0","2016","4","","Potter County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3982,78990,79636,79837,903039440,60567817,886885,874,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,0.3,-326,-0.4,-184,-0.2,-341,-0.4,212469,0.0,-2178910,-3.5,-126408,-12.5,3,0.3
"48375","1","10","71","0","2016","1","","Potter County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1942,1960,1956,35773637,0,0,1409,"",1.31,1.24,1.25,1.26,1.57,0.00,0.00,1.25,"",0,0.0,47,2.5,35,1.8,20,1.0,-810629,-2.2,0,0.0,0,0.0,-58,-4.0
"48375","1","10","71","0","2016","2","","Potter County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1951,1953,1969,33923746,0,0,1333,"",1.32,1.25,1.26,1.26,1.52,0.00,0.00,1.21,"",0,0.0,16,0.8,21,1.1,31,1.6,1048867,3.2,0,0.0,0,0.0,26,2.0
"48375","1","10","71","0","2016","3","","Potter County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1962,1974,1974,39431344,0,0,1540,"",1.33,1.26,1.27,1.27,1.50,0.00,0.00,1.18,"",1,3.1,13,0.7,38,2.0,47,2.4,2700580,7.4,0,0.0,0,0.0,82,5.6
"48375","1","10","71","0","2016","4","","Potter County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1943,1986,2001,38001315,0,0,1479,"",1.35,1.26,1.28,1.27,1.49,0.00,0.00,1.17,"",1,3.1,7,0.4,39,2.0,31,1.6,3850443,11.3,0,0.0,0,0.0,133,9.9
"48375","1","102","72","0","2016","1","","Potter County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1942,1960,1956,35773637,0,0,1409,"",1.32,1.26,1.28,1.28,1.59,0.00,0.00,1.25,"",0,0.0,47,2.5,35,1.8,20,1.0,-810629,-2.2,0,0.0,0,0.0,-58,-4.0
"48375","1","102","72","0","2016","2","","Potter County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1951,1953,1969,33923746,0,0,1333,"",1.33,1.27,1.28,1.29,1.55,0.00,0.00,1.21,"",0,0.0,16,0.8,21,1.1,31,1.6,1048867,3.2,0,0.0,0,0.0,26,2.0
"48375","1","102","72","0","2016","3","","Potter County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1962,1974,1974,39431344,0,0,1540,"",1.33,1.28,1.29,1.30,1.52,0.00,0.00,1.18,"",1,3.1,13,0.7,38,2.0,47,2.4,2700580,7.4,0,0.0,0,0.0,82,5.6
"48375","1","102","72","0","2016","4","","Potter County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1943,1986,2001,38001315,0,0,1479,"",1.35,1.28,1.30,1.29,1.52,0.00,0.00,1.17,"",1,3.1,7,0.4,39,2.0,31,1.6,3850443,11.3,0,0.0,0,0.0,133,9.9
"48375","1","1021","73","0","2016","1","","Potter County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,364,382,382,5721519,0,0,1171,"",0.32,0.96,1.00,1.01,1.44,0.00,0.00,1.46,"",-1,-20.0,11,3.1,18,4.9,19,5.2,-847892,-12.9,0,0.0,0,0.0,-233,-16.6
"48375","1","1021","73","0","2016","2","","Potter County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,375,386,392,5498835,0,0,1101,"",0.32,0.99,1.02,1.04,1.35,0.00,0.00,1.33,"",-1,-20.0,8,2.2,15,4.0,26,7.1,-58930,-1.1,0,0.0,0,0.0,-61,-5.2
"48375","1","1021","73","0","2016","3","","Potter County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,379,387,386,6314793,0,0,1265,"",0.32,1.01,1.03,1.02,1.33,0.00,0.00,1.30,"",0,0.0,10,2.7,27,7.5,28,7.8,-32194,-0.5,0,0.0,0,0.0,-82,-6.1
"48375","1","1021","73","0","2016","4","","Potter County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,377,388,400,6448204,0,0,1277,"",0.33,1.01,1.03,1.02,1.25,0.00,0.00,1.23,"",0,0.0,13,3.6,18,4.9,14,3.6,-228787,-3.4,0,0.0,0,0.0,-99,-7.2
"48375","1","1023","73","0","2016","1","","Potter County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,96384,0,0,1483,"",6.01,0.66,0.67,0.67,0.56,0.00,0.00,0.85,"",0,0.0,-1,-16.7,0,0.0,0,0.0,-4434,-4.4,0,0.0,0,0.0,29,2.0
"48375","1","1023","73","0","2016","2","","Potter County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,6,6,90150,0,0,1224,"",6.07,0.68,0.82,0.81,0.59,0.00,0.00,0.77,"",0,0.0,0,0.0,1,20.0,1,20.0,9654,12.0,0,0.0,0,0.0,-14,-1.1
"48375","1","1023","73","0","2016","3","","Potter County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,5,111653,0,0,1718,"",6.10,0.68,0.69,0.70,0.65,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,18323,19.6,0,0.0,0,0.0,282,19.6
"48375","1","1023","73","0","2016","4","","Potter County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,5,6,6,93569,0,0,1270,"",6.19,0.70,0.83,0.83,0.60,0.00,0.00,0.77,"",0,0.0,0,0.0,1,20.0,1,20.0,13572,17.0,0,0.0,0,0.0,39,3.2
"48375","1","1024","73","0","2016","1","","Potter County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,18,443266,0,0,1827,"",1.63,0.53,0.53,0.50,0.74,0.00,0.00,1.42,"",0,0.0,0,0.0,0,0.0,-1,-5.3,-37456,-7.8,0,0.0,0,0.0,-119,-6.1
"48375","1","1024","73","0","2016","2","","Potter County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,19,411986,0,0,1668,"",1.64,0.53,0.53,0.52,0.73,0.00,0.00,1.38,"",0,0.0,1,5.6,0,0.0,1,5.6,38962,10.4,0,0.0,0,0.0,103,6.6
"48375","1","1024","73","0","2016","3","","Potter County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,19,17,438978,0,0,1777,"",1.65,0.57,0.52,0.47,0.65,0.00,0.00,1.24,"",0,0.0,2,10.5,0,0.0,-1,-5.6,-13537,-3.0,0,0.0,0,0.0,-88,-4.7
"48375","1","1024","73","0","2016","4","","Potter County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,17,19,19,364001,0,0,1527,"",1.67,0.47,0.53,0.53,0.60,0.00,0.00,1.17,"",0,0.0,-2,-10.5,0,0.0,0,0.0,-36130,-9.0,0,0.0,0,0.0,-93,-5.7
"48375","1","1025","73","0","2016","1","","Potter County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,994,987,993,17335571,0,0,1345,"",1.77,4.37,4.34,4.39,5.65,0.00,0.00,1.29,"",0,0.0,30,3.1,9,0.9,-5,-0.5,-871476,-4.8,0,0.0,0,0.0,-84,-5.9
"48375","1","1025","73","0","2016","2","","Potter County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,986,980,976,16985403,0,0,1332,"",1.78,4.36,4.35,4.37,5.42,0.00,0.00,1.24,"",0,0.0,1,0.1,-3,-0.3,-16,-1.6,1349454,8.6,0,0.0,0,0.0,113,9.3
"48375","1","1025","73","0","2016","3","","Potter County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,972,988,994,19665474,0,0,1536,"",1.77,4.34,4.42,4.43,5.33,0.00,0.00,1.21,"",0,0.0,-16,-1.6,9,0.9,9,0.9,1146781,6.2,0,0.0,0,0.0,88,6.1
"48375","1","1025","73","0","2016","4","","Potter County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,976,1002,1001,19818504,0,0,1535,"",1.79,4.36,4.44,4.41,5.36,0.00,0.00,1.22,"",0,0.0,-9,-0.9,8,0.8,11,1.1,3173750,19.1,0,0.0,0,0.0,241,18.6
"48375","1","1028","73","0","2016","1","","Potter County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,560,567,558,12176897,0,0,1668,"",2.44,0.66,0.67,0.66,0.85,0.00,0.00,1.29,"",1,4.2,7,1.3,8,1.4,7,1.3,950629,8.5,0,0.0,0,0.0,110,7.1
"48375","1","1028","73","0","2016","2","","Potter County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,566,562,576,10937372,0,0,1481,"",2.46,0.67,0.66,0.68,0.80,0.00,0.00,1.19,"",1,4.2,6,1.1,8,1.4,19,3.4,-290273,-2.6,0,0.0,0,0.0,-70,-4.5
"48375","1","1028","73","0","2016","3","","Potter County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,585,575,572,12900446,0,0,1719,"",2.47,0.69,0.68,0.68,0.80,0.00,0.00,1.17,"",1,4.2,17,3.0,2,0.3,11,2.0,1581207,14.0,0,0.0,0,0.0,184,12.0
"48375","1","1028","73","0","2016","4","","Potter County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,568,571,575,11277037,0,0,1518,"",2.51,0.68,0.68,0.68,0.75,0.00,0.00,1.11,"",1,4.2,5,0.9,12,2.1,5,0.9,928038,9.0,0,0.0,0,0.0,107,7.6
