"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48425","0","10","70","0","2016","1","","Somervell County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",214,3836,3869,3857,61045746,21352305,350057,1218,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,5.9,-278,-6.8,-267,-6.5,-296,-7.1,-10303708,-14.4,-2250603,-9.5,-120501,-25.6,-110,-8.3
"48425","0","10","70","0","2016","2","","Somervell County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",219,3854,3883,3923,55444781,5055863,74993,1097,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,6.8,-333,-8.0,-253,-6.1,-271,-6.5,-2202832,-3.8,-58201,-1.1,-4143,-5.2,34,3.2
"48425","0","10","70","0","2016","3","","Somervell County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",228,3809,3774,3755,54355842,3244674,54805,1106,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,10.1,-179,-4.5,-138,-3.5,-241,-6.0,1850290,3.5,-273630,-7.8,5338,10.8,87,8.5
"48425","0","10","70","0","2016","4","","Somervell County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,3822,3800,3724,55400879,3048648,54934,1127,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,7.2,-110,-2.8,-148,-3.7,-213,-5.4,-4223947,-7.1,51218,1.7,2653,5.1,-37,-3.2
"48425","1","10","71","0","2016","1","","Somervell County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,12,12,186757,0,0,1165,"",2.97,0.17,0.16,0.16,0.11,0.00,0.00,0.67,"",0,0.0,-3,-18.8,-3,-20.0,-2,-14.3,-99822,-34.8,0,0.0,0,0.0,-305,-20.7
"48425","1","10","71","0","2016","2","","Somervell County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,12,12,13,186297,0,0,1162,"",2.93,0.16,0.16,0.17,0.12,0.00,0.00,0.76,"",0,0.0,-1,-7.7,-1,-7.7,0,0.0,-30281,-14.0,0,0.0,0,0.0,-120,-9.4
"48425","1","10","71","0","2016","3","","Somervell County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,12,13,13,220367,0,0,1338,"",2.84,0.16,0.17,0.18,0.13,0.00,0.00,0.77,"",0,0.0,0,0.0,1,8.3,0,0.0,19655,9.8,0,0.0,0,0.0,86,6.9
"48425","1","10","71","0","2016","4","","Somervell County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,14,12,13,243608,0,0,1441,"",2.92,0.19,0.16,0.18,0.16,0.00,0.00,0.89,"",0,0.0,2,16.7,-1,-7.7,0,0.0,28255,13.1,0,0.0,0,0.0,133,10.2
"48425","1","102","72","0","2016","1","","Somervell County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,12,12,186757,0,0,1165,"",2.98,0.17,0.16,0.16,0.11,0.00,0.00,0.67,"",0,0.0,-3,-18.8,-3,-20.0,-2,-14.3,-99822,-34.8,0,0.0,0,0.0,-305,-20.7
"48425","1","102","72","0","2016","2","","Somervell County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,12,12,13,186297,0,0,1162,"",2.93,0.16,0.16,0.17,0.12,0.00,0.00,0.76,"",0,0.0,-1,-7.7,-1,-7.7,0,0.0,-30281,-14.0,0,0.0,0,0.0,-120,-9.4
