"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48455","0","10","70","0","2016","1","","Trinity County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",213,2303,2289,2326,18439526,9583146,177960,615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.8,-11,-0.5,-45,-1.9,-16,-0.7,-56981,-0.3,236786,2.5,-16977,-8.7,4,0.7
"48455","0","10","70","0","2016","2","","Trinity County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",212,2334,2334,2394,19672996,3530825,45203,643,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.9,-9,-0.4,-35,-1.5,-25,-1.0,529664,2.8,-351449,-9.1,-16377,-26.6,23,3.7
"48455","0","10","70","0","2016","3","","Trinity County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",213,2381,2349,2365,20321195,2155532,31342,661,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,-47,-1.9,-74,-3.1,-67,-2.8,765237,3.9,-168399,-7.2,-3946,-11.2,41,6.6
"48455","0","10","70","0","2016","4","","Trinity County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",216,2337,2335,2335,19870585,1640196,24044,654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.4,-39,-1.6,-46,-1.9,-29,-1.2,-701346,-3.4,-470110,-22.3,-19708,-45.0,-13,-1.9
"48455","1","10","71","0","2016","1","","Trinity County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",5.22,0.50,0.44,0.44,0.41,0.00,0.00,0.88,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","10","71","0","2016","2","","Trinity County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",4.54,0.50,0.42,0.45,0.39,0.00,0.00,0.85,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","10","71","0","2016","3","","Trinity County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",4.55,0.42,0.52,0.52,0.40,0.00,0.00,0.82,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
"48455","1","10","71","0","2016","4","","Trinity County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,23,24,24,250198,0,0,813,"",4.52,0.50,0.53,0.52,0.45,0.00,0.00,0.86,"",-1,-14.3,0,0.0,2,9.1,1,4.3,-3132,-1.2,0,0.0,0,0.0,-47,-5.5
"48455","1","102","72","0","2016","1","","Trinity County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",5.23,0.51,0.45,0.44,0.41,0.00,0.00,0.88,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","102","72","0","2016","2","","Trinity County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",4.55,0.51,0.42,0.45,0.39,0.00,0.00,0.85,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","102","72","0","2016","3","","Trinity County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",4.56,0.43,0.53,0.53,0.41,0.00,0.00,0.82,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
"48455","1","102","72","0","2016","4","","Trinity County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,23,24,24,250198,0,0,813,"",4.53,0.51,0.54,0.53,0.45,0.00,0.00,0.86,"",-1,-14.3,0,0.0,2,9.1,1,4.3,-3132,-1.2,0,0.0,0,0.0,-47,-5.5
"48455","1","1021","73","0","2016","1","","Trinity County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",10.46,2.08,1.81,1.78,2.33,0.00,0.00,1.24,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","1021","73","0","2016","2","","Trinity County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",9.08,2.07,1.71,1.84,2.13,0.00,0.00,1.13,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","1021","73","0","2016","3","","Trinity County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",9.13,1.75,2.13,2.13,2.21,0.00,0.00,1.11,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
"48455","1","1021","73","0","2016","4","","Trinity County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,23,24,24,250198,0,0,813,"",9.06,2.07,2.16,2.08,2.20,0.00,0.00,1.05,"",-1,-14.3,0,0.0,2,9.1,1,4.3,-3132,-1.2,0,0.0,0,0.0,-47,-5.5
"48455","1","48-49","74","0","2016","1","","Trinity County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",10.76,2.28,1.98,1.95,2.51,0.00,0.00,1.22,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","48-49","74","0","2016","2","","Trinity County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",9.34,2.27,1.87,2.01,2.30,0.00,0.00,1.12,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","48-49","74","0","2016","3","","Trinity County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",9.39,1.92,2.33,2.32,2.37,0.00,0.00,1.08,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
"48455","1","48-49","74","0","2016","4","","Trinity County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,23,24,24,250198,0,0,813,"",9.33,2.27,2.37,2.27,2.38,0.00,0.00,1.03,"",-1,-14.3,0,0.0,2,9.1,1,4.3,-3132,-1.2,0,0.0,0,0.0,-47,-5.5
"48455","1","491","75","0","2016","1","","Trinity County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",10.84,2.33,2.02,1.99,2.64,0.00,0.00,1.25,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","491","75","0","2016","2","","Trinity County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",9.41,2.32,1.91,2.06,2.40,0.00,0.00,1.14,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","491","75","0","2016","3","","Trinity County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",9.46,1.96,2.38,2.37,2.48,0.00,0.00,1.11,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
"48455","1","491","75","0","2016","4","","Trinity County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,23,24,24,250198,0,0,813,"",9.39,2.32,2.42,2.32,2.46,0.00,0.00,1.05,"",-1,-14.3,0,0.0,2,9.1,1,4.3,-3132,-1.2,0,0.0,0,0.0,-47,-5.5
"48455","1","4911","76","0","2016","1","","Trinity County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,23,20,20,212868,0,0,780,"",10.84,2.33,2.02,1.99,2.64,0.00,0.00,1.25,"",0,0.0,-3,-11.5,-4,-16.7,-3,-13.0,-34094,-13.8,0,0.0,0,0.0,-1,-0.1
"48455","1","4911","76","0","2016","2","","Trinity County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,23,19,21,208717,0,0,765,"",9.41,2.32,1.91,2.06,2.40,0.00,0.00,1.14,"",-1,-14.3,1,4.5,-5,-20.8,-4,-16.0,-4079,-1.9,0,0.0,0,0.0,73,10.5
"48455","1","4911","76","0","2016","3","","Trinity County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,20,24,24,251365,0,0,853,"",9.46,1.96,2.38,2.37,2.48,0.00,0.00,1.11,"",-1,-14.3,-3,-13.0,0,0.0,1,4.3,-3180,-1.2,0,0.0,0,0.0,14,1.7
