"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48463","0","10","70","0","2016","1","","Uvalde County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",733,9722,9765,9867,78179433,37220577,614661,615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-2.3,4,0.0,-33,-0.3,-17,-0.2,-106036,-0.1,-2064173,-5.3,-43569,-6.6,1,0.2
"48463","0","10","70","0","2016","2","","Uvalde County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",733,9999,10468,10523,80592057,18236082,327956,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.5,256,2.6,271,2.7,273,2.7,77296,0.1,448599,2.5,18112,5.8,-15,-2.4
"48463","0","10","70","0","2016","3","","Uvalde County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",737,10188,10193,10085,84450487,10759168,180142,640,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.8,339,3.4,367,3.7,140,1.4,1025023,1.2,-456419,-4.1,7996,4.6,-10,-1.5
"48463","0","10","70","0","2016","4","","Uvalde County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",731,9989,10089,9919,84026872,7803805,136314,646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.7,-117,-1.2,53,0.5,56,0.6,-1390142,-1.6,-648089,-7.7,-13218,-8.8,-11,-1.7
"48463","1","10","71","0","2016","1","","Uvalde County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,219,217,213,5425247,0,0,1929,"",2.60,1.13,1.12,1.09,2.44,0.00,0.00,2.18,"",0,0.0,-5,-2.2,-1,-0.5,6,2.9,-89412,-1.6,0,0.0,0,0.0,-32,-1.6
"48463","1","10","71","0","2016","2","","Uvalde County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,218,215,220,4779830,0,0,1689,"",2.62,1.11,1.05,1.06,2.16,0.00,0.00,2.01,"",0,0.0,-3,-1.4,-2,-0.9,3,1.4,-172978,-3.5,0,0.0,0,0.0,-56,-3.2
"48463","1","10","71","0","2016","3","","Uvalde County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,218,214,217,5399247,0,0,1920,"",2.63,1.08,1.06,1.09,2.06,0.00,0.00,1.91,"",0,0.0,-3,-1.4,-11,-4.9,-1,-0.5,-290285,-5.1,0,0.0,0,0.0,-57,-2.9
"48463","1","10","71","0","2016","4","","Uvalde County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,213,212,216,4858308,0,0,1749,"",2.67,1.09,1.08,1.10,2.05,0.00,0.00,1.88,"",0,0.0,-1,-0.5,-4,-1.9,6,2.9,-45932,-0.9,0,0.0,0,0.0,-19,-1.1
"48463","1","102","72","0","2016","1","","Uvalde County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,219,217,213,5425247,0,0,1929,"",2.61,1.15,1.14,1.11,2.48,0.00,0.00,2.18,"",0,0.0,-5,-2.2,-1,-0.5,6,2.9,-89412,-1.6,0,0.0,0,0.0,-32,-1.6
"48463","1","102","72","0","2016","2","","Uvalde County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,218,215,220,4779830,0,0,1689,"",2.63,1.13,1.07,1.08,2.20,0.00,0.00,2.01,"",0,0.0,-3,-1.4,-2,-0.9,3,1.4,-172978,-3.5,0,0.0,0,0.0,-56,-3.2
