"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48473","0","10","70","0","2016","1","","Waller County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",810,15718,16030,16045,164240532,74109258,1549074,793,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.0,-628,-3.8,-902,-5.3,-1009,-5.9,-19286054,-10.5,-8084768,-9.8,-133430,-7.9,-48,-5.7
"48473","0","10","70","0","2016","2","","Waller County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",821,16142,16093,15731,167031428,20978823,346673,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.4,-961,-5.6,-943,-5.5,-585,-3.6,-8416204,-4.8,-796246,-3.7,-19363,-5.3,2,0.2
"48473","0","10","70","0","2016","3","","Waller County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",819,15382,15391,15940,173857942,13519603,236105,859,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.7,-484,-3.1,-198,-1.3,-117,-0.7,5529715,3.3,1606832,13.5,37274,18.7,41,5.0
"48473","0","10","70","0","2016","4","","Waller County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",832,16337,16528,16417,180874284,11661113,213091,847,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.1,664,4.2,758,4.8,691,4.4,-701945,-0.4,609018,5.5,4897,2.4,-41,-4.6
"48473","1","10","71","0","2016","1","","Waller County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,58,57,57,716769,0,0,962,"",1.57,0.19,0.18,0.18,0.15,0.00,0.00,0.84,"",-1,-11.1,0,0.0,-3,-5.0,-2,-3.4,-80589,-10.1,0,0.0,0,0.0,-78,-7.5
"48473","1","10","71","0","2016","2","","Waller County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,54,59,60,705178,0,0,941,"",1.56,0.17,0.19,0.19,0.15,0.00,0.00,0.84,"",0,0.0,-4,-6.9,-1,-1.7,2,3.4,471,0.1,0,0.0,0,0.0,17,1.8
"48473","1","10","71","0","2016","3","","Waller County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,57,65,64,854599,0,0,1060,"",1.58,0.19,0.21,0.20,0.16,0.00,0.00,0.79,"",0,0.0,-2,-3.4,8,14.0,8,14.3,46880,5.8,0,0.0,0,0.0,-24,-2.2
"48473","1","10","71","0","2016","4","","Waller County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,61,62,60,860315,0,0,1085,"",1.57,0.19,0.19,0.19,0.17,0.00,0.00,0.89,"",0,0.0,1,1.7,4,6.9,3,5.3,26588,3.2,0,0.0,0,0.0,-14,-1.3
"48473","1","102","72","0","2016","1","","Waller County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,58,57,57,716769,0,0,962,"",1.57,0.19,0.18,0.18,0.16,0.00,0.00,0.84,"",-1,-11.1,0,0.0,-3,-5.0,-2,-3.4,-80589,-10.1,0,0.0,0,0.0,-78,-7.5
"48473","1","102","72","0","2016","2","","Waller County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,54,59,60,705178,0,0,941,"",1.57,0.17,0.19,0.20,0.16,0.00,0.00,0.84,"",0,0.0,-4,-6.9,-1,-1.7,2,3.4,471,0.1,0,0.0,0,0.0,17,1.8
"48473","1","102","72","0","2016","3","","Waller County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,57,65,64,854599,0,0,1060,"",1.58,0.19,0.22,0.21,0.16,0.00,0.00,0.79,"",0,0.0,-2,-3.4,8,14.0,8,14.3,46880,5.8,0,0.0,0,0.0,-24,-2.2
"48473","1","102","72","0","2016","4","","Waller County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,61,62,60,860315,0,0,1085,"",1.57,0.19,0.20,0.19,0.17,0.00,0.00,0.89,"",0,0.0,1,1.7,4,6.9,3,5.3,26588,3.2,0,0.0,0,0.0,-14,-1.3
"48473","1","1021","73","0","2016","1","","Waller County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,51,50,50,594040,0,0,908,"",1.96,0.68,0.65,0.65,0.73,0.00,0.00,1.12,"",0,0.0,0,0.0,-3,-5.7,-2,-3.8,-91175,-13.3,0,0.0,0,0.0,-106,-10.5
"48473","1","1021","73","0","2016","2","","Waller County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,52,53,601855,0,0,908,"",1.95,0.63,0.68,0.71,0.72,0.00,0.00,1.08,"",0,0.0,-3,-5.9,-1,-1.9,2,3.9,4550,0.8,0,0.0,0,0.0,19,2.1
"48473","1","1021","73","0","2016","3","","Waller County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,49,57,57,726912,0,0,1029,"",1.98,0.66,0.77,0.75,0.75,0.00,0.00,1.03,"",0,0.0,-3,-5.8,7,14.0,8,16.3,30465,4.4,0,0.0,0,0.0,-35,-3.3
"48473","1","1021","73","0","2016","4","","Waller County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,55,56,54,765637,0,0,1071,"",1.96,0.71,0.71,0.67,0.74,0.00,0.00,1.06,"",0,0.0,2,3.8,5,9.8,4,8.0,41826,5.8,0,0.0,0,0.0,-14,-1.3
"48473","1","1028","73","0","2016","1","","Waller County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,7,122729,0,0,1349,"",1.44,0.04,0.04,0.04,0.04,0.00,0.00,1.03,"",-1,-25.0,0,0.0,0,0.0,0,0.0,10586,9.4,0,0.0,0,0.0,117,9.5
"48473","1","1028","73","0","2016","2","","Waller County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,7,7,103323,0,0,1192,"",1.44,0.03,0.04,0.04,0.04,0.00,0.00,0.94,"",0,0.0,-1,-14.3,0,0.0,0,0.0,-4079,-3.8,0,0.0,0,0.0,12,1.0
"48473","1","1028","73","0","2016","3","","Waller County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,7,127687,0,0,1281,"",1.45,0.05,0.05,0.04,0.04,0.00,0.00,0.84,"",0,0.0,1,14.3,1,14.3,0,0.0,16415,14.8,0,0.0,0,0.0,58,4.7
"48473","1","1028","73","0","2016","4","","Waller County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,94678,0,0,1214,"",1.44,0.03,0.03,0.03,0.03,0.00,0.00,0.91,"",0,0.0,-1,-14.3,-1,-14.3,-1,-14.3,-15238,-13.9,0,0.0,0,0.0,6,0.5
"48473","1","48-49","74","0","2016","1","","Waller County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,51,50,50,594040,0,0,908,"",2.02,0.74,0.71,0.71,0.79,0.00,0.00,1.10,"",0,0.0,0,0.0,-3,-5.7,-2,-3.8,-91175,-13.3,0,0.0,0,0.0,-106,-10.5
