"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48477","0","10","70","0","2016","1","","Washington County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",950,14471,14660,14728,130628414,67284125,1350524,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.5,-807,-5.3,-829,-5.4,-895,-5.7,-13520995,-9.4,-5572954,-7.6,164770,13.9,-30,-4.2
"48477","0","10","70","0","2016","2","","Washington County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",940,14873,14929,14954,134455741,20879557,336697,693,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.6,-673,-4.3,-599,-3.9,-235,-1.5,-6999977,-4.9,-425102,-2.0,8798,2.7,-13,-1.8
"48477","0","10","70","0","2016","3","","Washington County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",943,14654,14631,14804,141681322,12172496,184863,742,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.0,-97,-0.7,-38,-0.3,0,0.0,2528917,1.8,385458,3.3,6723,3.8,16,2.2
"48477","0","10","70","0","2016","4","","Washington County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",937,14759,14813,14821,144614248,9708384,168161,752,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-129,-0.9,-54,-0.4,-91,-0.6,-6905369,-4.6,-223651,-2.3,6681,4.1,-31,-4.0
"48477","1","10","71","0","2016","1","","Washington County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,74,75,75,1082940,0,0,1116,"",1.17,0.26,0.26,0.26,0.29,0.00,0.00,1.13,"",0,0.0,0,0.0,-1,-1.3,-1,-1.3,-59305,-5.2,0,0.0,0,0.0,-50,-4.3
"48477","1","10","71","0","2016","2","","Washington County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,73,70,72,993202,0,0,1066,"",1.19,0.25,0.24,0.24,0.27,0.00,0.00,1.10,"",0,0.0,2,2.8,-3,-4.1,0,0.0,12225,1.2,0,0.0,0,0.0,18,1.7
"48477","1","10","71","0","2016","3","","Washington County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,72,79,77,1192194,0,0,1207,"",1.20,0.25,0.27,0.26,0.27,0.00,0.00,1.04,"",0,0.0,0,0.0,5,6.8,3,4.1,89338,8.1,0,0.0,0,0.0,50,4.3
"48477","1","10","71","0","2016","4","","Washington County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,74,80,74,1171414,0,0,1186,"",1.22,0.26,0.28,0.25,0.29,0.00,0.00,1.09,"",0,0.0,6,8.8,12,17.6,6,8.8,126657,12.1,0,0.0,0,0.0,4,0.3
"48477","1","102","72","0","2016","1","","Washington County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,74,75,75,1082940,0,0,1116,"",1.17,0.26,0.26,0.26,0.30,0.00,0.00,1.13,"",0,0.0,0,0.0,-1,-1.3,-1,-1.3,-59305,-5.2,0,0.0,0,0.0,-50,-4.3
"48477","1","102","72","0","2016","2","","Washington County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,73,70,72,993202,0,0,1066,"",1.20,0.26,0.24,0.25,0.27,0.00,0.00,1.10,"",0,0.0,2,2.8,-3,-4.1,0,0.0,12225,1.2,0,0.0,0,0.0,18,1.7
"48477","1","102","72","0","2016","3","","Washington County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,72,79,77,1192194,0,0,1207,"",1.20,0.25,0.28,0.27,0.28,0.00,0.00,1.04,"",0,0.0,0,0.0,5,6.8,3,4.1,89338,8.1,0,0.0,0,0.0,50,4.3
"48477","1","102","72","0","2016","4","","Washington County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,74,80,74,1171414,0,0,1186,"",1.22,0.26,0.28,0.26,0.29,0.00,0.00,1.09,"",0,0.0,6,8.8,12,17.6,6,8.8,126657,12.1,0,0.0,0,0.0,4,0.3
"48477","1","1021","73","0","2016","1","","Washington County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,47,47,48,614311,0,0,998,"",1.34,0.68,0.66,0.68,0.95,0.00,0.00,1.42,"",0,0.0,2,4.4,0,0.0,1,2.1,-62820,-9.3,0,0.0,0,0.0,-126,-11.2
"48477","1","1021","73","0","2016","2","","Washington County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,46,44,44,569574,0,0,981,"",1.36,0.65,0.62,0.62,0.85,0.00,0.00,1.35,"",0,0.0,2,4.5,-3,-6.4,-2,-4.3,-19903,-3.4,0,0.0,0,0.0,-12,-1.2
"48477","1","1021","73","0","2016","3","","Washington County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,43,50,49,695826,0,0,1131,"",1.37,0.61,0.71,0.69,0.88,0.00,0.00,1.31,"",0,0.0,-3,-6.5,2,4.2,0,0.0,52474,8.2,0,0.0,0,0.0,93,9.0
"48477","1","1021","73","0","2016","4","","Washington County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,46,51,46,739833,0,0,1194,"",1.39,0.66,0.72,0.63,0.89,0.00,0.00,1.34,"",0,0.0,1,2.2,6,13.3,2,4.5,46276,6.7,0,0.0,0,0.0,0,0.0
"48477","1","1028","73","0","2016","1","","Washington County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,27,28,27,468629,0,0,1319,"",1.23,0.17,0.18,0.17,0.20,0.00,0.00,1.16,"",0,0.0,-2,-6.9,-1,-3.4,-2,-6.9,3515,0.8,0,0.0,0,0.0,85,6.9
"48477","1","1028","73","0","2016","2","","Washington County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,27,26,28,423628,0,0,1207,"",1.26,0.17,0.16,0.17,0.19,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,2,7.7,32128,8.2,0,0.0,0,0.0,63,5.5
"48477","1","1028","73","0","2016","3","","Washington County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,29,29,28,496368,0,0,1332,"",1.26,0.18,0.18,0.18,0.18,0.00,0.00,1.01,"",0,0.0,3,11.5,3,11.5,3,12.0,36864,8.0,0,0.0,0,0.0,-45,-3.3
"48477","1","1028","73","0","2016","4","","Washington County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,28,29,28,431581,0,0,1172,"",1.28,0.18,0.18,0.18,0.18,0.00,0.00,0.99,"",0,0.0,5,21.7,6,26.1,4,16.7,80381,22.9,0,0.0,0,0.0,14,1.2
"48477","1","48-49","74","0","2016","1","","Washington County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,47,47,48,614311,0,0,998,"",1.38,0.74,0.73,0.74,1.02,0.00,0.00,1.39,"",0,0.0,2,4.4,0,0.0,1,2.1,-62820,-9.3,0,0.0,0,0.0,-126,-11.2
"48477","1","48-49","74","0","2016","2","","Washington County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,46,44,44,569574,0,0,981,"",1.40,0.71,0.68,0.68,0.92,0.00,0.00,1.33,"",0,0.0,2,4.5,-3,-6.4,-2,-4.3,-19903,-3.4,0,0.0,0,0.0,-12,-1.2
"48477","1","48-49","74","0","2016","3","","Washington County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,43,50,49,695826,0,0,1131,"",1.41,0.67,0.78,0.76,0.94,0.00,0.00,1.28,"",0,0.0,-3,-6.5,2,4.2,0,0.0,52474,8.2,0,0.0,0,0.0,93,9.0
