"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"49011","0","10","70","0","2016","1","","Davis County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7965,115110,115997,117267,1201079920,777485455,5569803,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",222,2.9,2075,1.8,1741,1.5,2223,1.9,36254031,3.1,35801385,4.8,-1763258,-24.0,11,1.4
"49011","0","10","70","0","2016","2","","Davis County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8052,119523,120901,121886,1252067042,640850505,4869986,797,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",205,2.6,2410,2.1,1886,1.6,1860,1.5,60077852,5.0,43376187,7.3,-1290256,-20.9,25,3.2
"49011","0","10","70","0","2016","3","","Davis County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8175,122270,121807,123150,1322999622,480056680,3481293,831,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",236,3.0,2719,2.3,2441,2.0,3206,2.7,102571411,8.4,40014304,9.1,-835446,-19.4,46,5.9
"49011","0","10","70","0","2016","4","","Davis County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8248,125268,124494,123318,1397993734,357943566,2333789,865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",163,2.0,4021,3.3,3857,3.2,3139,2.6,81582796,6.2,2812889,0.8,-918398,-28.2,26,3.1
"49011","1","10","71","0","2016","1","","Davis County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,12827,12863,13000,213059148,0,0,1271,"",0.66,5.61,5.60,5.61,6.23,0.00,0.00,1.11,"",0,0.0,500,4.1,519,4.2,576,4.6,-21092008,-9.0,0,0.0,0,0.0,-186,-12.8
"49011","1","10","71","0","2016","2","","Davis County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,13004,13093,13241,219146843,0,0,1286,"",0.66,5.56,5.54,5.52,6.38,0.00,0.00,1.15,"",0,0.0,576,4.6,635,5.1,737,5.9,10383094,5.0,0,0.0,0,0.0,-2,-0.2
"49011","1","10","71","0","2016","3","","Davis County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,13477,13499,13531,257195490,0,0,1465,"",0.65,5.54,5.60,5.59,6.27,0.00,0.00,1.12,"",0,0.0,894,7.1,863,6.8,833,6.6,19493292,8.2,0,0.0,0,0.0,18,1.2
"49011","1","10","71","0","2016","4","","Davis County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,13539,13618,13683,258920285,0,0,1463,"",0.65,5.54,5.62,5.63,6.57,0.00,0.00,1.17,"",0,0.0,778,6.1,776,6.0,784,6.1,47249020,22.3,0,0.0,0,0.0,194,15.3
"49011","1","102","72","0","2016","1","","Davis County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,12827,12863,13000,213059148,0,0,1271,"",0.66,5.71,5.70,5.71,6.34,0.00,0.00,1.11,"",0,0.0,500,4.1,519,4.2,576,4.6,-21092008,-9.0,0,0.0,0,0.0,-186,-12.8
"49011","1","102","72","0","2016","2","","Davis County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,13004,13093,13241,219146843,0,0,1286,"",0.66,5.66,5.64,5.62,6.49,0.00,0.00,1.15,"",0,0.0,576,4.6,635,5.1,737,5.9,10383094,5.0,0,0.0,0,0.0,-2,-0.2
