"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"49021","0","10","70","0","2016","1","","Iron County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1459,16235,16259,16428,120597459,78424016,478899,569,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,4.0,799,5.2,708,4.6,882,5.7,5640484,4.9,4254901,5.7,-189248,-28.3,-1,-0.2
"49021","0","10","70","0","2016","2","","Iron County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1476,16423,16623,16258,131995034,74421331,479572,618,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,4.1,796,5.1,756,4.8,800,5.2,10948303,9.0,6421586,9.4,-147750,-23.6,23,3.9
"49021","0","10","70","0","2016","3","","Iron County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1497,16291,16481,17157,140883337,61552549,436415,651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",70,4.9,831,5.4,1020,6.6,944,5.8,13713294,10.8,5911128,10.6,-93399,-17.6,28,4.5
"49021","0","10","70","0","2016","4","","Iron County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1529,17211,17300,17522,144726303,48367788,338401,642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",55,3.7,981,6.0,1014,6.2,937,5.6,7408724,5.4,2176603,4.7,-99483,-22.7,-3,-0.5
"49021","1","10","71","0","2016","1","","Iron County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,255,254,251,4198349,0,0,1275,"",1.52,0.79,0.79,0.77,1.22,0.00,0.00,1.56,"",-1,-6.7,-1,-0.4,4,1.6,0,0.0,34944,0.8,0,0.0,0,0.0,6,0.5
"49021","1","10","71","0","2016","2","","Iron County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,264,312,327,4150838,0,0,1061,"",1.52,0.82,0.96,1.02,1.15,0.00,0.00,1.23,"",0,0.0,11,4.3,10,3.3,17,5.5,296998,7.7,0,0.0,0,0.0,33,3.2
"49021","1","10","71","0","2016","3","","Iron County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,320,315,303,6386956,0,0,1571,"",1.51,0.99,0.97,0.90,1.46,0.00,0.00,1.54,"",0,0.0,2,0.6,-1,-0.3,-12,-3.8,157978,2.5,0,0.0,0,0.0,56,3.7
"49021","1","10","71","0","2016","4","","Iron County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,268,273,252,4078464,0,0,1187,"",1.49,0.80,0.81,0.73,1.00,0.00,0.00,1.28,"",0,0.0,-9,-3.2,-2,-0.7,-23,-8.4,88866,2.2,0,0.0,0,0.0,74,6.6
"49021","1","102","72","0","2016","1","","Iron County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,255,254,251,4198349,0,0,1275,"",1.53,0.81,0.80,0.79,1.24,0.00,0.00,1.56,"",-1,-6.7,-1,-0.4,4,1.6,0,0.0,34944,0.8,0,0.0,0,0.0,6,0.5
"49021","1","102","72","0","2016","2","","Iron County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,264,312,327,4150838,0,0,1061,"",1.52,0.84,0.98,1.04,1.17,0.00,0.00,1.23,"",0,0.0,11,4.3,10,3.3,17,5.5,296998,7.7,0,0.0,0,0.0,33,3.2
"49021","1","102","72","0","2016","3","","Iron County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,320,315,303,6386956,0,0,1571,"",1.52,1.01,0.98,0.92,1.49,0.00,0.00,1.54,"",0,0.0,2,0.6,-1,-0.3,-12,-3.8,157978,2.5,0,0.0,0,0.0,56,3.7
