"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"49035","0","10","70","0","2016","1","","Salt Lake County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",42287,651547,655961,659431,8288453582,5742490757,39498206,972,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1316,3.2,23076,3.7,24821,3.9,23838,3.8,357131976,4.5,300128961,5.5,-9720621,-19.7,6,0.6
"49035","0","10","70","0","2016","2","","Salt Lake County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",42743,663080,665793,668249,8148608416,4131295670,30092868,942,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1172,2.8,24738,3.9,23512,3.7,23349,3.6,471331788,6.1,298577872,7.8,-6654597,-18.1,22,2.4
"49035","0","10","70","0","2016","3","","Salt Lake County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",43494,669735,672040,675924,8676544484,2918379161,21019151,992,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1333,3.2,25199,3.9,24598,3.8,25665,3.9,829780458,10.6,272325953,10.3,-4436615,-17.4,60,6.4
"49035","0","10","70","0","2016","4","","Salt Lake County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",44044,678063,680687,681257,9085353225,2076230986,14561063,1028,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",959,2.2,21943,3.3,20162,3.1,17691,2.7,201835326,2.3,17656309,0.9,-5120500,-26.0,-7,-0.7
"49035","1","10","71","0","2016","1","","Salt Lake County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",114,11207,11391,11344,196211573,0,0,1334,"",0.43,0.87,0.88,0.87,0.83,0.00,0.00,0.96,"",-1,-0.9,452,4.2,458,4.2,445,4.1,-10421802,-5.0,0,0.0,0,0.0,-129,-8.8
"49035","1","10","71","0","2016","2","","Salt Lake County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",112,11431,11403,11492,179676426,0,0,1208,"",0.42,0.88,0.88,0.87,0.80,0.00,0.00,0.92,"",-3,-2.6,445,4.1,418,3.8,369,3.3,3417731,1.9,0,0.0,0,0.0,-21,-1.7
"49035","1","10","71","0","2016","3","","Salt Lake County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",113,11507,11429,11441,213571257,0,0,1434,"",0.42,0.86,0.86,0.86,0.79,0.00,0.00,0.92,"",-2,-1.7,421,3.8,143,1.3,212,1.9,4810294,2.3,0,0.0,0,0.0,0,0.0
"49035","1","10","71","0","2016","4","","Salt Lake County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",114,11547,11447,11554,206087567,0,0,1377,"",0.42,0.87,0.86,0.86,0.80,0.00,0.00,0.93,"",-1,-0.9,357,3.2,84,0.7,-31,-0.3,9871346,5.0,0,0.0,0,0.0,51,3.8
"49035","1","102","72","0","2016","1","","Salt Lake County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",114,11207,11391,11344,196211573,0,0,1334,"",0.43,0.88,0.89,0.89,0.85,0.00,0.00,0.95,"",-1,-0.9,452,4.2,458,4.2,445,4.1,-10421802,-5.0,0,0.0,0,0.0,-129,-8.8
"49035","1","102","72","0","2016","2","","Salt Lake County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",112,11431,11403,11492,179676426,0,0,1208,"",0.42,0.90,0.89,0.89,0.82,0.00,0.00,0.92,"",-3,-2.6,445,4.1,418,3.8,369,3.3,3417731,1.9,0,0.0,0,0.0,-21,-1.7
"49035","1","102","72","0","2016","3","","Salt Lake County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",113,11507,11429,11441,213571257,0,0,1434,"",0.42,0.88,0.87,0.88,0.81,0.00,0.00,0.92,"",-2,-1.7,421,3.8,143,1.3,212,1.9,4810294,2.3,0,0.0,0,0.0,0,0.0
"49035","1","102","72","0","2016","4","","Salt Lake County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",114,11547,11447,11554,206087567,0,0,1377,"",0.42,0.89,0.88,0.88,0.82,0.00,0.00,0.93,"",-1,-0.9,357,3.2,84,0.7,-31,-0.3,9871346,5.0,0,0.0,0,0.0,51,3.8
"49035","1","1021","73","0","2016","1","","Salt Lake County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,3948,4114,4090,56177861,0,0,1067,"",0.20,1.26,1.30,1.29,1.37,0.00,0.00,1.07,"",0,0.0,368,10.3,365,9.7,331,8.8,-6234367,-10.0,0,0.0,0,0.0,-232,-17.9
"49035","1","1021","73","0","2016","2","","Salt Lake County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,4116,4043,4015,51710917,0,0,980,"",0.20,1.31,1.28,1.26,1.27,0.00,0.00,0.99,"",0,0.0,288,7.5,261,6.9,139,3.6,435771,0.8,0,0.0,0,0.0,-50,-4.9
