"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"49045","0","10","70","0","2016","1","","Tooele County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1061,15156,15264,15403,147088203,97313027,734971,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,2.7,674,4.7,764,5.3,767,5.2,5014052,3.5,3298428,3.5,-207580,-22.0,-11,-1.5
"49045","0","10","70","0","2016","2","","Tooele County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1070,15651,15870,15972,152477037,86656558,659468,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,1.9,715,4.8,710,4.7,799,5.3,1589517,1.1,7957643,10.1,-116058,-15.0,-28,-3.6
"49045","0","10","70","0","2016","3","","Tooele County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1082,15749,15878,16196,161533087,63371436,448931,779,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,1.7,867,5.8,788,5.2,977,6.4,13353179,9.0,6445725,11.3,-82844,-15.6,22,2.9
"49045","0","10","70","0","2016","4","","Tooele County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1086,16178,16182,16075,161753710,48489320,321953,771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,1.6,750,4.9,912,6.0,895,5.9,317158,0.2,4370522,9.9,-74370,-18.8,-41,-5.0
"49045","1","10","71","0","2016","1","","Tooele County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1222,1236,1240,22808260,0,0,1423,"",6.59,4.06,4.09,4.08,5.45,0.00,0.00,1.34,"",-1,-2.2,-25,-2.0,-21,-1.7,-26,-2.1,2511448,12.4,0,0.0,0,0.0,181,14.6
"49045","1","10","71","0","2016","2","","Tooele County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,1238,1251,1266,20359304,0,0,1251,"",6.59,4.04,4.03,4.03,4.87,0.00,0.00,1.21,"",-2,-4.3,-19,-1.5,-9,-0.7,-7,-0.5,-2980927,-12.8,0,0.0,0,0.0,-170,-12.0
"49045","1","10","71","0","2016","3","","Tooele County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1272,1273,1274,24519865,0,0,1482,"",5.98,4.06,4.05,4.00,4.90,0.00,0.00,1.21,"",-5,-11.1,2,0.2,6,0.5,30,2.4,3690360,17.7,0,0.0,0,0.0,211,16.6
"49045","1","10","71","0","2016","4","","Tooele County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1260,1263,1266,20835144,0,0,1269,"",6.00,3.99,4.01,4.00,4.57,0.00,0.00,1.14,"",-5,-11.1,17,1.4,36,2.9,44,3.6,-2368214,-10.2,0,0.0,0,0.0,-181,-12.5
"49045","1","102","72","0","2016","1","","Tooele County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,1222,1236,1240,22808260,0,0,1423,"",6.60,4.13,4.16,4.15,5.54,0.00,0.00,1.34,"",-1,-2.2,-25,-2.0,-21,-1.7,-26,-2.1,2511448,12.4,0,0.0,0,0.0,181,14.6
"49045","1","102","72","0","2016","2","","Tooele County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,1238,1251,1266,20359304,0,0,1251,"",6.61,4.11,4.10,4.10,4.95,0.00,0.00,1.21,"",-2,-4.3,-19,-1.5,-9,-0.7,-7,-0.5,-2980927,-12.8,0,0.0,0,0.0,-170,-12.0
"49045","1","102","72","0","2016","3","","Tooele County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,1272,1273,1274,24519865,0,0,1482,"",5.99,4.14,4.12,4.08,4.99,0.00,0.00,1.21,"",-5,-11.1,2,0.2,6,0.5,30,2.4,3690360,17.7,0,0.0,0,0.0,211,16.6
"49045","1","102","72","0","2016","4","","Tooele County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,1260,1263,1266,20835144,0,0,1269,"",6.01,4.06,4.08,4.07,4.65,0.00,0.00,1.14,"",-5,-11.1,17,1.4,36,2.9,44,3.6,-2368214,-10.2,0,0.0,0,0.0,-181,-12.5
"49045","1","1021","73","0","2016","1","","Tooele County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,70,73,81,819211,0,0,844,"",2.40,0.96,0.99,1.09,1.13,0.00,0.00,1.11,"",0,0.0,-3,-4.1,-2,-2.7,4,5.2,-80978,-9.0,0,0.0,0,0.0,-79,-8.6
"49045","1","1021","73","0","2016","2","","Tooele County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,70,73,73,814096,0,0,870,"",2.40,0.94,0.97,0.96,1.07,0.00,0.00,1.12,"",0,0.0,-4,-5.4,-5,-6.4,-2,-2.7,38525,5.0,0,0.0,0,0.0,82,10.4
"49045","1","1021","73","0","2016","3","","Tooele County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,75,76,77,970545,0,0,982,"",2.40,0.99,1.00,1.00,1.08,0.00,0.00,1.08,"",0,0.0,1,1.4,5,7.0,10,14.9,83833,9.5,0,0.0,0,0.0,17,1.8
"49045","1","1021","73","0","2016","4","","Tooele County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,76,75,74,999328,0,0,1025,"",2.40,0.99,0.98,0.93,1.08,0.00,0.00,1.12,"",0,0.0,4,5.6,2,2.7,5,7.2,74099,8.0,0,0.0,0,0.0,27,2.7
"49045","1","1022","73","0","2016","1","","Tooele County, Utah","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,25729,0,0,495,"",72.98,5.59,5.59,5.54,2.53,0.00,0.00,0.45,"",0,0.0,2,100.0,0,0.0,1,33.3,1193,4.9,0,0.0,0,0.0,-134,-21.3
"49045","1","1022","73","0","2016","2","","Tooele County, Utah","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,31556,0,0,607,"",74.14,5.52,5.46,5.39,3.29,0.00,0.00,0.60,"",0,0.0,0,0.0,1,33.3,0,0.0,7028,28.7,0,0.0,0,0.0,92,17.9
"49045","1","1022","73","0","2016","3","","Tooele County, Utah","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,2,19596,0,0,565,"",72.15,4.01,4.01,2.64,1.70,0.00,0.00,0.48,"",0,0.0,0,0.0,-1,-25.0,-2,-50.0,-6342,-24.5,0,0.0,0,0.0,21,3.9
"49045","1","1022","73","0","2016","4","","Tooele County, Utah","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,3,4,4,24855,0,0,521,"",71.26,4.00,5.37,5.38,2.65,0.00,0.00,0.54,"",0,0.0,-1,-25.0,0,0.0,0,0.0,-6710,-21.3,0,0.0,0,0.0,-86,-14.2
