"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"50017","0","10","70","0","2016","1","","Orange County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",847,7332,7460,7517,67777020,33780341,1222638,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.5,-201,-2.7,-44,-0.6,31,0.4,2891943,4.5,260764,0.8,-63845,-5.0,36,5.4
"50017","0","10","70","0","2016","2","","Orange County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",858,7572,7818,7846,72560798,23539985,904663,721,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.7,-38,-0.5,-176,-2.2,-121,-1.5,227934,0.3,641965,2.8,-13336,-1.5,13,1.8
"50017","0","10","70","0","2016","3","","Orange County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",863,7796,7475,7965,74303675,14843277,591919,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,271,3.6,-317,-4.1,-17,-0.2,4985232,7.2,333024,2.3,14820,2.6,51,7.4
"50017","0","10","70","0","2016","4","","Orange County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",859,7854,7730,7620,75437287,8448319,310309,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.7,-106,-1.3,-30,-0.4,-178,-2.3,-4718785,-5.9,-32447,-0.4,3493,1.1,-37,-4.7
"50017","1","10","71","0","2016","1","","Orange County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,74,73,73,760886,0,0,798,"",4.88,0.51,0.49,0.49,0.39,0.00,0.00,0.79,"",0,0.0,-7,-8.6,-4,-5.2,-7,-8.8,-105590,-12.2,0,0.0,0,0.0,-42,-5.0
"50017","1","10","71","0","2016","2","","Orange County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,75,77,78,789021,0,0,792,"",5.05,0.51,0.50,0.51,0.40,0.00,0.00,0.78,"",1,3.8,-4,-5.1,-2,-2.5,-2,-2.5,39833,5.3,0,0.0,0,0.0,66,9.1
"50017","1","10","71","0","2016","3","","Orange County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,73,75,75,915080,0,0,947,"",5.06,0.47,0.51,0.48,0.40,0.00,0.00,0.82,"",1,3.8,-6,-7.6,-4,-5.1,-2,-2.6,3470,0.4,0,0.0,0,0.0,52,5.8
"50017","1","10","71","0","2016","4","","Orange County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,75,73,75,936288,0,0,969,"",5.12,0.49,0.48,0.50,0.44,0.00,0.00,0.90,"",1,3.8,-5,-6.2,-1,-1.4,-4,-5.1,58535,6.7,0,0.0,0,0.0,100,11.5
"50017","1","102","72","0","2016","1","","Orange County, Vermont","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,74,73,73,760886,0,0,798,"",4.89,0.52,0.50,0.50,0.40,0.00,0.00,0.79,"",0,0.0,-7,-8.6,-4,-5.2,-7,-8.8,-105590,-12.2,0,0.0,0,0.0,-42,-5.0
"50017","1","102","72","0","2016","2","","Orange County, Vermont","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,75,77,78,789021,0,0,792,"",5.06,0.52,0.51,0.51,0.40,0.00,0.00,0.78,"",1,3.8,-4,-5.1,-2,-2.5,-2,-2.5,39833,5.3,0,0.0,0,0.0,66,9.1
