"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51031","0","10","70","0","2016","1","","Campbell County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1394,16473,16415,16605,184711607,85641473,1479097,861,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",131,10.4,379,2.4,289,1.8,352,2.2,7337008,4.1,2567011,3.1,-452234,-23.4,17,2.0
"51031","0","10","70","0","2016","2","","Campbell County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1404,16801,16933,17077,177771912,22293724,403900,807,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",60,4.5,243,1.5,164,1.0,236,1.4,6637789,3.9,-8328,0.0,-179797,-30.8,20,2.5
"51031","0","10","70","0","2016","3","","Campbell County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1413,16963,16694,16696,186786108,13261298,217192,856,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",50,3.7,-61,-0.4,-180,-1.1,-167,-1.0,8330201,4.7,326506,2.5,-80789,-27.1,45,5.5
"51031","0","10","70","0","2016","4","","Campbell County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1381,16699,16643,16594,189077761,9646512,151947,874,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.6,-181,-1.1,-211,-1.3,-202,-1.2,386576,0.2,-155824,-1.6,-62918,-29.3,12,1.4
"51031","1","10","71","0","2016","1","","Campbell County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,78,71,73,812709,0,0,845,"",1.14,0.24,0.22,0.22,0.15,0.00,0.00,0.68,"",0,0.0,4,5.4,0,0.0,0,0.0,-113548,-12.3,0,0.0,0,0.0,-136,-13.9
"51031","1","10","71","0","2016","2","","Campbell County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,74,73,73,796970,0,0,836,"",1.14,0.23,0.22,0.22,0.16,0.00,0.00,0.74,"",0,0.0,4,5.7,-1,-1.4,-2,-2.7,6519,0.8,0,0.0,0,0.0,3,0.4
"51031","1","10","71","0","2016","3","","Campbell County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,73,68,70,913092,0,0,999,"",1.14,0.22,0.21,0.21,0.16,0.00,0.00,0.74,"",0,0.0,2,2.8,-6,-8.1,-5,-6.7,-3140,-0.3,0,0.0,0,0.0,38,4.0
"51031","1","10","71","0","2016","4","","Campbell County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,74,75,77,936691,0,0,956,"",1.18,0.23,0.23,0.24,0.18,0.00,0.00,0.76,"",0,0.0,2,2.8,6,8.7,2,2.7,20067,2.2,0,0.0,0,0.0,-23,-2.3
"51031","1","102","72","0","2016","1","","Campbell County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,78,71,73,812709,0,0,845,"",1.14,0.24,0.22,0.23,0.16,0.00,0.00,0.68,"",0,0.0,4,5.4,0,0.0,0,0.0,-113548,-12.3,0,0.0,0,0.0,-136,-13.9
"51031","1","102","72","0","2016","2","","Campbell County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,74,73,73,796970,0,0,836,"",1.14,0.23,0.22,0.22,0.17,0.00,0.00,0.74,"",0,0.0,4,5.7,-1,-1.4,-2,-2.7,6519,0.8,0,0.0,0,0.0,3,0.4
"51031","1","102","72","0","2016","3","","Campbell County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,73,68,70,913092,0,0,999,"",1.15,0.22,0.21,0.22,0.16,0.00,0.00,0.74,"",0,0.0,2,2.8,-6,-8.1,-5,-6.7,-3140,-0.3,0,0.0,0,0.0,38,4.0
