"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51041","0","10","70","0","2016","1","","Chesterfield County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8811,133891,132283,132440,1446893308,632139142,11591429,838,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",754,9.4,7106,5.6,6937,5.5,6969,5.6,32034158,2.3,36664941,6.2,-2669247,-18.7,-27,-3.1
"51041","0","10","70","0","2016","2","","Chesterfield County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8930,133448,134154,135150,1466704725,181409825,2994073,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",432,5.1,5488,4.3,4368,3.4,3989,3.0,66798475,4.8,8101243,4.7,-813414,-21.4,9,1.1
"51041","0","10","70","0","2016","3","","Chesterfield County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8967,133020,133048,132001,1522355504,123513482,2156404,883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",322,3.7,1388,1.1,1364,1.0,372,0.3,95316941,6.7,2688170,2.2,-587856,-21.4,49,5.9
"51041","0","10","70","0","2016","4","","Chesterfield County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8774,134001,136549,138808,1577899002,107647717,1947917,890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",84,1.0,152,0.1,-1745,-1.3,-1101,-0.8,-12397748,-0.8,-13057795,-10.8,-1334506,-40.7,-1,-0.1
"51041","1","10","71","0","2016","1","","Chesterfield County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,3120,3162,3212,55919635,0,0,1359,"",0.23,1.17,1.21,1.23,1.36,0.00,0.00,1.13,"",-3,-18.8,231,8.0,278,9.6,336,11.7,-3844179,-6.4,0,0.0,0,0.0,-236,-14.8
"51041","1","10","71","0","2016","2","","Chesterfield County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,3211,3225,3274,58577122,0,0,1392,"",0.23,1.23,1.23,1.23,1.46,0.00,0.00,1.18,"",-3,-18.8,336,11.7,342,11.9,354,12.1,7745622,15.2,0,0.0,0,0.0,40,3.0
"51041","1","10","71","0","2016","3","","Chesterfield County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,3302,3301,3309,67293753,0,0,1567,"",0.23,1.25,1.25,1.28,1.43,0.00,0.00,1.13,"",-2,-13.3,293,9.7,277,9.2,217,7.0,5273970,8.5,0,0.0,0,0.0,-1,-0.1
"51041","1","10","71","0","2016","4","","Chesterfield County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,3284,3285,3272,67014025,0,0,1571,"",0.24,1.26,1.23,1.20,1.51,0.00,0.00,1.23,"",0,0.0,203,6.6,158,5.1,137,4.4,11919566,21.6,0,0.0,0,0.0,210,15.4
"51041","1","102","72","0","2016","1","","Chesterfield County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,3120,3162,3212,55919635,0,0,1359,"",0.23,1.19,1.23,1.25,1.38,0.00,0.00,1.13,"",-3,-18.8,231,8.0,278,9.6,336,11.7,-3844179,-6.4,0,0.0,0,0.0,-236,-14.8
"51041","1","102","72","0","2016","2","","Chesterfield County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,3211,3225,3274,58577122,0,0,1392,"",0.23,1.25,1.25,1.25,1.48,0.00,0.00,1.18,"",-3,-18.8,336,11.7,342,11.9,354,12.1,7745622,15.2,0,0.0,0,0.0,40,3.0
"51041","1","102","72","0","2016","3","","Chesterfield County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,3302,3301,3309,67293753,0,0,1567,"",0.23,1.27,1.28,1.30,1.45,0.00,0.00,1.13,"",-2,-13.3,293,9.7,277,9.2,217,7.0,5273970,8.5,0,0.0,0,0.0,-1,-0.1
"51041","1","102","72","0","2016","4","","Chesterfield County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,3284,3285,3272,67014025,0,0,1571,"",0.24,1.28,1.26,1.22,1.53,0.00,0.00,1.23,"",0,0.0,203,6.6,158,5.1,137,4.4,11919566,21.6,0,0.0,0,0.0,210,15.4
