"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51047","0","10","70","0","2016","1","","Culpeper County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1387,15151,15062,15228,149204914,63764810,1041335,758,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",103,8.0,-92,-0.6,-119,-0.8,-164,-1.1,4424708,3.1,775993,1.2,-293376,-22.0,29,4.0
"51047","0","10","70","0","2016","2","","Culpeper County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1422,15507,15615,15687,152574649,20625201,322608,752,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,5.5,-155,-1.0,-90,-0.6,-68,-0.4,2039649,1.4,-1790054,-8.0,-102163,-24.1,15,2.0
"51047","0","10","70","0","2016","3","","Culpeper County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1424,15584,15696,15618,168176372,13335064,203747,828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",62,4.6,-75,-0.5,139,0.9,122,0.8,12874673,8.3,339454,2.6,-69457,-25.4,61,8.0
"51047","0","10","70","0","2016","4","","Culpeper County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1392,15484,15613,15530,164288706,10053699,157490,813,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.0,-245,-1.6,-72,-0.5,-311,-2.0,-381463,-0.2,-613775,-5.8,-72031,-31.4,9,1.1
"51047","1","10","71","0","2016","1","","Culpeper County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,211,213,212,3616716,0,0,1312,"",2.18,0.70,0.71,0.70,0.85,0.00,0.00,1.20,"",0,0.0,-5,-2.3,-1,-0.5,-3,-1.4,-110457,-3.0,0,0.0,0,0.0,-22,-1.6
"51047","1","10","71","0","2016","2","","Culpeper County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,217,213,211,3345372,0,0,1204,"",2.14,0.71,0.70,0.68,0.80,0.00,0.00,1.14,"",0,0.0,7,3.3,4,1.9,0,0.0,268671,8.7,0,0.0,0,0.0,77,6.8
"51047","1","10","71","0","2016","3","","Culpeper County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,215,218,215,3965349,0,0,1412,"",2.04,0.69,0.70,0.70,0.76,0.00,0.00,1.09,"",-1,-5.3,2,0.9,7,3.3,8,3.9,293572,8.0,0,0.0,0,0.0,69,5.1
"51047","1","10","71","0","2016","4","","Culpeper County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,219,219,216,3602516,0,0,1271,"",2.11,0.72,0.72,0.71,0.78,0.00,0.00,1.09,"",-1,-5.3,11,5.3,9,4.3,4,1.9,241092,7.2,0,0.0,0,0.0,40,3.2
"51047","1","102","72","0","2016","1","","Culpeper County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,211,213,212,3616716,0,0,1312,"",2.18,0.71,0.73,0.72,0.87,0.00,0.00,1.20,"",0,0.0,-5,-2.3,-1,-0.5,-3,-1.4,-110457,-3.0,0,0.0,0,0.0,-22,-1.6
"51047","1","102","72","0","2016","2","","Culpeper County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,217,213,211,3345372,0,0,1204,"",2.15,0.73,0.71,0.70,0.81,0.00,0.00,1.14,"",0,0.0,7,3.3,4,1.9,0,0.0,268671,8.7,0,0.0,0,0.0,77,6.8
