"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51079","0","10","70","0","2016","1","","Greene County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",487,3550,3567,3622,29187356,13971678,204675,627,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,10.2,160,4.7,195,5.8,172,5.0,1891814,6.9,985120,7.6,-41410,-16.8,10,1.6
"51079","0","10","70","0","2016","2","","Greene County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",498,3630,3703,3752,31180175,5437818,76063,649,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",35,7.6,84,2.4,106,2.9,143,4.0,1989085,6.8,120138,2.3,-22811,-23.1,22,3.5
"51079","0","10","70","0","2016","3","","Greene County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",507,3669,3683,3664,32043727,3163516,47922,671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",33,7.0,56,1.5,38,1.0,37,1.0,1943131,6.5,130988,4.3,-9186,-16.1,33,5.2
"51079","0","10","70","0","2016","4","","Greene County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",479,3739,3751,3697,32845692,2239676,32732,678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,69,1.9,98,2.7,78,2.2,723603,2.3,-65543,-2.8,-10055,-23.5,1,0.1
"51079","1","10","71","0","2016","1","","Greene County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,31,30,407979,0,0,1046,"",1.96,0.41,0.44,0.42,0.49,0.00,0.00,1.16,"",0,0.0,-4,-12.1,-2,-6.1,-5,-14.3,-103663,-20.3,0,0.0,0,0.0,-123,-10.5
"51079","1","10","71","0","2016","2","","Greene County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,31,31,32,406241,0,0,997,"",1.93,0.44,0.43,0.43,0.47,0.00,0.00,1.10,"",0,0.0,-3,-8.8,-2,-6.1,-2,-5.9,-33879,-7.7,0,0.0,0,0.0,-9,-0.9
"51079","1","10","71","0","2016","3","","Greene County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,32,34,34,488634,0,0,1128,"",1.91,0.44,0.47,0.47,0.49,0.00,0.00,1.07,"",0,0.0,-5,-13.5,1,3.0,1,3.0,-40070,-7.6,0,0.0,0,0.0,-57,-4.8
"51079","1","10","71","0","2016","4","","Greene County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,32,32,30,471803,0,0,1158,"",2.04,0.44,0.44,0.41,0.51,0.00,0.00,1.19,"",0,0.0,-1,-3.0,0,0.0,-3,-9.1,28446,6.4,0,0.0,0,0.0,114,10.9
"51079","1","102","72","0","2016","1","","Greene County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,31,30,407979,0,0,1046,"",1.96,0.42,0.45,0.43,0.50,0.00,0.00,1.16,"",0,0.0,-4,-12.1,-2,-6.1,-5,-14.3,-103663,-20.3,0,0.0,0,0.0,-123,-10.5
"51079","1","102","72","0","2016","2","","Greene County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,31,31,32,406241,0,0,997,"",1.94,0.44,0.44,0.44,0.48,0.00,0.00,1.10,"",0,0.0,-3,-8.8,-2,-6.1,-2,-5.9,-33879,-7.7,0,0.0,0,0.0,-9,-0.9
"51079","1","102","72","0","2016","3","","Greene County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,32,34,34,488634,0,0,1128,"",1.92,0.45,0.47,0.48,0.50,0.00,0.00,1.07,"",0,0.0,-5,-13.5,1,3.0,1,3.0,-40070,-7.6,0,0.0,0,0.0,-57,-4.8
"51079","1","102","72","0","2016","4","","Greene County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,32,32,30,471803,0,0,1158,"",2.04,0.45,0.45,0.42,0.52,0.00,0.00,1.19,"",0,0.0,-1,-3.0,0,0.0,-3,-9.1,28446,6.4,0,0.0,0,0.0,114,10.9
"51079","1","1021","73","0","2016","1","","Greene County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,23,22,271410,0,0,935,"",2.61,1.29,1.33,1.26,1.88,0.00,0.00,1.45,"",0,0.0,-2,-8.3,-1,-4.2,-3,-12.0,-57549,-17.5,0,0.0,0,0.0,-105,-10.1
"51079","1","1021","73","0","2016","2","","Greene County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,23,22,22,259469,0,0,894,"",2.58,1.33,1.25,1.23,1.67,0.00,0.00,1.31,"",0,0.0,-1,-4.2,-1,-4.3,-1,-4.3,-20848,-7.4,0,0.0,0,0.0,-30,-3.2
"51079","1","1021","73","0","2016","3","","Greene County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,24,24,313231,0,0,1033,"",2.56,1.25,1.36,1.37,1.75,0.00,0.00,1.32,"",0,0.0,-4,-15.4,1,4.3,1,4.3,-11283,-3.5,0,0.0,0,0.0,-7,-0.7
"51079","1","1021","73","0","2016","4","","Greene County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,24,23,350574,0,0,1172,"",2.73,1.24,1.35,1.26,1.87,0.00,0.00,1.45,"",0,0.0,-2,-8.3,1,4.3,-2,-8.0,40989,13.2,0,0.0,0,0.0,180,18.1
"51079","1","1026","73","0","2016","1","","Greene County, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,6,7,7,110219,0,0,1272,"",12.53,5.01,5.79,5.62,12.70,0.00,0.00,2.32,"",0,0.0,-1,-14.3,0,0.0,-1,-12.5,-20765,-15.9,0,0.0,0,0.0,-102,-7.4
"51079","1","1026","73","0","2016","2","","Greene County, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,9,118818,0,0,1142,"",12.43,5.57,5.94,6.12,12.58,0.00,0.00,2.13,"",0,0.0,-1,-12.5,0,0.0,0,0.0,3273,2.8,0,0.0,0,0.0,75,7.0
"51079","1","1026","73","0","2016","3","","Greene County, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,150798,0,0,1289,"",12.29,6.17,6.25,6.51,13.52,0.00,0.00,2.14,"",0,0.0,0,0.0,0,0.0,0,0.0,-2556,-1.7,0,0.0,0,0.0,-22,-1.7
"51079","1","1026","73","0","2016","4","","Greene County, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,7,6,90008,0,0,944,"",13.09,6.84,5.54,4.82,10.19,0.00,0.00,1.77,"",0,0.0,1,12.5,-1,-12.5,-1,-14.3,-19794,-18.0,0,0.0,0,0.0,-158,-14.3
"51079","1","1028","73","0","2016","1","","Greene County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26350,0,0,2027,"",0.80,0.03,0.03,0.03,0.05,0.00,0.00,1.95,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-25349,-49.0,0,0.0,0,0.0,39,2.0
