"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51081","0","10","70","0","2016","1","","Greensville County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",225,4587,4550,4524,41923294,17255180,290116,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,33.1,250,5.8,242,5.6,230,5.4,2528207,6.4,-499712,-2.8,-141898,-32.8,5,0.7
"51081","0","10","70","0","2016","2","","Greensville County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,4657,4592,4590,43076557,4851312,69246,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,7.2,247,5.6,132,3.0,125,2.8,1502229,3.6,92789,1.9,-34190,-33.1,-1,-0.1
"51081","0","10","70","0","2016","3","","Greensville County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",220,4612,4618,4679,43905524,2915694,40416,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,59,1.3,79,1.7,73,1.6,2070972,5.0,-253790,-8.0,-24552,-37.8,23,3.3
"51081","0","10","70","0","2016","4","","Greensville County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",218,4598,4617,4607,44607460,2488654,46059,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.2,-57,-1.2,-55,-1.2,-122,-2.6,1177096,2.7,-293150,-10.5,-17132,-27.1,32,4.5
"51081","1","10","71","0","2016","1","","Greensville County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,30,27,28,299892,0,0,814,"",2.12,0.33,0.30,0.31,0.25,0.00,0.00,0.80,"",0,0.0,4,15.4,3,12.5,2,7.7,-48155,-13.8,0,0.0,0,0.0,-243,-23.0
"51081","1","10","71","0","2016","2","","Greensville County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,26,25,24,293913,0,0,904,"",2.16,0.29,0.28,0.27,0.25,0.00,0.00,0.90,"",0,0.0,-2,-7.1,0,0.0,-2,-7.7,-15090,-4.9,0,0.0,0,0.0,1,0.1
"51081","1","10","71","0","2016","3","","Greensville County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,26,27,27,338537,0,0,977,"",2.21,0.28,0.30,0.29,0.25,0.00,0.00,0.86,"",0,0.0,-2,-7.1,-2,-6.9,-2,-6.9,-15824,-4.5,0,0.0,0,0.0,26,2.7
"51081","1","10","71","0","2016","4","","Greensville County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,25,26,28,352905,0,0,1031,"",2.24,0.28,0.29,0.31,0.28,0.00,0.00,0.96,"",0,0.0,-4,-13.8,-5,-16.1,-3,-9.7,-1549,-0.4,0,0.0,0,0.0,132,14.7
"51081","1","102","72","0","2016","1","","Greensville County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,30,27,28,299892,0,0,814,"",2.12,0.34,0.31,0.32,0.26,0.00,0.00,0.80,"",0,0.0,4,15.4,3,12.5,2,7.7,-48155,-13.8,0,0.0,0,0.0,-243,-23.0
"51081","1","102","72","0","2016","2","","Greensville County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,26,25,24,293913,0,0,904,"",2.16,0.29,0.28,0.27,0.25,0.00,0.00,0.90,"",0,0.0,-2,-7.1,0,0.0,-2,-7.7,-15090,-4.9,0,0.0,0,0.0,1,0.1
