"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51143","0","10","70","0","2016","1","","Pittsylvania County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1313,12235,12135,12322,94553358,53510333,1158586,595,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",64,5.1,37,0.3,-83,-0.7,-25,-0.2,1554688,1.7,210087,0.4,-202111,-14.9,11,1.9
"51143","0","10","70","0","2016","2","","Pittsylvania County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1333,12355,12450,12317,100009560,17256903,352594,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,3.3,-182,-1.5,-228,-1.8,-413,-3.2,26865,0.0,-659681,-3.7,-60745,-14.7,14,2.3
"51143","0","10","70","0","2016","3","","Pittsylvania County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1356,10928,12102,12087,98993102,9794782,196537,651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,3.6,-442,-3.9,-378,-3.0,-419,-3.4,2563087,2.7,-1483296,-13.2,-102957,-34.4,39,6.4
"51143","0","10","70","0","2016","4","","Pittsylvania County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1285,12253,12267,12181,104081749,7336198,146042,654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-27,-2.1,-396,-3.1,-391,-3.1,-513,-4.0,-1015399,-1.0,-1293723,-15.0,-70378,-32.5,16,2.5
"51143","1","10","71","0","2016","1","","Pittsylvania County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,86,86,88,863008,0,0,766,"",1.94,0.35,0.36,0.36,0.32,0.00,0.00,0.90,"",0,0.0,-1,-1.1,0,0.0,6,7.3,-127218,-12.8,0,0.0,0,0.0,-130,-14.5
"51143","1","10","71","0","2016","2","","Pittsylvania County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,88,86,86,862244,0,0,765,"",1.92,0.36,0.35,0.35,0.31,0.00,0.00,0.88,"",0,0.0,6,7.3,7,8.9,4,4.9,18205,2.2,0,0.0,0,0.0,-37,-4.6
"51143","1","10","71","0","2016","3","","Pittsylvania County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,88,87,86,994898,0,0,880,"",1.91,0.40,0.36,0.36,0.32,0.00,0.00,0.86,"",0,0.0,5,6.0,2,2.4,6,7.5,-1292,-0.1,0,0.0,0,0.0,-47,-5.1
"51143","1","10","71","0","2016","4","","Pittsylvania County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,88,90,89,957082,0,0,827,"",2.03,0.37,0.38,0.37,0.33,0.00,0.00,0.88,"",0,0.0,4,4.8,4,4.7,-1,-1.1,-13142,-1.4,0,0.0,0,0.0,-34,-3.9
"51143","1","102","72","0","2016","1","","Pittsylvania County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,86,86,88,863008,0,0,766,"",1.94,0.36,0.36,0.37,0.33,0.00,0.00,0.90,"",0,0.0,-1,-1.1,0,0.0,6,7.3,-127218,-12.8,0,0.0,0,0.0,-130,-14.5
"51143","1","102","72","0","2016","2","","Pittsylvania County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,88,86,86,862244,0,0,765,"",1.93,0.37,0.36,0.36,0.32,0.00,0.00,0.88,"",0,0.0,6,7.3,7,8.9,4,4.9,18205,2.2,0,0.0,0,0.0,-37,-4.6
"51143","1","102","72","0","2016","3","","Pittsylvania County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,88,87,86,994898,0,0,880,"",1.91,0.41,0.37,0.37,0.33,0.00,0.00,0.86,"",0,0.0,5,6.0,2,2.4,6,7.5,-1292,-0.1,0,0.0,0,0.0,-47,-5.1
"51143","1","102","72","0","2016","4","","Pittsylvania County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,88,90,89,957082,0,0,827,"",2.03,0.37,0.38,0.38,0.33,0.00,0.00,0.88,"",0,0.0,4,4.8,4,4.7,-1,-1.1,-13142,-1.4,0,0.0,0,0.0,-34,-3.9
"51143","1","1021","73","0","2016","1","","Pittsylvania County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,74,74,76,677723,0,0,698,"",3.15,1.26,1.26,1.28,1.45,0.00,0.00,1.14,"",0,0.0,-2,-2.6,3,4.2,7,10.1,-124032,-15.5,0,0.0,0,0.0,-159,-18.6
"51143","1","1021","73","0","2016","2","","Pittsylvania County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,76,74,74,703105,0,0,724,"",3.13,1.30,1.25,1.26,1.41,0.00,0.00,1.11,"",0,0.0,5,7.0,6,8.8,5,7.2,29837,4.4,0,0.0,0,0.0,-23,-3.1
"51143","1","1021","73","0","2016","3","","Pittsylvania County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,76,75,74,804675,0,0,825,"",3.11,1.45,1.29,1.28,1.45,0.00,0.00,1.09,"",0,0.0,6,8.6,2,2.7,5,7.2,9600,1.2,0,0.0,0,0.0,-40,-4.6
"51143","1","1021","73","0","2016","4","","Pittsylvania County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,76,74,74,799233,0,0,823,"",3.30,1.31,1.27,1.23,1.34,0.00,0.00,1.06,"",0,0.0,4,5.6,0,0.0,0,0.0,-12266,-1.5,0,0.0,0,0.0,-28,-3.3
"51143","1","1028","73","0","2016","1","","Pittsylvania County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,185285,0,0,1188,"",0.89,0.09,0.09,0.09,0.11,0.00,0.00,1.21,"",0,0.0,1,9.1,-3,-20.0,-1,-7.7,-3186,-1.7,0,0.0,0,0.0,73,6.5
"51143","1","1028","73","0","2016","2","","Pittsylvania County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,159139,0,0,1020,"",0.89,0.09,0.09,0.09,0.09,0.00,0.00,1.04,"",0,0.0,1,9.1,1,9.1,-1,-7.7,-11632,-6.8,0,0.0,0,0.0,-106,-9.4
"51143","1","1028","73","0","2016","3","","Pittsylvania County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,190223,0,0,1219,"",0.88,0.10,0.09,0.09,0.10,0.00,0.00,1.06,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-10892,-5.4,0,0.0,0,0.0,-70,-5.4
"51143","1","1028","73","0","2016","4","","Pittsylvania County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,16,15,157849,0,0,847,"",0.93,0.09,0.12,0.12,0.09,0.00,0.00,0.82,"",0,0.0,0,0.0,4,33.3,-1,-6.2,-876,-0.6,0,0.0,0,0.0,-69,-7.5
"51143","1","48-49","74","0","2016","1","","Pittsylvania County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,74,74,76,677723,0,0,698,"",3.24,1.38,1.38,1.40,1.56,0.00,0.00,1.12,"",0,0.0,-2,-2.6,3,4.2,7,10.1,-124032,-15.5,0,0.0,0,0.0,-159,-18.6
"51143","1","48-49","74","0","2016","2","","Pittsylvania County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,76,74,74,703105,0,0,724,"",3.22,1.42,1.37,1.38,1.52,0.00,0.00,1.10,"",0,0.0,5,7.0,6,8.8,5,7.2,29837,4.4,0,0.0,0,0.0,-23,-3.1
"51143","1","48-49","74","0","2016","3","","Pittsylvania County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,76,75,74,804675,0,0,825,"",3.20,1.59,1.41,1.40,1.56,0.00,0.00,1.06,"",0,0.0,6,8.6,2,2.7,5,7.2,9600,1.2,0,0.0,0,0.0,-40,-4.6
"51143","1","48-49","74","0","2016","4","","Pittsylvania County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,76,74,74,799233,0,0,823,"",3.40,1.43,1.39,1.34,1.45,0.00,0.00,1.04,"",0,0.0,4,5.6,0,0.0,0,0.0,-12266,-1.5,0,0.0,0,0.0,-28,-3.3
"51143","1","491","75","0","2016","1","","Pittsylvania County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,74,74,76,677723,0,0,698,"",3.27,1.41,1.41,1.43,1.64,0.00,0.00,1.16,"",0,0.0,-2,-2.6,3,4.2,7,10.1,-124032,-15.5,0,0.0,0,0.0,-159,-18.6
"51143","1","491","75","0","2016","2","","Pittsylvania County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,76,74,74,703105,0,0,724,"",3.24,1.45,1.40,1.41,1.59,0.00,0.00,1.12,"",0,0.0,5,7.0,6,8.8,5,7.2,29837,4.4,0,0.0,0,0.0,-23,-3.1
"51143","1","491","75","0","2016","3","","Pittsylvania County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,76,75,74,804675,0,0,825,"",3.22,1.62,1.44,1.43,1.63,0.00,0.00,1.09,"",0,0.0,6,8.6,2,2.7,5,7.2,9600,1.2,0,0.0,0,0.0,-40,-4.6
"51143","1","491","75","0","2016","4","","Pittsylvania County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,76,74,74,799233,0,0,823,"",3.42,1.46,1.42,1.37,1.50,0.00,0.00,1.06,"",0,0.0,4,5.6,0,0.0,0,0.0,-12266,-1.5,0,0.0,0,0.0,-28,-3.3
"51143","1","4911","76","0","2016","1","","Pittsylvania County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,74,74,76,677723,0,0,698,"",3.27,1.41,1.41,1.43,1.64,0.00,0.00,1.16,"",0,0.0,-2,-2.6,3,4.2,7,10.1,-124032,-15.5,0,0.0,0,0.0,-159,-18.6
"51143","1","4911","76","0","2016","2","","Pittsylvania County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,76,74,74,703105,0,0,724,"",3.24,1.45,1.40,1.41,1.59,0.00,0.00,1.12,"",0,0.0,5,7.0,6,8.8,5,7.2,29837,4.4,0,0.0,0,0.0,-23,-3.1
"51143","1","4911","76","0","2016","3","","Pittsylvania County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,76,75,74,804675,0,0,825,"",3.22,1.62,1.44,1.43,1.63,0.00,0.00,1.09,"",0,0.0,6,8.6,2,2.7,5,7.2,9600,1.2,0,0.0,0,0.0,-40,-4.6
"51143","1","4911","76","0","2016","4","","Pittsylvania County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,76,74,74,799233,0,0,823,"",3.42,1.46,1.42,1.37,1.50,0.00,0.00,1.06,"",0,0.0,4,5.6,0,0.0,0,0.0,-12266,-1.5,0,0.0,0,0.0,-28,-3.3
"51143","1","49111","77","0","2016","1","","Pittsylvania County, Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,74,74,76,677723,0,0,698,"",3.27,1.41,1.41,1.43,1.64,0.00,0.00,1.16,"",0,0.0,-2,-2.6,3,4.2,7,10.1,-124032,-15.5,0,0.0,0,0.0,-159,-18.6
"51143","1","49111","77","0","2016","2","","Pittsylvania County, Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,76,74,74,703105,0,0,724,"",3.24,1.45,1.40,1.41,1.59,0.00,0.00,1.12,"",0,0.0,5,7.0,6,8.8,5,7.2,29837,4.4,0,0.0,0,0.0,-23,-3.1
"51143","1","49111","77","0","2016","3","","Pittsylvania County, Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,76,75,74,804675,0,0,825,"",3.22,1.62,1.44,1.43,1.63,0.00,0.00,1.09,"",0,0.0,6,8.6,2,2.7,5,7.2,9600,1.2,0,0.0,0,0.0,-40,-4.6
