"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51197","0","10","70","0","2016","1","","Wythe County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",884,11454,11436,11527,89252426,53647853,1103647,598,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,6.9,149,1.3,93,0.8,180,1.6,2192680,2.5,1118007,2.1,-240891,-17.9,7,1.2
"51197","0","10","70","0","2016","2","","Wythe County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",891,11609,11728,11681,99301222,17631029,304870,654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,2.9,63,0.5,3,0.0,-3,0.0,4931002,5.2,11354,0.1,-79765,-20.7,31,5.0
"51197","0","10","70","0","2016","3","","Wythe County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",906,11861,11845,11793,95182118,11245403,207742,619,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.1,129,1.1,124,1.1,164,1.4,6686429,7.6,632786,6.0,-20105,-8.8,37,6.4
"51197","0","10","70","0","2016","4","","Wythe County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",879,11735,11828,11864,98436666,9473128,184640,641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,188,1.6,141,1.2,69,0.6,-4744169,-4.6,194739,2.1,-34174,-15.6,-39,-5.7
"51197","1","10","71","0","2016","1","","Wythe County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,72,72,74,869750,0,0,921,"",1.80,0.32,0.32,0.33,0.34,0.00,0.00,1.07,"",-1,-9.1,-1,-1.4,-3,-4.0,-2,-2.6,-150440,-14.7,0,0.0,0,0.0,-130,-12.4
"51197","1","10","71","0","2016","2","","Wythe County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,70,72,72,802026,0,0,865,"",1.80,0.31,0.31,0.31,0.29,0.00,0.00,0.94,"",-1,-9.1,-6,-7.9,-1,-1.4,1,1.4,-26357,-3.2,0,0.0,0,0.0,-4,-0.5
"51197","1","10","71","0","2016","3","","Wythe County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,74,74,73,963478,0,0,1006,"",1.78,0.31,0.32,0.31,0.33,0.00,0.00,1.04,"",0,0.0,3,4.2,1,1.4,-2,-2.7,3206,0.3,0,0.0,0,0.0,-6,-0.6
"51197","1","10","71","0","2016","4","","Wythe County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,78,74,75,963600,0,0,980,"",1.85,0.34,0.32,0.32,0.35,0.00,0.00,1.06,"",0,0.0,5,6.8,0,0.0,0,0.0,29330,3.1,0,0.0,0,0.0,9,0.9
"51197","1","102","72","0","2016","1","","Wythe County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,72,72,74,869750,0,0,921,"",1.80,0.32,0.32,0.33,0.35,0.00,0.00,1.07,"",-1,-9.1,-1,-1.4,-3,-4.0,-2,-2.6,-150440,-14.7,0,0.0,0,0.0,-130,-12.4
"51197","1","102","72","0","2016","2","","Wythe County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,70,72,72,802026,0,0,865,"",1.80,0.31,0.32,0.32,0.30,0.00,0.00,0.94,"",-1,-9.1,-6,-7.9,-1,-1.4,1,1.4,-26357,-3.2,0,0.0,0,0.0,-4,-0.5
"51197","1","102","72","0","2016","3","","Wythe County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,74,74,73,963478,0,0,1006,"",1.79,0.32,0.32,0.32,0.33,0.00,0.00,1.04,"",0,0.0,3,4.2,1,1.4,-2,-2.7,3206,0.3,0,0.0,0,0.0,-6,-0.6
"51197","1","102","72","0","2016","4","","Wythe County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,78,74,75,963600,0,0,980,"",1.86,0.35,0.33,0.33,0.35,0.00,0.00,1.06,"",0,0.0,5,6.8,0,0.0,0,0.0,29330,3.1,0,0.0,0,0.0,9,0.9
"51197","1","1021","73","0","2016","1","","Wythe County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,55,55,56,602900,0,0,838,"",2.52,1.00,1.00,1.01,1.37,0.00,0.00,1.37,"",0,0.0,0,0.0,-2,-3.5,-1,-1.8,-124793,-17.1,0,0.0,0,0.0,-156,-15.7
"51197","1","1021","73","0","2016","2","","Wythe County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,54,56,56,584119,0,0,812,"",2.52,0.98,1.00,1.01,1.18,0.00,0.00,1.18,"",0,0.0,-2,-3.6,1,1.8,1,1.8,-4790,-0.8,0,0.0,0,0.0,-7,-0.9
"51197","1","1021","73","0","2016","3","","Wythe County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,57,57,56,693429,0,0,941,"",2.50,1.00,1.00,1.00,1.30,0.00,0.00,1.30,"",0,0.0,3,5.6,2,3.6,0,0.0,10685,1.6,0,0.0,0,0.0,-14,-1.5
"51197","1","1021","73","0","2016","4","","Wythe County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,56,55,53,707984,0,0,996,"",2.60,1.00,0.98,0.91,1.26,0.00,0.00,1.31,"",0,0.0,1,1.8,-1,-1.8,-1,-1.9,15615,2.3,0,0.0,0,0.0,28,2.9
"51197","1","1023","73","0","2016","1","","Wythe County, Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,7,109146,0,0,1326,"",13.56,5.43,5.51,6.45,5.73,0.00,0.00,0.99,"",0,0.0,-2,-25.0,-2,-25.0,-1,-12.5,-31222,-22.2,0,0.0,0,0.0,-24,-1.8
"51197","1","1023","73","0","2016","2","","Wythe County, Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,90115,0,0,1155,"",13.63,5.56,5.56,5.50,4.83,0.00,0.00,0.87,"",0,0.0,-1,-14.3,-2,-25.0,0,0.0,-18514,-17.0,0,0.0,0,0.0,-39,-3.3
"51197","1","1023","73","0","2016","3","","Wythe County, Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,106904,0,0,1371,"",13.51,5.41,5.49,5.62,5.55,0.00,0.00,1.01,"",0,0.0,-1,-14.3,-1,-14.3,-1,-14.3,-11250,-9.5,0,0.0,0,0.0,73,5.6
