"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"51650","0","10","70","0","2016","1","","Hampton City, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2842,53953,54102,54242,581671186,192158493,4320018,827,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",168,6.3,819,1.5,861,1.6,959,1.8,-14662245,-2.5,10542589,5.8,-690385,-13.8,-35,-4.1
"51650","0","10","70","0","2016","2","","Hampton City, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2861,54651,54407,54826,593015346,62199279,1187726,835,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",109,4.0,772,1.4,8,0.0,423,0.8,7185603,1.2,2194433,3.7,-171837,-12.6,4,0.5
"51650","0","10","70","0","2016","3","","Hampton City, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2861,52316,52453,53932,621240441,40176619,823426,903,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,1.7,-882,-1.7,71,0.1,-277,-0.5,20387939,3.4,1020575,2.6,-92331,-10.1,35,4.0
"51650","0","10","70","0","2016","4","","Hampton City, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2784,53844,54217,54304,642854050,33793267,660851,914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-45,-1.6,-666,-1.2,-470,-0.9,-429,-0.8,6796954,1.1,-8664378,-20.4,-300025,-31.2,19,2.1
"51650","1","10","71","0","2016","1","","Hampton City, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,7047,7061,7070,141513006,0,0,1542,"",2.68,6.58,6.59,6.60,8.55,0.00,0.00,1.30,"",0,0.0,-155,-2.2,-122,-1.7,-109,-1.5,-13092965,-8.5,0,0.0,0,0.0,-113,-6.8
"51650","1","10","71","0","2016","2","","Hampton City, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,7069,7039,7068,134324859,0,0,1464,"",2.69,6.61,6.62,6.55,8.26,0.00,0.00,1.25,"",0,0.0,-125,-1.7,-145,-2.0,-89,-1.2,1390080,1.0,0,0.0,0,0.0,39,2.7
"51650","1","10","71","0","2016","3","","Hampton City, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,7121,7129,7111,157806959,0,0,1705,"",2.71,6.84,6.86,6.71,8.19,0.00,0.00,1.20,"",0,0.0,-47,-0.7,-10,-0.1,-12,-0.2,3493283,2.3,0,0.0,0,0.0,43,2.6
"51650","1","10","71","0","2016","4","","Hampton City, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",49,7114,7151,7164,150128838,0,0,1617,"",2.87,6.77,6.77,6.69,8.28,0.00,0.00,1.23,"",1,2.1,21,0.3,29,0.4,47,0.7,16246508,12.1,0,0.0,0,0.0,169,11.7
"51650","1","101","72","0","2016","1","","Hampton City, Virginia","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,4,87666,0,0,1686,"",27.69,0.21,0.21,0.21,0.31,0.00,0.00,1.46,"",0,0.0,0,0.0,0,0.0,0,0.0,9413,12.0,0,0.0,0,0.0,181,12.0
"51650","1","101","72","0","2016","2","","Hampton City, Virginia","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,4,68345,0,0,1314,"",27.96,0.21,0.21,0.21,0.24,0.00,0.00,1.13,"",0,0.0,0,0.0,0,0.0,0,0.0,2388,3.6,0,0.0,0,0.0,46,3.6
"51650","1","101","72","0","2016","3","","Hampton City, Virginia","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,4,83764,0,0,1611,"",28.19,0.21,0.21,0.21,0.24,0.00,0.00,1.12,"",0,0.0,0,0.0,0,0.0,0,0.0,3004,3.7,0,0.0,0,0.0,58,3.7
"51650","1","101","72","0","2016","4","","Hampton City, Virginia","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,4,73414,0,0,1412,"",29.18,0.21,0.21,0.21,0.22,0.00,0.00,1.05,"",0,0.0,0,0.0,0,0.0,0,0.0,3410,4.9,0,0.0,0,0.0,66,4.9
"51650","1","1013","73","0","2016","1","","Hampton City, Virginia","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,87666,0,0,1686,"",76.78,0.22,0.22,0.22,0.32,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,9413,12.0,0,0.0,0,0.0,181,12.0
"51650","1","1013","73","0","2016","2","","Hampton City, Virginia","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,68345,0,0,1314,"",75.17,0.22,0.23,0.22,0.25,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,2388,3.6,0,0.0,0,0.0,46,3.6
"51650","1","1013","73","0","2016","3","","Hampton City, Virginia","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,83764,0,0,1611,"",74.15,0.23,0.23,0.23,0.25,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,0,0.0,3004,3.7,0,0.0,0,0.0,58,3.7
"51650","1","1013","73","0","2016","4","","Hampton City, Virginia","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,73414,0,0,1412,"",76.75,0.23,0.22,0.22,0.23,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,0,0.0,3410,4.9,0,0.0,0,0.0,66,4.9
"51650","1","102","72","0","2016","1","","Hampton City, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,7043,7057,7066,141425340,0,0,1542,"",2.63,6.69,6.71,6.72,8.69,0.00,0.00,1.30,"",0,0.0,-155,-2.2,-122,-1.7,-109,-1.5,-13102378,-8.5,0,0.0,0,0.0,-113,-6.8
"51650","1","102","72","0","2016","2","","Hampton City, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,7065,7035,7064,134256514,0,0,1464,"",2.64,6.72,6.73,6.67,8.40,0.00,0.00,1.25,"",0,0.0,-125,-1.7,-145,-2.0,-89,-1.2,1387692,1.0,0,0.0,0,0.0,39,2.7
"51650","1","102","72","0","2016","3","","Hampton City, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,7117,7125,7107,157723195,0,0,1705,"",2.66,6.97,6.99,6.83,8.34,0.00,0.00,1.21,"",0,0.0,-47,-0.7,-10,-0.1,-12,-0.2,3490279,2.3,0,0.0,0,0.0,43,2.6
"51650","1","102","72","0","2016","4","","Hampton City, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",48,7110,7147,7160,150055424,0,0,1617,"",2.81,6.89,6.89,6.81,8.43,0.00,0.00,1.23,"",1,2.1,21,0.3,29,0.4,47,0.7,16243098,12.1,0,0.0,0,0.0,169,11.7
"51650","1","1021","73","0","2016","1","","Hampton City, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,545,543,541,4637799,0,0,657,"",1.12,2.10,2.08,2.07,1.61,0.00,0.00,0.77,"",0,0.0,-25,-4.4,-3,-0.5,6,1.1,-498209,-9.7,0,0.0,0,0.0,-61,-8.5
"51650","1","1021","73","0","2016","2","","Hampton City, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,539,539,546,4475616,0,0,636,"",1.12,2.08,2.08,2.09,1.51,0.00,0.00,0.73,"",0,0.0,-9,-1.6,-8,-1.5,-10,-1.8,-248392,-5.3,0,0.0,0,0.0,-24,-3.6
"51650","1","1021","73","0","2016","3","","Hampton City, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,537,540,540,5272983,0,0,753,"",1.13,2.14,2.15,2.10,1.52,0.00,0.00,0.71,"",0,0.0,-7,-1.3,5,0.9,1,0.2,85235,1.6,0,0.0,0,0.0,13,1.8
"51650","1","1021","73","0","2016","4","","Hampton City, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,547,547,556,5658203,0,0,791,"",1.17,2.14,2.12,2.08,1.54,0.00,0.00,0.73,"",0,0.0,-2,-0.4,-8,-1.4,6,1.1,321337,6.0,0,0.0,0,0.0,46,6.2
"51650","1","1024","73","0","2016","1","","Hampton City, Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,20,20,20,413328,0,0,1590,"",11.45,0.81,0.81,0.81,0.95,0.00,0.00,1.17,"",-1,-16.7,0,0.0,1,5.3,1,5.3,66486,19.2,0,0.0,0,0.0,210,15.2
"51650","1","1024","73","0","2016","2","","Hampton City, Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,22,21,21,363825,0,0,1312,"",11.45,0.89,0.85,0.84,0.88,0.00,0.00,1.02,"",0,0.0,3,15.8,2,10.5,2,10.5,7784,2.2,0,0.0,0,0.0,-129,-9.0
"51650","1","1024","73","0","2016","3","","Hampton City, Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,19,19,20,382547,0,0,1522,"",11.57,0.78,0.78,0.81,0.77,0.00,0.00,0.98,"",0,0.0,-1,-5.0,0,0.0,1,5.3,47176,14.1,0,0.0,0,0.0,188,14.1
"51650","1","1024","73","0","2016","4","","Hampton City, Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,20,19,19,336826,0,0,1340,"",11.94,0.82,0.77,0.77,0.77,0.00,0.00,0.98,"",0,0.0,0,0.0,-3,-13.6,-2,-9.5,-61229,-15.4,0,0.0,0,0.0,-118,-8.1
"51650","1","1025","73","0","2016","1","","Hampton City, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,2019,2041,2042,35566282,0,0,1345,"",12.46,12.95,13.10,13.11,16.00,0.00,0.00,1.23,"",0,0.0,56,2.9,79,4.0,64,3.2,-3494808,-8.9,0,0.0,0,0.0,-182,-11.9
"51650","1","1025","73","0","2016","2","","Hampton City, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,2035,2026,2019,35626865,0,0,1352,"",12.42,13.09,13.16,13.06,15.60,0.00,0.00,1.19,"",0,0.0,49,2.5,37,1.9,18,0.9,3125669,9.6,0,0.0,0,0.0,97,7.7
"51650","1","1025","73","0","2016","3","","Hampton City, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,2054,2069,2082,41440672,0,0,1541,"",12.44,13.76,13.85,13.59,15.36,0.00,0.00,1.12,"",0,0.0,34,1.7,51,2.5,72,3.6,3194872,8.4,0,0.0,0,0.0,82,5.6
"51650","1","1025","73","0","2016","4","","Hampton City, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,2079,2104,2096,42631660,0,0,1567,"",15.36,13.64,13.68,13.58,16.21,0.00,0.00,1.19,"",1,20.0,68,3.4,86,4.3,66,3.3,8262987,24.0,0,0.0,0,0.0,258,19.7
"51650","1","1026","73","0","2016","1","","Hampton City, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,147,151,149,551811,0,0,285,"",19.33,8.08,8.23,7.99,3.19,0.00,0.00,0.39,"",1,12.5,-3,-2.0,-1,-0.7,-2,-1.3,-1411,-0.3,0,0.0,0,0.0,3,1.1
"51650","1","1026","73","0","2016","2","","Hampton City, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,167,161,162,720661,0,0,339,"",19.48,8.83,8.13,7.54,4.01,0.00,0.00,0.49,"",0,0.0,0,0.0,-14,-8.0,-17,-9.5,13859,2.0,0,0.0,0,0.0,26,8.3
"51650","1","1026","73","0","2016","3","","Hampton City, Virginia","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",9,168,162,150,713250,0,0,343,"",19.60,8.08,7.90,7.37,3.30,0.00,0.00,0.42,"",0,0.0,-6,-3.4,-15,-8.5,-14,-8.5,46123,6.9,0,0.0,0,0.0,44,14.7
