"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53021","0","10","70","0","2016","1","","Franklin County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2700,30053,30950,31989,286474399,200121989,3380670,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-1.1,1072,3.7,1224,4.1,1463,4.8,13850816,5.1,9011873,4.7,-247474,-6.8,6,0.9
"53021","0","10","70","0","2016","2","","Franklin County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2673,34103,35829,37751,326783054,224863357,4211546,700,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-37,-1.4,1130,3.4,1654,4.8,-300,-0.8,19143541,6.2,13956340,6.6,-63125,-1.5,25,3.7
"53021","0","10","70","0","2016","3","","Franklin County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2666,37220,36748,35933,352489037,212007938,3734560,740,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,0.0,597,1.6,690,1.9,611,1.7,29083989,9.0,16474852,8.4,-28533,-0.8,49,7.1
"53021","0","10","70","0","2016","4","","Franklin County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2667,33723,31724,30044,323433892,140577971,2322465,782,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-0.5,172,0.5,-51,-0.2,-87,-0.3,2766549,0.9,-293298,-0.2,-284782,-10.9,7,0.9
"53021","1","10","71","0","2016","1","","Franklin County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,461,460,463,8556591,0,0,1427,"",0.94,0.77,0.75,0.73,1.05,0.00,0.00,1.40,"",0,0.0,3,0.7,8,1.8,13,2.9,71688,0.8,0,0.0,0,0.0,-13,-0.9
"53021","1","10","71","0","2016","2","","Franklin County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,457,469,487,7750694,0,0,1266,"",0.96,0.68,0.67,0.66,0.86,0.00,0.00,1.29,"",0,0.0,-4,-0.9,4,0.9,32,7.0,-508093,-6.2,0,0.0,0,0.0,-114,-8.3
"53021","1","10","71","0","2016","3","","Franklin County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,481,478,471,9189350,0,0,1483,"",0.97,0.65,0.66,0.67,0.84,0.00,0.00,1.28,"",0,0.0,18,3.9,20,4.4,12,2.6,749104,8.9,0,0.0,0,0.0,72,5.1
"53021","1","10","71","0","2016","4","","Franklin County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,466,478,479,8443902,0,0,1369,"",0.98,0.71,0.77,0.81,0.93,0.00,0.00,1.22,"",0,0.0,9,2.0,19,4.1,17,3.7,-25172,-0.3,0,0.0,0,0.0,-49,-3.5
"53021","1","102","72","0","2016","1","","Franklin County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,461,460,463,8556591,0,0,1427,"",0.94,0.79,0.76,0.75,1.07,0.00,0.00,1.40,"",0,0.0,3,0.7,8,1.8,13,2.9,71688,0.8,0,0.0,0,0.0,-13,-0.9
"53021","1","102","72","0","2016","2","","Franklin County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,457,469,487,7750694,0,0,1266,"",0.96,0.70,0.68,0.67,0.88,0.00,0.00,1.29,"",0,0.0,-4,-0.9,4,0.9,32,7.0,-508093,-6.2,0,0.0,0,0.0,-114,-8.3
"53021","1","102","72","0","2016","3","","Franklin County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,481,478,471,9189350,0,0,1483,"",0.97,0.66,0.67,0.68,0.86,0.00,0.00,1.28,"",0,0.0,18,3.9,20,4.4,12,2.6,749104,8.9,0,0.0,0,0.0,72,5.1
"53021","1","102","72","0","2016","4","","Franklin County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,466,478,479,8443902,0,0,1369,"",0.98,0.72,0.79,0.82,0.94,0.00,0.00,1.22,"",0,0.0,9,2.0,19,4.1,17,3.7,-25172,-0.3,0,0.0,0,0.0,-49,-3.5
"53021","1","1021","73","0","2016","1","","Franklin County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,235,238,238,3913572,0,0,1270,"",0.83,1.63,1.59,1.54,2.76,0.00,0.00,1.74,"",0,0.0,1,0.4,9,3.9,10,4.4,-352626,-8.3,0,0.0,0,0.0,-155,-10.9
"53021","1","1021","73","0","2016","2","","Franklin County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,233,241,247,4019036,0,0,1286,"",0.84,1.44,1.41,1.37,2.47,0.00,0.00,1.75,"",0,0.0,2,0.9,3,1.3,17,7.4,167917,4.4,0,0.0,0,0.0,15,1.2
