"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53029","0","10","70","0","2016","1","","Island County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1976,14996,15147,15431,135515255,83835136,936154,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-0.5,183,1.2,328,2.2,395,2.6,4194923,3.2,5725983,7.3,-116853,-11.1,8,1.2
"53029","0","10","70","0","2016","2","","Island County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1985,15668,15801,15978,144075124,86450396,959969,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.4,455,3.0,345,2.2,312,2.0,9287288,6.9,6872218,8.6,-150153,-13.5,30,4.5
"53029","0","10","70","0","2016","3","","Island County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2010,16065,16166,16115,154013978,78338931,835074,735,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,2.9,390,2.5,642,4.1,710,4.6,12470684,8.8,7877242,11.2,-131965,-13.6,34,4.9
"53029","0","10","70","0","2016","4","","Island County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2023,15979,16135,16075,155385337,61271839,612700,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",84,4.3,651,4.2,885,5.8,822,5.4,8291267,5.6,2842856,4.9,-132253,-17.8,3,0.4
"53029","1","10","71","0","2016","1","","Island County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1334,1338,1339,16794843,0,0,966,"",1.69,4.48,4.46,4.39,4.36,0.00,0.00,0.98,"",-1,-4.5,8,0.6,8,0.6,14,1.1,-1256859,-7.0,0,0.0,0,0.0,-80,-7.6
"53029","1","10","71","0","2016","2","","Island County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1337,1328,1329,16191829,0,0,936,"",1.70,4.36,4.30,4.23,4.10,0.00,0.00,0.95,"",-1,-4.5,18,1.4,-4,-0.3,0,0.0,523065,3.3,0,0.0,0,0.0,27,3.0
"53029","1","10","71","0","2016","3","","Island County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1340,1343,1347,19001336,0,0,1088,"",1.69,4.19,4.20,4.25,3.98,0.00,0.00,0.94,"",0,0.0,20,1.5,20,1.5,20,1.5,1062629,5.9,0,0.0,0,0.0,45,4.3
"53029","1","10","71","0","2016","4","","Island County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,1337,1343,1365,19300373,0,0,1101,"",1.69,4.29,4.27,4.31,4.41,0.00,0.00,1.03,"",0,0.0,33,2.5,9,0.7,17,1.3,1933620,11.1,0,0.0,0,0.0,96,9.6
"53029","1","102","72","0","2016","1","","Island County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1334,1338,1339,16794843,0,0,966,"",1.69,4.56,4.54,4.47,4.43,0.00,0.00,0.98,"",-1,-4.5,8,0.6,8,0.6,14,1.1,-1256859,-7.0,0,0.0,0,0.0,-80,-7.6
"53029","1","102","72","0","2016","2","","Island County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1337,1328,1329,16191829,0,0,936,"",1.70,4.44,4.37,4.31,4.17,0.00,0.00,0.95,"",-1,-4.5,18,1.4,-4,-0.3,0,0.0,523065,3.3,0,0.0,0,0.0,27,3.0
"53029","1","102","72","0","2016","3","","Island County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1340,1343,1347,19001336,0,0,1088,"",1.69,4.27,4.27,4.33,4.05,0.00,0.00,0.94,"",0,0.0,20,1.5,20,1.5,20,1.5,1062629,5.9,0,0.0,0,0.0,45,4.3
"53029","1","102","72","0","2016","4","","Island County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,1337,1343,1365,19300373,0,0,1101,"",1.69,4.37,4.35,4.39,4.49,0.00,0.00,1.03,"",0,0.0,33,2.5,9,0.7,17,1.3,1933620,11.1,0,0.0,0,0.0,96,9.6
"53029","1","1021","73","0","2016","1","","Island County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,421,419,420,3499985,0,0,641,"",1.61,5.84,5.73,5.64,5.22,0.00,0.00,0.91,"",-1,-9.1,-6,-1.4,-7,-1.6,-4,-0.9,3439,0.1,0,0.0,0,0.0,9,1.4
"53029","1","1021","73","0","2016","2","","Island County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,426,409,411,3205047,0,0,594,"",1.62,5.72,5.44,5.40,4.46,0.00,0.00,0.81,"",-1,-9.1,-2,-0.5,-21,-4.9,-13,-3.1,-4706,-0.1,0,0.0,0,0.0,16,2.8
"53029","1","1021","73","0","2016","3","","Island County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,416,417,420,3713793,0,0,684,"",1.61,5.40,5.38,5.46,4.32,0.00,0.00,0.80,"",0,0.0,-2,-0.5,-2,-0.5,1,0.2,337987,10.0,0,0.0,0,0.0,64,10.3
"53029","1","1021","73","0","2016","4","","Island County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,409,417,427,3941662,0,0,726,"",1.61,5.39,5.44,5.38,4.43,0.00,0.00,0.82,"",0,0.0,-3,-0.7,-13,-3.0,-10,-2.3,-805775,-17.0,0,0.0,0,0.0,-131,-15.3
"53029","1","1024","73","0","2016","1","","Island County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,235,239,238,4035654,0,0,1308,"",9.88,34.24,34.61,33.89,39.65,0.00,0.00,1.16,"",0,0.0,10,4.4,13,5.8,12,5.3,-389790,-8.8,0,0.0,0,0.0,-201,-13.3
