"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53037","0","10","70","0","2016","1","","Kittitas County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1434,13495,13629,13854,127085968,68525309,1024957,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.4,515,4.0,544,4.2,-410,-2.9,5628671,4.6,4508674,7.0,-200164,-16.3,21,3.0
"53037","0","10","70","0","2016","2","","Kittitas County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1429,14687,14429,14938,138797495,72605274,1186430,727,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,856,6.2,372,2.6,439,3.0,7932854,6.1,4927278,7.3,-181365,-13.3,15,2.1
"53037","0","10","70","0","2016","3","","Kittitas County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1428,14899,14481,14824,147265771,71037655,1172908,769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,378,2.6,439,3.1,281,1.9,14148569,10.6,6580819,10.2,-108063,-8.4,56,7.9
"53037","0","10","70","0","2016","4","","Kittitas County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1432,14848,14702,13926,147780340,53024851,815716,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.0,516,3.6,661,4.7,266,1.9,8870826,6.4,2653515,5.3,-106493,-11.5,21,2.8
"53037","1","10","71","0","2016","1","","Kittitas County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,123,123,123,1982489,0,0,1240,"",1.88,0.46,0.46,0.45,0.55,0.00,0.00,1.21,"",0,0.0,5,4.2,9,7.9,5,4.2,110190,5.9,0,0.0,0,0.0,6,0.5
"53037","1","10","71","0","2016","2","","Kittitas County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,132,137,171,1949721,0,0,1023,"",1.91,0.46,0.49,0.58,0.51,0.00,0.00,1.00,"",0,0.0,10,8.2,1,0.7,14,8.9,20603,1.1,0,0.0,0,0.0,-50,-4.7
"53037","1","10","71","0","2016","3","","Kittitas County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,169,171,163,2912283,0,0,1336,"",1.93,0.57,0.60,0.56,0.64,0.00,0.00,1.11,"",0,0.0,-4,-2.3,-1,-0.6,-1,-0.6,-86612,-2.9,0,0.0,0,0.0,-24,-1.8
"53037","1","10","71","0","2016","4","","Kittitas County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,155,135,127,2216678,0,0,1227,"",1.93,0.53,0.47,0.46,0.53,0.00,0.00,1.09,"",0,0.0,2,1.3,1,0.7,0,0.0,87189,4.1,0,0.0,0,0.0,40,3.4
"53037","1","102","72","0","2016","1","","Kittitas County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,123,123,123,1982489,0,0,1240,"",1.89,0.47,0.46,0.46,0.56,0.00,0.00,1.20,"",0,0.0,5,4.2,9,7.9,5,4.2,110190,5.9,0,0.0,0,0.0,6,0.5
"53037","1","102","72","0","2016","2","","Kittitas County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,132,137,171,1949721,0,0,1023,"",1.91,0.47,0.49,0.59,0.52,0.00,0.00,1.00,"",0,0.0,10,8.2,1,0.7,14,8.9,20603,1.1,0,0.0,0,0.0,-50,-4.7
