"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53039","0","10","70","0","2016","1","","Klickitat County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",780,6403,6603,6706,79167505,60015325,714416,927,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.1,123,2.0,259,4.1,260,4.0,1416371,1.8,3545143,6.3,-65938,-8.4,-14,-1.5
"53039","0","10","70","0","2016","2","","Klickitat County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",784,6987,7236,7700,77364572,48360564,695527,814,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.0,144,2.1,297,4.3,-245,-3.1,5720773,8.0,3375974,7.5,-116774,-14.4,53,7.0
"53039","0","10","70","0","2016","3","","Klickitat County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",782,7560,7469,7487,87953381,47149185,759758,901,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.5,-202,-2.6,216,3.0,146,2.0,7571736,9.4,4908262,11.6,-74518,-8.9,71,8.6
"53039","0","10","70","0","2016","4","","Klickitat County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",772,7440,6999,6731,85123938,33058881,506345,928,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.4,255,3.5,299,4.5,262,4.1,7077461,9.1,2303029,7.5,-84399,-14.3,43,4.9
"53039","1","10","71","0","2016","1","","Klickitat County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,75,77,78,971071,0,0,974,"",3.67,0.59,0.59,0.59,0.43,0.00,0.00,0.73,"",0,0.0,5,7.1,8,11.6,6,8.3,-6308,-0.6,0,0.0,0,0.0,-95,-8.9
"53039","1","10","71","0","2016","2","","Klickitat County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,86,89,107,972336,0,0,796,"",3.89,0.63,0.63,0.71,0.46,0.00,0.00,0.70,"",1,5.6,5,6.2,-2,-2.2,-1,-0.9,33511,3.6,0,0.0,0,0.0,22,2.8
"53039","1","10","71","0","2016","3","","Klickitat County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,103,102,96,1348868,0,0,1034,"",3.93,0.69,0.69,0.65,0.49,0.00,0.00,0.73,"",1,5.6,-7,-6.4,-1,-1.0,-6,-5.9,-357427,-20.9,0,0.0,0,0.0,-216,-17.3
"53039","1","10","71","0","2016","4","","Klickitat County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,84,76,79,977224,0,0,944,"",4.01,0.58,0.56,0.60,0.41,0.00,0.00,0.71,"",1,5.6,-8,-8.7,-3,-3.8,0,0.0,-21281,-2.1,0,0.0,0,0.0,22,2.4
"53039","1","102","72","0","2016","1","","Klickitat County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,75,77,78,971071,0,0,974,"",3.67,0.60,0.60,0.60,0.44,0.00,0.00,0.73,"",0,0.0,5,7.1,8,11.6,6,8.3,-6308,-0.6,0,0.0,0,0.0,-95,-8.9
"53039","1","102","72","0","2016","2","","Klickitat County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,86,89,107,972336,0,0,796,"",3.89,0.64,0.64,0.72,0.47,0.00,0.00,0.70,"",1,5.6,5,6.2,-2,-2.2,-1,-0.9,33511,3.6,0,0.0,0,0.0,22,2.8
"53039","1","102","72","0","2016","3","","Klickitat County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,103,102,96,1348868,0,0,1034,"",3.94,0.70,0.70,0.66,0.50,0.00,0.00,0.73,"",1,5.6,-7,-6.4,-1,-1.0,-6,-5.9,-357427,-20.9,0,0.0,0,0.0,-216,-17.3
"53039","1","102","72","0","2016","4","","Klickitat County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,84,76,79,977224,0,0,944,"",4.02,0.59,0.57,0.61,0.41,0.00,0.00,0.71,"",1,5.6,-8,-8.7,-3,-3.8,0,0.0,-21281,-2.1,0,0.0,0,0.0,22,2.4
"53039","1","1021","73","0","2016","1","","Klickitat County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,36,39,39,349058,0,0,707,"",5.30,1.17,1.22,1.21,0.89,0.00,0.00,0.74,"",0,0.0,2,5.9,5,14.7,4,11.4,-26670,-7.1,0,0.0,0,0.0,-135,-16.0
"53039","1","1021","73","0","2016","2","","Klickitat County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,39,37,39,346654,0,0,696,"",5.32,1.18,1.07,1.06,0.90,0.00,0.00,0.82,"",0,0.0,5,14.7,0,0.0,3,8.3,16147,4.9,0,0.0,0,0.0,-17,-2.4
"53039","1","1021","73","0","2016","3","","Klickitat County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,38,39,39,420595,0,0,837,"",5.39,1.05,1.09,1.09,0.86,0.00,0.00,0.80,"",0,0.0,2,5.6,3,8.3,3,8.3,21603,5.4,0,0.0,0,0.0,-16,-1.9
"53039","1","1021","73","0","2016","4","","Klickitat County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,40,37,38,413430,0,0,830,"",5.50,1.13,1.11,1.14,0.85,0.00,0.00,0.75,"",0,0.0,3,8.1,0,0.0,0,0.0,8928,2.2,0,0.0,0,0.0,-3,-0.4
"53039","1","1025","73","0","2016","1","","Klickitat County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,116992,0,0,1125,"",9.08,0.43,0.42,0.42,0.39,0.00,0.00,0.91,"",0,0.0,1,14.3,1,14.3,1,14.3,9218,8.6,0,0.0,0,0.0,-59,-5.0
