"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53043","0","10","70","0","2016","1","","Lincoln County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",551,2605,2604,2674,22515545,11197812,146063,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-23,-4.0,-71,-2.7,-70,-2.6,-68,-2.5,-302714,-1.3,-104053,-0.9,-27650,-15.9,8,1.2
"53043","0","10","70","0","2016","2","","Lincoln County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",542,2748,2787,2867,24310243,12266964,188968,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-3.4,25,0.9,-26,-0.9,-42,-1.4,555840,2.3,900044,7.9,-5443,-2.8,19,2.9
"53043","0","10","70","0","2016","3","","Lincoln County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",539,2901,2927,2965,26598266,12270096,190756,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-3.4,1,0.0,70,2.5,214,7.8,1345513,5.3,1404079,12.9,-2126,-1.1,13,1.9
"53043","0","10","70","0","2016","4","","Lincoln County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",533,2726,2680,2747,23796553,7250999,108895,674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-2.9,-83,-3.0,-21,-0.8,49,1.8,190055,0.8,186245,2.6,-8315,-7.1,10,1.5
"53043","1","10","71","0","2016","1","","Lincoln County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,49,51,50,553489,0,0,852,"",3.75,0.95,0.99,0.95,0.86,0.00,0.00,0.90,"",0,0.0,-3,-5.8,-1,-1.9,-4,-7.4,-55202,-9.1,0,0.0,0,0.0,-37,-4.2
"53043","1","10","71","0","2016","2","","Lincoln County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,59,62,65,644846,0,0,800,"",3.85,1.10,1.14,1.15,0.97,0.00,0.00,0.85,"",0,0.0,9,18.0,-3,-4.6,2,3.2,31058,5.1,0,0.0,0,0.0,4,0.5
"53043","1","10","71","0","2016","3","","Lincoln County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,67,66,64,810961,0,0,950,"",3.90,1.16,1.14,1.10,0.98,0.00,0.00,0.87,"",0,0.0,-2,-2.9,1,1.5,2,3.2,46311,6.1,0,0.0,0,0.0,50,5.6
"53043","1","10","71","0","2016","4","","Lincoln County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,56,59,58,648803,0,0,865,"",3.97,1.05,1.13,1.07,0.97,0.00,0.00,0.89,"",0,0.0,6,12.0,5,9.3,3,5.5,73930,12.9,0,0.0,0,0.0,31,3.7
"53043","1","102","72","0","2016","1","","Lincoln County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,49,51,50,553489,0,0,852,"",3.76,0.96,1.01,0.96,0.88,0.00,0.00,0.90,"",0,0.0,-3,-5.8,-1,-1.9,-4,-7.4,-55202,-9.1,0,0.0,0,0.0,-37,-4.2
"53043","1","102","72","0","2016","2","","Lincoln County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,59,62,65,644846,0,0,800,"",3.85,1.12,1.16,1.17,0.98,0.00,0.00,0.85,"",0,0.0,9,18.0,-3,-4.6,2,3.2,31058,5.1,0,0.0,0,0.0,4,0.5
"53043","1","102","72","0","2016","3","","Lincoln County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,67,66,64,810961,0,0,950,"",3.91,1.18,1.16,1.12,1.00,0.00,0.00,0.87,"",0,0.0,-2,-2.9,1,1.5,2,3.2,46311,6.1,0,0.0,0,0.0,50,5.6
"53043","1","102","72","0","2016","4","","Lincoln County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,56,59,58,648803,0,0,865,"",3.98,1.07,1.15,1.09,0.99,0.00,0.00,0.89,"",0,0.0,6,12.0,5,9.3,3,5.5,73930,12.9,0,0.0,0,0.0,31,3.7
"53043","1","1021","73","0","2016","1","","Lincoln County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,31,34,32,304342,0,0,724,"",5.20,2.48,2.70,2.48,2.73,0.00,0.00,1.07,"",0,0.0,0,0.0,5,17.2,3,10.3,19953,7.0,0,0.0,0,0.0,-13,-1.8
"53043","1","1021","73","0","2016","2","","Lincoln County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,33,33,32,308079,0,0,725,"",5.33,2.53,2.49,2.34,2.54,0.00,0.00,1.04,"",0,0.0,6,22.2,4,13.8,2,6.7,21313,7.4,0,0.0,0,0.0,-44,-5.7
"53043","1","1021","73","0","2016","3","","Lincoln County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,30,31,31,344303,0,0,864,"",5.41,2.16,2.21,2.19,2.32,0.00,0.00,1.06,"",0,0.0,-1,-3.2,0,0.0,1,3.3,12160,3.7,0,0.0,0,0.0,31,3.7
"53043","1","1021","73","0","2016","4","","Lincoln County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,31,35,35,342948,0,0,784,"",5.51,2.39,2.75,2.58,2.52,0.00,0.00,0.98,"",0,0.0,1,3.3,0,0.0,1,2.9,-7124,-2.0,0,0.0,0,0.0,-32,-3.9
"53043","1","1026","73","0","2016","1","","Lincoln County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,8,98771,0,0,1036,"",11.08,7.97,7.93,8.71,14.75,0.00,0.00,1.80,"",0,0.0,-3,-30.0,-5,-41.7,-4,-33.3,-55847,-36.1,0,0.0,0,0.0,-13,-1.2
"53043","1","1026","73","0","2016","2","","Lincoln County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,17,20,24,207068,0,0,783,"",11.42,17.88,19.72,21.37,28.11,0.00,0.00,1.42,"",0,0.0,4,30.8,-1,-4.8,2,9.1,19400,10.3,0,0.0,0,0.0,10,1.3
"53043","1","1026","73","0","2016","3","","Lincoln County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,27,25,23,305285,0,0,939,"",11.56,23.43,21.85,20.55,32.97,0.00,0.00,1.50,"",0,0.0,3,12.5,2,8.7,1,4.5,38659,14.5,0,0.0,0,0.0,47,5.3
"53043","1","1026","73","0","2016","4","","Lincoln County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,11,11,145710,0,0,961,"",11.76,13.55,12.17,11.89,22.76,0.00,0.00,1.81,"",0,0.0,3,30.0,2,22.2,3,37.5,53806,58.5,0,0.0,0,0.0,175,22.3
"53043","1","1028","73","0","2016","1","","Lincoln County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,10,10,150376,0,0,1119,"",2.12,0.39,0.36,0.35,0.37,0.00,0.00,1.03,"",0,0.0,0,0.0,-1,-9.1,-3,-23.1,-19308,-11.4,0,0.0,0,0.0,0,0.0
"53043","1","1028","73","0","2016","2","","Lincoln County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,9,9,129699,0,0,1109,"",2.18,0.31,0.30,0.29,0.32,0.00,0.00,1.05,"",0,0.0,-1,-10.0,-6,-40.0,-2,-18.2,-9655,-6.9,0,0.0,0,0.0,216,24.2
"53043","1","1028","73","0","2016","3","","Lincoln County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,10,10,161373,0,0,1241,"",2.21,0.32,0.32,0.32,0.32,0.00,0.00,1.00,"",0,0.0,-4,-28.6,-1,-9.1,0,0.0,-4508,-2.7,0,0.0,0,0.0,147,13.4
"53043","1","1028","73","0","2016","4","","Lincoln County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,13,12,160145,0,0,999,"",2.25,0.41,0.46,0.41,0.40,0.00,0.00,0.94,"",0,0.0,2,20.0,3,30.0,-1,-7.7,27248,20.5,0,0.0,0,0.0,70,7.5
"53043","1","48-49","74","0","2016","1","","Lincoln County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,31,34,32,304342,0,0,724,"",5.35,2.72,2.96,2.71,2.94,0.00,0.00,1.05,"",0,0.0,0,0.0,5,17.2,3,10.3,19953,7.0,0,0.0,0,0.0,-13,-1.8
"53043","1","48-49","74","0","2016","2","","Lincoln County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,33,33,32,308079,0,0,725,"",5.48,2.77,2.72,2.56,2.74,0.00,0.00,1.02,"",0,0.0,6,22.2,4,13.8,2,6.7,21313,7.4,0,0.0,0,0.0,-44,-5.7
"53043","1","48-49","74","0","2016","3","","Lincoln County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,30,31,31,344303,0,0,864,"",5.57,2.36,2.42,2.40,2.48,0.00,0.00,1.04,"",0,0.0,-1,-3.2,0,0.0,1,3.3,12160,3.7,0,0.0,0,0.0,31,3.7
"53043","1","48-49","74","0","2016","4","","Lincoln County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,31,35,35,342948,0,0,784,"",5.67,2.62,3.01,2.82,2.72,0.00,0.00,0.97,"",0,0.0,1,3.3,0,0.0,1,2.9,-7124,-2.0,0,0.0,0,0.0,-32,-3.9
"53043","1","491","75","0","2016","1","","Lincoln County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,31,34,32,304342,0,0,724,"",5.39,2.78,3.02,2.77,3.10,0.00,0.00,1.08,"",0,0.0,0,0.0,5,17.2,3,10.3,19953,7.0,0,0.0,0,0.0,-13,-1.8
"53043","1","491","75","0","2016","2","","Lincoln County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,33,33,32,308079,0,0,725,"",5.52,2.83,2.78,2.62,2.87,0.00,0.00,1.04,"",0,0.0,6,22.2,4,13.8,2,6.7,21313,7.4,0,0.0,0,0.0,-44,-5.7
"53043","1","491","75","0","2016","3","","Lincoln County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,30,31,31,344303,0,0,864,"",5.61,2.41,2.47,2.45,2.59,0.00,0.00,1.06,"",0,0.0,-1,-3.2,0,0.0,1,3.3,12160,3.7,0,0.0,0,0.0,31,3.7
"53043","1","491","75","0","2016","4","","Lincoln County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,31,35,35,342948,0,0,784,"",5.71,2.68,3.07,2.87,2.82,0.00,0.00,0.98,"",0,0.0,1,3.3,0,0.0,1,2.9,-7124,-2.0,0,0.0,0,0.0,-32,-3.9
"53043","1","4911","76","0","2016","1","","Lincoln County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,31,34,32,304342,0,0,724,"",5.39,2.78,3.02,2.77,3.10,0.00,0.00,1.08,"",0,0.0,0,0.0,5,17.2,3,10.3,19953,7.0,0,0.0,0,0.0,-13,-1.8
"53043","1","4911","76","0","2016","2","","Lincoln County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,33,33,32,308079,0,0,725,"",5.52,2.83,2.78,2.62,2.87,0.00,0.00,1.04,"",0,0.0,6,22.2,4,13.8,2,6.7,21313,7.4,0,0.0,0,0.0,-44,-5.7
"53043","1","4911","76","0","2016","3","","Lincoln County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,30,31,31,344303,0,0,864,"",5.61,2.41,2.47,2.45,2.59,0.00,0.00,1.06,"",0,0.0,-1,-3.2,0,0.0,1,3.3,12160,3.7,0,0.0,0,0.0,31,3.7
"53043","1","4911","76","0","2016","4","","Lincoln County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,31,35,35,342948,0,0,784,"",5.71,2.68,3.07,2.87,2.82,0.00,0.00,0.98,"",0,0.0,1,3.3,0,0.0,1,2.9,-7124,-2.0,0,0.0,0,0.0,-32,-3.9
"53043","1","49111","77","0","2016","1","","Lincoln County, Washington","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,31,34,32,304342,0,0,724,"",5.39,2.78,3.02,2.77,3.10,0.00,0.00,1.08,"",0,0.0,0,0.0,5,17.2,3,10.3,19953,7.0,0,0.0,0,0.0,-13,-1.8
"53043","1","49111","77","0","2016","2","","Lincoln County, Washington","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,33,33,32,308079,0,0,725,"",5.52,2.83,2.78,2.62,2.87,0.00,0.00,1.04,"",0,0.0,6,22.2,4,13.8,2,6.7,21313,7.4,0,0.0,0,0.0,-44,-5.7
