"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53055","0","10","70","0","2016","1","","San Juan County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",994,4925,5022,5148,41274722,32040775,320693,631,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.4,121,2.5,161,3.3,211,4.3,3081438,8.1,2705420,9.2,-58615,-15.5,27,4.5
"53055","0","10","70","0","2016","2","","San Juan County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",998,5444,5757,6168,47343373,35163539,416272,629,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.7,231,4.4,200,3.6,172,2.9,2956582,6.7,2909949,9.0,-65533,-13.6,18,2.9
"53055","0","10","70","0","2016","3","","San Juan County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1002,6734,6834,6212,56107653,37039490,487487,655,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.0,114,1.7,208,3.1,132,2.2,3975081,7.6,3207516,9.5,-67701,-12.2,32,5.1
"53055","0","10","70","0","2016","4","","San Juan County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",993,5547,5412,5282,48404543,22664904,264555,688,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,67,1.2,118,2.2,93,1.8,1426329,3.0,685168,3.1,-64633,-19.6,9,1.3
"53055","1","10","71","0","2016","1","","San Juan County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,55,55,55,717191,0,0,1003,"",1.76,0.56,0.55,0.54,0.61,0.00,0.00,1.11,"",0,0.0,1,1.9,7,14.6,7,14.6,-42522,-5.6,0,0.0,0,0.0,-166,-14.2
"53055","1","10","71","0","2016","2","","San Juan County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,53,56,57,718976,0,0,1000,"",1.77,0.50,0.50,0.47,0.55,0.00,0.00,1.13,"",0,0.0,1,1.9,0,0.0,2,3.6,10942,1.5,0,0.0,0,0.0,-2,-0.2
"53055","1","10","71","0","2016","3","","San Juan County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,60,59,58,892615,0,0,1164,"",1.78,0.45,0.44,0.48,0.51,0.00,0.00,1.13,"",0,0.0,6,11.1,0,0.0,0,0.0,-22798,-2.5,0,0.0,0,0.0,-71,-5.7
"53055","1","10","71","0","2016","4","","San Juan County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,59,59,59,842701,0,0,1099,"",1.80,0.54,0.56,0.57,0.62,0.00,0.00,1.11,"",0,0.0,5,9.3,2,3.5,3,5.4,64329,8.3,0,0.0,0,0.0,23,2.1
"53055","1","102","72","0","2016","1","","San Juan County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,55,55,55,717191,0,0,1003,"",1.76,0.57,0.56,0.55,0.62,0.00,0.00,1.11,"",0,0.0,1,1.9,7,14.6,7,14.6,-42522,-5.6,0,0.0,0,0.0,-166,-14.2
"53055","1","102","72","0","2016","2","","San Juan County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,53,56,57,718976,0,0,1000,"",1.77,0.51,0.51,0.48,0.56,0.00,0.00,1.13,"",0,0.0,1,1.9,0,0.0,2,3.6,10942,1.5,0,0.0,0,0.0,-2,-0.2
