"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53063","0","10","70","0","2016","1","","Spokane County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15881,208313,209354,211838,2306811735,1488056534,18028888,846,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",44,0.3,5531,2.7,5130,2.5,5307,2.6,49668505,2.2,45128825,3.1,-2694138,-13.0,-3,-0.4
"53063","0","10","70","0","2016","2","","Spokane County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15752,214466,215652,216925,2330866324,1331439875,17993112,831,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,0.1,5801,2.8,5246,2.5,5049,2.4,111321798,5.0,73961259,5.9,-1999950,-10.0,19,2.3
"53063","0","10","70","0","2016","3","","Spokane County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15734,215800,216147,217449,2486487002,1128595295,15963093,884,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,0.3,5716,2.7,6772,3.2,6381,3.0,178179216,7.7,98343205,9.5,-977798,-5.8,39,4.6
"53063","0","10","70","0","2016","4","","Spokane County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15794,218092,218619,217618,2498346545,823485839,11312236,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",169,1.1,5884,2.8,5665,2.7,5041,2.4,56174891,2.3,19286223,2.4,-1500276,-11.7,-3,-0.3
"53063","1","10","71","0","2016","1","","Spokane County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",113,4582,4607,4589,73808909,0,0,1236,"",1.13,1.11,1.11,1.10,1.12,0.00,0.00,1.02,"",1,0.9,95,2.1,119,2.7,133,3.0,-3825881,-4.9,0,0.0,0,0.0,-98,-7.3
"53063","1","10","71","0","2016","2","","Spokane County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",111,4582,4602,4630,71138918,0,0,1188,"",1.13,1.09,1.09,1.09,1.11,0.00,0.00,1.02,"",-2,-1.8,94,2.1,123,2.7,120,2.7,3090864,4.5,0,0.0,0,0.0,23,2.0
"53063","1","10","71","0","2016","3","","Spokane County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",111,4615,4597,4591,82574356,0,0,1381,"",1.14,1.08,1.07,1.07,1.07,0.00,0.00,1.00,"",-2,-1.8,30,0.7,25,0.5,31,0.7,2502700,3.1,0,0.0,0,0.0,34,2.5
"53063","1","10","71","0","2016","4","","Spokane County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",112,4618,4645,4763,81765580,0,0,1345,"",1.15,1.08,1.09,1.11,1.16,0.00,0.00,1.06,"",-1,-0.9,46,1.0,54,1.2,65,1.4,6828520,9.1,0,0.0,0,0.0,97,7.8
"53063","1","101","72","0","2016","1","","Spokane County, Washington","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,3,4,4,33085,0,0,694,"",4.96,0.04,0.05,0.05,0.03,0.00,0.00,0.59,"",0,0.0,0,0.0,1,33.3,3,300.0,16347,97.7,0,0.0,0,0.0,142,25.7
"53063","1","101","72","0","2016","2","","Spokane County, Washington","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,3,17455,0,0,366,"",5.08,0.05,0.05,0.04,0.02,0.00,0.00,0.32,"",0,0.0,2,100.0,2,100.0,1,50.0,4444,34.2,0,0.0,0,0.0,-134,-26.8
"53063","1","101","72","0","2016","3","","Spokane County, Washington","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,3,4,17029,0,0,357,"",5.13,0.05,0.04,0.05,0.01,0.00,0.00,0.25,"",0,0.0,2,100.0,0,0.0,1,33.3,4912,40.5,0,0.0,0,0.0,7,2.0
"53063","1","101","72","0","2016","4","","Spokane County, Washington","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,3,15851,0,0,333,"",5.14,0.05,0.05,0.04,0.01,0.00,0.00,0.26,"",0,0.0,1,33.3,1,33.3,0,0.0,-1102,-6.5,0,0.0,0,0.0,-102,-23.4
"53063","1","1013","73","0","2016","1","","Spokane County, Washington","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,3,4,4,33085,0,0,694,"",13.74,0.04,0.06,0.06,0.03,0.00,0.00,0.58,"",0,0.0,0,0.0,1,33.3,3,300.0,16347,97.7,0,0.0,0,0.0,142,25.7
"53063","1","1013","73","0","2016","2","","Spokane County, Washington","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,3,17455,0,0,366,"",13.65,0.06,0.06,0.04,0.02,0.00,0.00,0.31,"",0,0.0,2,100.0,2,100.0,1,50.0,4444,34.2,0,0.0,0,0.0,-134,-26.8
"53063","1","1013","73","0","2016","3","","Spokane County, Washington","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,3,4,17029,0,0,357,"",13.48,0.06,0.04,0.06,0.01,0.00,0.00,0.25,"",0,0.0,2,100.0,0,0.0,1,33.3,4912,40.5,0,0.0,0,0.0,7,2.0
"53063","1","1013","73","0","2016","4","","Spokane County, Washington","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,3,15851,0,0,333,"",13.53,0.06,0.06,0.04,0.01,0.00,0.00,0.25,"",0,0.0,1,33.3,1,33.3,0,0.0,-1102,-6.5,0,0.0,0,0.0,-102,-23.4
"53063","1","102","72","0","2016","1","","Spokane County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",112,4579,4603,4585,73775824,0,0,1237,"",1.12,1.13,1.13,1.12,1.14,0.00,0.00,1.02,"",1,0.9,95,2.1,118,2.6,130,2.9,-3842228,-5.0,0,0.0,0,0.0,-97,-7.3
"53063","1","102","72","0","2016","2","","Spokane County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",110,4578,4598,4627,71121463,0,0,1189,"",1.12,1.11,1.11,1.10,1.13,0.00,0.00,1.02,"",-2,-1.8,92,2.1,121,2.7,119,2.6,3086420,4.5,0,0.0,0,0.0,24,2.1
"53063","1","102","72","0","2016","3","","Spokane County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",110,4611,4594,4587,82557327,0,0,1381,"",1.13,1.09,1.09,1.09,1.09,0.00,0.00,1.00,"",-2,-1.8,28,0.6,25,0.5,30,0.7,2497788,3.1,0,0.0,0,0.0,33,2.4
"53063","1","102","72","0","2016","4","","Spokane County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",111,4614,4641,4760,81749729,0,0,1346,"",1.15,1.10,1.11,1.13,1.18,0.00,0.00,1.06,"",-1,-0.9,45,1.0,53,1.2,65,1.4,6829622,9.1,0,0.0,0,0.0,98,7.9
"53063","1","1021","73","0","2016","1","","Spokane County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1384,1399,1409,19826138,0,0,1091,"",0.92,1.38,1.38,1.38,1.74,0.00,0.00,1.26,"",0,0.0,-3,-0.2,-1,-0.1,6,0.4,-2042230,-9.3,0,0.0,0,0.0,-113,-9.4
"53063","1","1021","73","0","2016","2","","Spokane County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1401,1421,1430,20283899,0,0,1101,"",0.94,1.38,1.38,1.38,1.74,0.00,0.00,1.26,"",0,0.0,-32,-2.2,31,2.2,37,2.7,776283,4.0,0,0.0,0,0.0,33,3.1
"53063","1","1021","73","0","2016","3","","Spokane County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1425,1430,1422,23667282,0,0,1277,"",0.95,1.38,1.38,1.37,1.70,0.00,0.00,1.24,"",0,0.0,19,1.4,38,2.7,28,2.0,857609,3.8,0,0.0,0,0.0,21,1.7
"53063","1","1021","73","0","2016","4","","Spokane County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1434,1429,1513,24319572,0,0,1282,"",0.95,1.38,1.38,1.41,1.70,0.00,0.00,1.22,"",0,0.0,42,3.0,14,1.0,25,1.7,901071,3.8,0,0.0,0,0.0,24,1.9
"53063","1","1022","73","0","2016","1","","Spokane County, Washington","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,45982,0,0,590,"",9.75,0.61,0.61,0.60,0.29,0.00,0.00,0.47,"",0,0.0,0,0.0,0,0.0,0,0.0,5521,13.6,0,0.0,0,0.0,71,13.7
"53063","1","1022","73","0","2016","2","","Spokane County, Washington","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,6,60753,0,0,701,"",5.04,0.71,0.70,0.60,0.41,0.00,0.00,0.62,"",-1,-50.0,1,16.7,1,16.7,0,0.0,13725,29.2,0,0.0,0,0.0,98,16.3
"53063","1","1022","73","0","2016","3","","Spokane County, Washington","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,6,7,7,60559,0,0,699,"",4.96,0.59,0.69,0.69,0.34,0.00,0.00,0.52,"",-1,-50.0,0,0.0,1,16.7,1,16.7,19807,48.6,0,0.0,0,0.0,177,33.9
"53063","1","1022","73","0","2016","4","","Spokane County, Washington","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,54589,0,0,600,"",4.90,0.69,0.70,0.70,0.38,0.00,0.00,0.54,"",-1,-50.0,1,16.7,0,0.0,0,0.0,-162,-0.3,0,0.0,0,0.0,-32,-5.1
"53063","1","1023","73","0","2016","1","","Spokane County, Washington","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",4,20,20,20,464137,0,0,1785,"",3.02,0.99,1.00,1.00,0.94,0.00,0.00,0.94,"",0,0.0,1,5.3,1,5.3,2,11.1,13299,2.9,0,0.0,0,0.0,-73,-3.9
