"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"53071","0","10","70","0","2016","1","","Walla Walla County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2184,25759,26093,26479,258382893,140530970,1324216,761,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-1.0,720,2.9,639,2.5,489,1.9,14666597,6.0,10686268,8.2,-115715,-8.0,26,3.5
"53071","0","10","70","0","2016","2","","Walla Walla County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2151,26959,27480,28266,275804018,143596554,1434966,770,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-30,-1.4,765,2.9,554,2.1,517,1.9,10236935,3.9,6635363,4.8,-217092,-13.1,12,1.6
"53071","0","10","70","0","2016","3","","Walla Walla County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2155,28705,28377,28304,297491806,131791632,1389780,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,915,3.3,1098,4.0,841,3.1,18535661,6.6,8851673,7.2,-154974,-10.0,24,3.1
"53071","0","10","70","0","2016","4","","Walla Walla County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2151,28355,27853,25939,294805331,97613917,962924,828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-0.4,-42,-0.1,719,2.6,-81,-0.3,4964642,1.7,-114136,-0.1,-223669,-18.8,8,1.0
"53071","1","10","71","0","2016","1","","Walla Walla County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1256,1268,1266,21788841,0,0,1327,"",1.45,2.46,2.45,2.42,2.96,0.00,0.00,1.21,"",0,0.0,107,9.3,115,10.0,92,7.8,2410847,12.4,0,0.0,0,0.0,41,3.2
"53071","1","10","71","0","2016","2","","Walla Walla County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1290,1320,1365,20302519,0,0,1179,"",1.49,2.44,2.46,2.45,2.68,0.00,0.00,1.09,"",0,0.0,99,8.3,101,8.3,111,8.9,-244747,-1.2,0,0.0,0,0.0,-115,-8.9
"53071","1","10","71","0","2016","3","","Walla Walla County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1388,1394,1386,25024166,0,0,1386,"",1.50,2.43,2.48,2.49,2.71,0.00,0.00,1.10,"",0,0.0,74,5.6,30,2.2,77,5.9,1929853,8.4,0,0.0,0,0.0,49,3.7
"53071","1","10","71","0","2016","4","","Walla Walla County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,1331,1356,1345,22868510,0,0,1309,"",1.51,2.41,2.50,2.63,2.75,0.00,0.00,1.10,"",0,0.0,66,5.2,48,3.7,57,4.4,273735,1.2,0,0.0,0,0.0,-41,-3.0
"53071","1","102","72","0","2016","1","","Walla Walla County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,1256,1268,1266,21788841,0,0,1327,"",1.46,2.50,2.50,2.46,3.02,0.00,0.00,1.21,"",0,0.0,107,9.3,115,10.0,92,7.8,2410847,12.4,0,0.0,0,0.0,41,3.2
"53071","1","102","72","0","2016","2","","Walla Walla County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,1290,1320,1365,20302519,0,0,1179,"",1.49,2.49,2.50,2.50,2.73,0.00,0.00,1.09,"",0,0.0,99,8.3,101,8.3,111,8.9,-244747,-1.2,0,0.0,0,0.0,-115,-8.9
"53071","1","102","72","0","2016","3","","Walla Walla County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,1388,1394,1386,25024166,0,0,1386,"",1.50,2.48,2.53,2.54,2.76,0.00,0.00,1.10,"",0,0.0,74,5.6,30,2.2,77,5.9,1929853,8.4,0,0.0,0,0.0,49,3.7
"53071","1","102","72","0","2016","4","","Walla Walla County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,1331,1356,1345,22868510,0,0,1309,"",1.52,2.45,2.55,2.68,2.80,0.00,0.00,1.10,"",0,0.0,66,5.2,48,3.7,57,4.4,273735,1.2,0,0.0,0,0.0,-41,-3.0
"53071","1","1021","73","0","2016","1","","Walla Walla County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,80,81,82,1100831,0,0,1045,"",1.31,0.65,0.64,0.64,0.86,0.00,0.00,1.34,"",0,0.0,-10,-11.1,-4,-4.7,-4,-4.7,-264051,-19.3,0,0.0,0,0.0,-162,-13.4
"53071","1","1021","73","0","2016","2","","Walla Walla County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,82,85,88,1158555,0,0,1048,"",1.34,0.64,0.65,0.65,0.84,0.00,0.00,1.30,"",0,0.0,-2,-2.4,3,3.7,6,7.3,-12527,-1.1,0,0.0,0,0.0,-42,-3.9
"53071","1","1021","73","0","2016","3","","Walla Walla County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,86,86,91,1361238,0,0,1194,"",1.35,0.62,0.63,0.67,0.82,0.00,0.00,1.27,"",0,0.0,2,2.4,1,1.2,10,12.3,27738,2.1,0,0.0,0,0.0,-37,-3.0
"53071","1","1021","73","0","2016","4","","Walla Walla County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,86,90,88,1402946,0,0,1226,"",1.37,0.64,0.68,0.69,0.83,0.00,0.00,1.24,"",0,0.0,9,11.7,9,11.1,6,7.3,80817,6.1,0,0.0,0,0.0,-45,-3.5
"53071","1","1024","73","0","2016","1","","Walla Walla County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,569,578,575,11705901,0,0,1569,"",2.98,48.27,48.58,47.71,60.33,0.00,0.00,1.25,"",0,0.0,56,10.9,57,10.9,46,8.7,2770131,31.0,0,0.0,0,0.0,250,19.0
"53071","1","1024","73","0","2016","2","","Walla Walla County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,579,588,605,10125607,0,0,1319,"",3.05,47.47,47.34,46.80,52.75,0.00,0.00,1.12,"",0,0.0,48,9.0,38,6.9,33,5.8,-966141,-8.7,0,0.0,0,0.0,-229,-14.8
"53071","1","1024","73","0","2016","3","","Walla Walla County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,626,641,638,12688668,0,0,1537,"",3.07,46.75,48.73,49.30,53.60,0.00,0.00,1.11,"",0,0.0,7,1.1,-22,-3.3,25,4.1,1586775,14.3,0,0.0,0,0.0,185,13.7
"53071","1","1024","73","0","2016","4","","Walla Walla County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,595,620,620,11250218,0,0,1415,"",3.09,46.27,49.22,52.90,56.37,0.00,0.00,1.14,"",0,0.0,15,2.6,-5,-0.8,13,2.1,-1263659,-10.1,0,0.0,0,0.0,-179,-11.2
"53071","1","1025","73","0","2016","1","","Walla Walla County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,477,480,478,6849354,0,0,1101,"",3.24,6.41,6.39,6.29,6.93,0.00,0.00,1.09,"",0,0.0,52,12.2,56,13.2,47,10.9,-322524,-4.5,0,0.0,0,0.0,-192,-14.8
"53071","1","1025","73","0","2016","2","","Walla Walla County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,473,477,478,6896918,0,0,1115,"",3.30,6.17,6.13,6.00,6.49,0.00,0.00,1.06,"",0,0.0,42,9.7,43,9.9,39,8.9,522426,8.2,0,0.0,0,0.0,-13,-1.2
"53071","1","1025","73","0","2016","3","","Walla Walla County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,479,475,476,7942664,0,0,1282,"",3.30,5.85,5.88,5.92,6.15,0.00,0.00,1.05,"",0,0.0,43,9.9,30,6.7,28,6.2,382241,5.1,0,0.0,0,0.0,-31,-2.4
"53071","1","1025","73","0","2016","4","","Walla Walla County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,481,484,486,8033886,0,0,1278,"",3.31,5.99,6.13,6.59,6.66,0.00,0.00,1.07,"",0,0.0,31,6.9,29,6.4,21,4.5,1215376,17.8,0,0.0,0,0.0,129,11.2
"53071","1","1026","73","0","2016","1","","Walla Walla County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,10,137335,0,0,1132,"",2.79,1.04,1.02,1.10,1.79,0.00,0.00,1.70,"",0,0.0,3,50.0,3,50.0,3,42.9,50779,58.7,0,0.0,0,0.0,81,7.7
"53071","1","1026","73","0","2016","2","","Walla Walla County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,11,137728,0,0,963,"",2.88,1.18,1.10,0.99,1.65,0.00,0.00,1.51,"",0,0.0,4,57.1,5,83.3,4,57.1,58335,73.5,0,0.0,0,0.0,47,5.1
"53071","1","1026","73","0","2016","3","","Walla Walla County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,14,176880,0,0,972,"",2.89,1.23,1.26,1.31,1.71,0.00,0.00,1.35,"",0,0.0,3,27.3,1,7.7,-1,-6.7,-32677,-15.6,0,0.0,0,0.0,-268,-21.6
"53071","1","1026","73","0","2016","4","","Walla Walla County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,10,118653,0,0,978,"",2.91,0.90,0.96,1.14,1.50,0.00,0.00,1.50,"",0,0.0,-1,-10.0,-1,-10.0,0,0.0,-9134,-7.1,0,0.0,0,0.0,-5,-0.5
"53071","1","1028","73","0","2016","1","","Walla Walla County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,121,120,121,1995420,0,0,1272,"",1.43,0.43,0.43,0.43,0.43,0.00,0.00,1.01,"",0,0.0,6,5.2,3,2.6,0,0.0,176512,9.7,0,0.0,0,0.0,83,7.0
"53071","1","1028","73","0","2016","2","","Walla Walla County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,145,159,183,1983711,0,0,940,"",1.47,0.50,0.54,0.60,0.43,0.00,0.00,0.77,"",0,0.0,7,5.1,12,8.2,29,18.8,153160,8.4,0,0.0,0,0.0,-22,-2.3
"53071","1","1028","73","0","2016","3","","Walla Walla County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,183,178,167,2854716,0,0,1248,"",1.47,0.59,0.58,0.55,0.50,0.00,0.00,0.88,"",0,0.0,19,11.6,20,12.7,15,9.9,-34224,-1.2,0,0.0,0,0.0,-158,-11.2
"53071","1","1028","73","0","2016","4","","Walla Walla County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,160,153,141,2062807,0,0,1049,"",1.49,0.53,0.52,0.51,0.42,0.00,0.00,0.81,"",0,0.0,12,8.1,16,11.7,17,13.7,250335,13.8,0,0.0,0,0.0,26,2.5
"53071","1","22","74","0","2016","1","","Walla Walla County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,227570,0,0,1945,"",27.65,3.97,3.95,3.91,5.33,0.00,0.00,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,14273,6.7,0,0.0,0,0.0,122,6.7
"53071","1","22","74","0","2016","2","","Walla Walla County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,269042,0,0,2300,"",28.12,3.88,3.83,3.73,5.34,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,25159,10.3,0,0.0,0,0.0,216,10.4
"53071","1","22","74","0","2016","3","","Walla Walla County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,298438,0,0,2551,"",28.30,3.61,3.68,3.73,6.12,0.00,0.00,1.67,"",0,0.0,0,0.0,0,0.0,0,0.0,27908,10.3,0,0.0,0,0.0,239,10.3
"53071","1","22","74","0","2016","4","","Walla Walla County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,272537,0,0,2329,"",28.21,3.74,3.84,4.13,4.15,0.00,0.00,1.07,"",0,0.0,0,0.0,0,0.0,0,0.0,25486,10.3,0,0.0,0,0.0,217,10.3
"53071","1","221","75","0","2016","1","","Walla Walla County, Washington","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,227570,0,0,1945,"",27.65,3.97,3.95,3.91,5.33,0.00,0.00,1.35,"",0,0.0,0,0.0,0,0.0,0,0.0,14273,6.7,0,0.0,0,0.0,122,6.7
"53071","1","221","75","0","2016","2","","Walla Walla County, Washington","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,269042,0,0,2300,"",28.12,3.88,3.83,3.73,5.34,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,25159,10.3,0,0.0,0,0.0,216,10.4
"53071","1","221","75","0","2016","3","","Walla Walla County, Washington","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,298438,0,0,2551,"",28.30,3.61,3.68,3.73,6.12,0.00,0.00,1.67,"",0,0.0,0,0.0,0,0.0,0,0.0,27908,10.3,0,0.0,0,0.0,239,10.3
"53071","1","221","75","0","2016","4","","Walla Walla County, Washington","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,272537,0,0,2329,"",28.21,3.74,3.84,4.13,4.15,0.00,0.00,1.07,"",0,0.0,0,0.0,0,0.0,0,0.0,25486,10.3,0,0.0,0,0.0,217,10.3
"53071","1","2211","76","0","2016","1","","Walla Walla County, Washington","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,227570,0,0,1945,"",29.11,4.23,4.21,4.17,5.65,0.00,0.00,1.34,"",0,0.0,0,0.0,0,0.0,0,0.0,14273,6.7,0,0.0,0,0.0,122,6.7
"53071","1","2211","76","0","2016","2","","Walla Walla County, Washington","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,269042,0,0,2300,"",29.41,4.14,4.09,3.99,5.59,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,0,0.0,25159,10.3,0,0.0,0,0.0,216,10.4
"53071","1","2211","76","0","2016","3","","Walla Walla County, Washington","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,298438,0,0,2551,"",29.60,3.87,3.95,4.00,6.51,0.00,0.00,1.65,"",0,0.0,0,0.0,0,0.0,0,0.0,27908,10.3,0,0.0,0,0.0,239,10.3
"53071","1","2211","76","0","2016","4","","Walla Walla County, Washington","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,9,9,272537,0,0,2329,"",29.67,4.00,4.12,4.43,4.31,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,0,0.0,25486,10.3,0,0.0,0,0.0,217,10.3
"53071","1","22112","77","0","2016","1","","Walla Walla County, Washington","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,227570,0,0,1945,"",56.36,17.51,17.38,17.23,23.95,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,14273,6.7,0,0.0,0,0.0,122,6.7
"53071","1","22112","77","0","2016","2","","Walla Walla County, Washington","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,269042,0,0,2300,"",56.95,17.06,16.76,16.32,21.82,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,25159,10.3,0,0.0,0,0.0,216,10.4
"53071","1","22112","77","0","2016","3","","Walla Walla County, Washington","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,9,9,298438,0,0,2551,"",57.32,15.79,16.08,16.18,23.15,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,27908,10.3,0,0.0,0,0.0,239,10.3
