"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54013","0","10","70","0","2016","1","","Calhoun County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",136,1145,1110,1151,9829084,5763169,188978,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-4.2,-81,-6.6,-110,-9.0,-59,-4.9,-1433443,-12.7,-829969,-12.6,-26726,-12.4,-45,-6.3
"54013","0","10","70","0","2016","2","","Calhoun County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",139,1163,1229,1290,12612692,3535460,141539,791,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.1,-168,-12.6,-172,-12.3,-151,-10.5,-1476735,-10.5,-700090,-16.5,-31175,-18.1,12,1.5
"54013","0","10","70","0","2016","3","","Calhoun County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",139,1129,1181,1309,13868929,2613673,131224,884,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.8,-64,-5.4,-90,-7.1,-123,-8.6,454694,3.4,236994,10.0,25322,23.9,89,11.2
"54013","0","10","70","0","2016","4","","Calhoun County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137,1314,1262,1231,13008632,1288979,46063,789,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-2.8,-1,-0.1,13,1.0,-10,-0.8,-1713652,-11.6,325149,33.7,16641,56.6,-104,-11.6
"54013","1","10","71","0","2016","1","","Calhoun County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,11,12,13,94685,0,0,607,"",7.01,0.48,0.55,0.57,0.34,0.00,0.00,0.63,"",-2,-25.0,-1,-8.3,0,0.0,3,30.0,-7568,-7.4,0,0.0,0,0.0,-87,-12.5
"54013","1","10","71","0","2016","2","","Calhoun County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,13,13,13,101400,0,0,600,"",6.92,0.57,0.54,0.51,0.29,0.00,0.00,0.54,"",-2,-25.0,1,8.3,1,8.3,0,0.0,8622,9.3,0,0.0,0,0.0,21,3.6
"54013","1","10","71","0","2016","3","","Calhoun County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,13,12,13,117523,0,0,714,"",6.98,0.58,0.51,0.51,0.27,0.00,0.00,0.52,"",-1,-14.3,3,30.0,0,0.0,1,8.3,4640,4.1,0,0.0,0,0.0,-52,-6.8
"54013","1","10","71","0","2016","4","","Calhoun County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,13,13,13,119541,0,0,707,"",7.13,0.51,0.53,0.54,0.33,0.00,0.00,0.62,"",0,0.0,0,0.0,0,0.0,0,0.0,7560,6.8,0,0.0,0,0.0,44,6.6
"54013","1","102","72","0","2016","1","","Calhoun County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,11,12,13,94685,0,0,607,"",7.02,0.49,0.56,0.58,0.34,0.00,0.00,0.63,"",-2,-25.0,-1,-8.3,0,0.0,3,30.0,-7568,-7.4,0,0.0,0,0.0,-87,-12.5
"54013","1","102","72","0","2016","2","","Calhoun County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,13,13,13,101400,0,0,600,"",6.93,0.58,0.55,0.52,0.30,0.00,0.00,0.54,"",-2,-25.0,1,8.3,1,8.3,0,0.0,8622,9.3,0,0.0,0,0.0,21,3.6
