"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54021","0","10","70","0","2016","1","","Gilmer County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",161,1984,1951,1973,18610506,6826631,200484,727,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-6.4,-194,-8.9,-213,-9.8,-177,-8.2,-2034643,-9.9,-1578618,-18.8,-71327,-26.2,-7,-1.0
"54021","0","10","70","0","2016","2","","Gilmer County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",163,2060,2047,2081,18655957,3875060,115173,696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-4.7,-165,-7.4,-196,-8.7,-144,-6.5,-3182876,-14.6,-829664,-17.6,-36149,-23.9,-57,-7.6
"54021","0","10","70","0","2016","3","","Gilmer County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",159,1846,1945,1943,18512943,2035481,58100,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-7.0,-290,-13.6,-200,-9.3,-271,-12.2,-3345245,-15.3,-668296,-24.7,-28708,-33.1,-32,-4.1
"54021","0","10","70","0","2016","4","","Gilmer County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",156,1963,1944,1931,17993986,1330125,35232,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-7.1,-270,-12.1,-231,-10.6,-185,-8.7,-2939420,-14.0,29034,2.2,-1661,-4.5,-29,-3.9
"54021","1","10","71","0","2016","1","","Gilmer County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,327,325,322,5761519,0,0,1365,"",6.91,8.30,8.41,8.26,10.88,0.00,0.00,1.31,"",-1,-12.5,-7,-2.1,-1,-0.3,-3,-0.9,-1838,0.0,0,0.0,0,0.0,15,1.1
"54021","1","10","71","0","2016","2","","Gilmer County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,323,319,313,4758102,0,0,1150,"",6.89,8.01,7.97,7.65,9.30,0.00,0.00,1.18,"",-1,-12.5,-6,-1.8,-9,-2.7,-12,-3.7,-112545,-2.3,0,0.0,0,0.0,5,0.4
"54021","1","10","71","0","2016","3","","Gilmer County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,319,316,315,5493460,0,0,1334,"",7.12,8.69,8.21,8.25,9.57,0.00,0.00,1.14,"",-1,-12.5,-12,-3.6,-13,-4.0,-10,-3.1,-251595,-4.4,0,0.0,0,0.0,-12,-0.9
"54021","1","10","71","0","2016","4","","Gilmer County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,321,317,312,4747421,0,0,1153,"",7.31,8.38,8.37,8.20,9.36,0.00,0.00,1.13,"",-1,-12.5,-10,-3.0,-12,-3.6,-18,-5.5,-138459,-2.8,0,0.0,0,0.0,14,1.2
"54021","1","102","72","0","2016","1","","Gilmer County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,327,325,322,5761519,0,0,1365,"",6.92,8.45,8.56,8.41,11.07,0.00,0.00,1.31,"",-1,-12.5,-7,-2.1,-1,-0.3,-3,-0.9,-1838,0.0,0,0.0,0,0.0,15,1.1
"54021","1","102","72","0","2016","2","","Gilmer County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,323,319,313,4758102,0,0,1150,"",6.90,8.16,8.11,7.79,9.46,0.00,0.00,1.18,"",-1,-12.5,-6,-1.8,-9,-2.7,-12,-3.7,-112545,-2.3,0,0.0,0,0.0,5,0.4
"54021","1","102","72","0","2016","3","","Gilmer County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,319,316,315,5493460,0,0,1334,"",7.13,8.85,8.36,8.40,9.75,0.00,0.00,1.14,"",-1,-12.5,-12,-3.6,-13,-4.0,-10,-3.1,-251595,-4.4,0,0.0,0,0.0,-12,-0.9
"54021","1","102","72","0","2016","4","","Gilmer County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,321,317,312,4747421,0,0,1153,"",7.32,8.53,8.52,8.34,9.53,0.00,0.00,1.13,"",-1,-12.5,-10,-3.0,-12,-3.6,-18,-5.5,-138459,-2.8,0,0.0,0,0.0,14,1.2
"54021","1","1021","73","0","2016","1","","Gilmer County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,13,12,12,115232,0,0,719,"",9.88,1.36,1.27,1.26,1.25,0.00,0.00,0.96,"",-1,-16.7,-4,-23.5,-2,-14.3,-3,-20.0,-37833,-24.7,0,0.0,0,0.0,-49,-6.4
"54021","1","1021","73","0","2016","2","","Gilmer County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,13,13,12,120929,0,0,734,"",9.84,1.33,1.33,1.21,1.30,0.00,0.00,1.01,"",-1,-16.7,-2,-13.3,0,0.0,-2,-14.3,-2998,-2.4,0,0.0,0,0.0,53,7.8
