"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54037","0","10","70","0","2016","1","","Jefferson County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1058,15218,15176,15554,158950258,75028048,1876347,798,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-1.7,711,4.9,572,3.9,733,4.9,22265124,16.3,3080455,4.3,-105025,-5.3,80,11.1
"54037","0","10","70","0","2016","2","","Jefferson County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1064,15674,15861,16142,166146741,38338748,906732,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.3,-89,-0.6,-74,-0.5,190,1.2,3008280,1.8,1849493,5.1,-87659,-8.8,14,1.8
"54037","0","10","70","0","2016","3","","Jefferson County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1074,15141,15106,16096,162529543,21382253,512125,809,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.6,286,1.9,380,2.6,401,2.6,11426448,7.6,2066861,10.7,-3566,-0.7,39,5.1
"54037","0","10","70","0","2016","4","","Jefferson County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1068,15861,15809,15715,163899455,14033506,335725,798,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-1.7,57,0.4,59,0.4,39,0.2,-4574776,-2.7,-445519,-3.1,-56512,-14.4,-25,-3.0
"54037","1","10","71","0","2016","1","","Jefferson County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,1290,1264,1258,31597353,0,0,1913,"",3.90,4.27,4.21,4.10,6.99,0.00,0.00,1.67,"",-1,-3.7,513,66.0,486,62.5,478,61.3,14737241,87.4,0,0.0,0,0.0,247,14.8
"54037","1","10","71","0","2016","2","","Jefferson County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,1273,1279,1296,27400793,0,0,1643,"",3.92,4.15,4.12,4.08,6.01,0.00,0.00,1.46,"",-1,-3.7,-27,-2.1,-16,-1.2,-5,-0.4,742375,2.8,0,0.0,0,0.0,64,4.1
"54037","1","10","71","0","2016","3","","Jefferson County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,1291,1262,1249,32027403,0,0,1944,"",3.91,4.29,4.22,3.95,6.36,0.00,0.00,1.53,"",-1,-3.7,-36,-2.7,-67,-5.0,-58,-4.4,574022,1.8,0,0.0,0,0.0,112,6.1
"54037","1","10","71","0","2016","4","","Jefferson County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,1239,1246,1257,27641023,0,0,1705,"",3.81,4.00,4.05,4.06,5.98,0.00,0.00,1.48,"",-2,-7.4,-68,-5.2,-61,-4.7,-47,-3.6,-709515,-2.5,0,0.0,0,0.0,35,2.1
"54037","1","102","72","0","2016","1","","Jefferson County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,1290,1264,1258,31597353,0,0,1913,"",3.91,4.34,4.28,4.17,7.11,0.00,0.00,1.67,"",-1,-3.7,513,66.0,486,62.5,478,61.3,14737241,87.4,0,0.0,0,0.0,247,14.8
"54037","1","102","72","0","2016","2","","Jefferson County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,1273,1279,1296,27400793,0,0,1643,"",3.93,4.22,4.20,4.16,6.12,0.00,0.00,1.46,"",-1,-3.7,-27,-2.1,-16,-1.2,-5,-0.4,742375,2.8,0,0.0,0,0.0,64,4.1
