"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54049","0","10","70","0","2016","1","","Marion County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1340,18238,18304,18299,177901493,106321531,2749967,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-1.5,-1068,-5.5,-1303,-6.6,-993,-5.1,-22650013,-11.3,-11805649,-10.0,-482588,-14.9,-46,-5.8
"54049","0","10","70","0","2016","2","","Marion County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1359,18568,18493,18336,185467836,43250147,1103649,773,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.4,-1032,-5.3,-1073,-5.5,-740,-3.9,-20061099,-9.8,179668,0.4,-6122,-0.6,-41,-5.0
"54049","0","10","70","0","2016","3","","Marion County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1355,17056,17305,18335,179071616,24786294,653440,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.6,-868,-4.8,-534,-3.0,-962,-5.0,-3760925,-2.1,162982,0.7,11462,1.8,18,2.3
"54049","0","10","70","0","2016","4","","Marion County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1349,18263,18280,18315,186357861,18156775,473241,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-32,-2.3,-1149,-5.9,-1073,-5.5,-1132,-5.8,-22106430,-10.6,-5559515,-23.4,-143215,-23.2,-42,-5.1
"54049","1","10","71","0","2016","1","","Marion County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,181,177,184,2961284,0,0,1261,"",2.61,0.50,0.49,0.51,0.58,0.00,0.00,1.17,"",0,0.0,6,3.4,3,1.7,4,2.2,-131756,-4.3,0,0.0,0,0.0,-88,-6.5
"54049","1","10","71","0","2016","2","","Marion County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,186,185,190,2750706,0,0,1132,"",2.60,0.51,0.51,0.53,0.54,0.00,0.00,1.05,"",0,0.0,8,4.5,4,2.2,6,3.3,39590,1.5,0,0.0,0,0.0,-20,-1.7
"54049","1","10","71","0","2016","3","","Marion County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,184,189,181,3294480,0,0,1372,"",2.63,0.54,0.55,0.50,0.59,0.00,0.00,1.12,"",0,0.0,9,5.1,14,8.0,0,0.0,28932,0.9,0,0.0,0,0.0,-47,-3.3
"54049","1","10","71","0","2016","4","","Marion County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,181,188,190,3055051,0,0,1261,"",2.66,0.51,0.53,0.53,0.58,0.00,0.00,1.12,"",0,0.0,0,0.0,10,5.6,8,4.4,95932,3.2,0,0.0,0,0.0,-1,-0.1
"54049","1","102","72","0","2016","1","","Marion County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,181,177,184,2961284,0,0,1261,"",2.61,0.51,0.50,0.52,0.60,0.00,0.00,1.17,"",0,0.0,6,3.4,3,1.7,4,2.2,-131756,-4.3,0,0.0,0,0.0,-88,-6.5
"54049","1","102","72","0","2016","2","","Marion County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,186,185,190,2750706,0,0,1132,"",2.60,0.52,0.52,0.54,0.55,0.00,0.00,1.05,"",0,0.0,8,4.5,4,2.2,6,3.3,39590,1.5,0,0.0,0,0.0,-20,-1.7
