"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54059","0","10","70","0","2016","1","","Mingo County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",534,4967,4797,4835,48153813,27543097,830963,761,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-2.2,-948,-16.0,-1037,-17.8,-948,-16.4,-17974349,-27.2,-9696411,-26.0,-537022,-39.3,-109,-12.5
"54059","0","10","70","0","2016","2","","Mingo County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",538,4882,4818,4908,50300756,9698820,322882,795,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.3,-961,-16.4,-954,-16.5,-780,-13.7,-15672374,-23.8,-1546673,-13.8,-89398,-21.7,-85,-9.7
"54059","0","10","70","0","2016","3","","Mingo County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",543,4126,4713,4655,46438447,6682853,243422,794,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.3,-836,-16.8,-804,-14.6,-806,-14.8,-8075254,-14.8,754368,12.7,28792,13.4,5,0.6
"54059","0","10","70","0","2016","4","","Mingo County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",549,4797,4826,4920,49477161,6039378,246985,785,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.7,-553,-10.3,-485,-9.1,-400,-7.5,-8873998,-15.2,1726196,40.0,94078,61.5,-58,-6.9
"54059","1","10","71","0","2016","1","","Mingo County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,64,64,63,678892,0,0,820,"",6.84,0.65,0.67,0.66,0.50,0.00,0.00,0.75,"",0,0.0,-5,-7.2,1,1.6,0,0.0,-64364,-8.7,0,0.0,0,0.0,-60,-6.8
"54059","1","10","71","0","2016","2","","Mingo County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,63,68,70,682262,0,0,783,"",6.85,0.66,0.72,0.73,0.49,0.00,0.00,0.70,"",0,0.0,-4,-6.0,4,6.2,4,6.1,-15906,-2.3,0,0.0,0,0.0,-35,-4.3
"54059","1","10","71","0","2016","3","","Mingo County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,69,70,68,847536,0,0,945,"",6.85,0.84,0.75,0.74,0.59,0.00,0.00,0.76,"",0,0.0,3,4.5,1,1.4,1,1.5,67939,8.7,0,0.0,0,0.0,54,6.1
"54059","1","10","71","0","2016","4","","Mingo County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,70,69,68,798822,0,0,891,"",6.82,0.75,0.73,0.70,0.57,0.00,0.00,0.79,"",0,0.0,3,4.5,2,3.0,6,9.7,84997,11.9,0,0.0,0,0.0,51,6.1
"54059","1","102","72","0","2016","1","","Mingo County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,64,64,63,678892,0,0,820,"",6.86,0.66,0.69,0.67,0.50,0.00,0.00,0.75,"",0,0.0,-5,-7.2,1,1.6,0,0.0,-64364,-8.7,0,0.0,0,0.0,-60,-6.8
"54059","1","102","72","0","2016","2","","Mingo County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,63,68,70,682262,0,0,783,"",6.87,0.67,0.73,0.74,0.50,0.00,0.00,0.70,"",0,0.0,-4,-6.0,4,6.2,4,6.1,-15906,-2.3,0,0.0,0,0.0,-35,-4.3
"54059","1","102","72","0","2016","3","","Mingo County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,69,70,68,847536,0,0,945,"",6.86,0.86,0.76,0.76,0.60,0.00,0.00,0.76,"",0,0.0,3,4.5,1,1.4,1,1.5,67939,8.7,0,0.0,0,0.0,54,6.1
"54059","1","102","72","0","2016","4","","Mingo County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,70,69,68,798822,0,0,891,"",6.84,0.76,0.75,0.71,0.58,0.00,0.00,0.79,"",0,0.0,3,4.5,2,3.0,6,9.7,84997,11.9,0,0.0,0,0.0,51,6.1
"54059","1","1021","73","0","2016","1","","Mingo County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,47,47,46,413240,0,0,681,"",11.92,1.97,2.03,1.97,1.73,0.00,0.00,0.87,"",0,0.0,-3,-6.0,3,6.8,1,2.2,-63377,-13.3,0,0.0,0,0.0,-110,-13.9
"54059","1","1021","73","0","2016","2","","Mingo County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,46,45,46,416477,0,0,702,"",11.92,1.98,1.96,1.97,1.66,0.00,0.00,0.84,"",0,0.0,-3,-6.1,-2,-4.3,-2,-4.2,-6711,-1.6,0,0.0,0,0.0,24,3.5
