"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54077","0","10","70","0","2016","1","","Preston County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",662,7193,7174,7160,64739555,30496812,917082,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.3,74,1.0,26,0.4,-29,-0.4,-349121,-0.5,-35095,-0.1,-3145,-0.3,-6,-0.9
"54077","0","10","70","0","2016","2","","Preston County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",661,7359,7252,7467,69472457,16466551,498666,726,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-13,-0.2,-229,-3.1,-104,-1.4,108267,0.2,-311427,-1.9,-30706,-5.8,12,1.7
"54077","0","10","70","0","2016","3","","Preston County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",660,6878,7276,7396,68825240,8811662,282718,737,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-33,-0.5,231,3.3,-55,-0.7,2946777,4.5,-180874,-2.0,3701,1.3,27,3.8
"54077","0","10","70","0","2016","4","","Preston County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",673,7344,7349,7441,70775509,7055765,224249,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.7,-90,-1.2,-75,-1.0,59,0.8,909504,1.3,-1893009,-21.2,-55731,-19.9,13,1.8
"54077","1","10","71","0","2016","1","","Preston County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,884,891,904,15422870,0,0,1329,"",3.60,6.19,6.27,6.39,8.37,0.00,0.00,1.33,"",0,0.0,-9,-1.0,4,0.5,31,3.6,71885,0.5,0,0.0,0,0.0,-6,-0.4
"54077","1","10","71","0","2016","2","","Preston County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,905,889,886,13294921,0,0,1145,"",3.64,6.28,6.27,6.03,6.98,0.00,0.00,1.13,"",0,0.0,17,1.9,3,0.3,13,1.5,314668,2.4,0,0.0,0,0.0,13,1.1
"54077","1","10","71","0","2016","3","","Preston County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,897,896,893,16307881,0,0,1401,"",3.68,6.56,6.22,6.14,7.64,0.00,0.00,1.21,"",0,0.0,19,2.2,26,3.0,8,0.9,1230220,8.2,0,0.0,0,0.0,80,6.1
"54077","1","10","71","0","2016","4","","Preston County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,900,906,904,13146768,0,0,1120,"",3.63,6.28,6.33,6.16,6.59,0.00,0.00,1.05,"",0,0.0,17,1.9,16,1.8,13,1.5,237064,1.8,0,0.0,0,0.0,2,0.2
"54077","1","102","72","0","2016","1","","Preston County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,884,891,904,15422870,0,0,1329,"",3.61,6.30,6.38,6.51,8.52,0.00,0.00,1.33,"",0,0.0,-9,-1.0,4,0.5,31,3.6,71885,0.5,0,0.0,0,0.0,-6,-0.4
"54077","1","102","72","0","2016","2","","Preston County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,905,889,886,13294921,0,0,1145,"",3.65,6.40,6.38,6.14,7.10,0.00,0.00,1.13,"",0,0.0,17,1.9,3,0.3,13,1.5,314668,2.4,0,0.0,0,0.0,13,1.1
