"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54079","0","10","70","0","2016","1","","Putnam County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1482,20184,19980,20547,227656082,141417259,4609965,865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,1.8,428,2.2,379,1.9,676,3.4,13969691,6.5,8527517,6.4,391275,9.3,32,3.8
"54079","0","10","70","0","2016","2","","Putnam County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1481,20980,21190,21130,262307770,55097730,2087420,956,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,1.2,536,2.6,311,1.5,185,0.9,11517543,4.6,1169199,2.2,38229,1.9,27,2.9
"54079","0","10","70","0","2016","3","","Putnam County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1473,19559,19764,20865,243065976,30905333,1148631,932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,0.6,6,0.0,190,1.0,397,1.9,21676581,9.8,1943800,6.7,80736,7.6,75,8.8
"54079","0","10","70","0","2016","4","","Putnam County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1472,20835,20603,20388,248001970,22509544,788495,926,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,-15,-0.1,8,0.0,-341,-1.6,-9852457,-3.8,-2384213,-9.6,-229161,-22.5,-31,-3.2
"54079","1","10","71","0","2016","1","","Putnam County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,224,219,222,3161509,0,0,1097,"",1.82,0.56,0.55,0.55,0.49,0.00,0.00,0.88,"",0,0.0,23,11.4,23,11.7,23,11.6,315590,11.1,0,0.0,0,0.0,-5,-0.5
"54079","1","10","71","0","2016","2","","Putnam County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,220,227,228,2853947,0,0,976,"",1.84,0.54,0.55,0.55,0.40,0.00,0.00,0.73,"",0,0.0,24,12.2,34,17.6,30,15.2,61168,2.2,0,0.0,0,0.0,-122,-11.1
"54079","1","10","71","0","2016","3","","Putnam County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,230,235,232,3421462,0,0,1133,"",1.87,0.59,0.60,0.57,0.45,0.00,0.00,0.78,"",0,0.0,22,10.6,20,9.3,20,9.4,475912,16.2,0,0.0,0,0.0,63,5.9
"54079","1","10","71","0","2016","4","","Putnam County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,233,229,235,3178785,0,0,1052,"",1.88,0.57,0.57,0.58,0.45,0.00,0.00,0.79,"",0,0.0,24,11.5,10,4.6,12,5.4,65591,2.1,0,0.0,0,0.0,-52,-4.7
"54079","1","102","72","0","2016","1","","Putnam County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,224,219,222,3161509,0,0,1097,"",1.83,0.57,0.56,0.56,0.50,0.00,0.00,0.88,"",0,0.0,23,11.4,23,11.7,23,11.6,315590,11.1,0,0.0,0,0.0,-5,-0.5
"54079","1","102","72","0","2016","2","","Putnam County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,220,227,228,2853947,0,0,976,"",1.84,0.55,0.56,0.56,0.40,0.00,0.00,0.73,"",0,0.0,24,12.2,34,17.6,30,15.2,61168,2.2,0,0.0,0,0.0,-122,-11.1
"54079","1","102","72","0","2016","3","","Putnam County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,230,235,232,3421462,0,0,1133,"",1.87,0.60,0.61,0.58,0.46,0.00,0.00,0.78,"",0,0.0,22,10.6,20,9.3,20,9.4,475912,16.2,0,0.0,0,0.0,63,5.9
"54079","1","102","72","0","2016","4","","Putnam County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,233,229,235,3178785,0,0,1052,"",1.88,0.58,0.58,0.60,0.46,0.00,0.00,0.79,"",0,0.0,24,11.5,10,4.6,12,5.4,65591,2.1,0,0.0,0,0.0,-52,-4.7
"54079","1","1021","73","0","2016","1","","Putnam County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,77,76,77,794279,0,0,797,"",2.58,0.79,0.79,0.78,0.71,0.00,0.00,0.90,"",0,0.0,0,0.0,5,7.0,3,4.1,-120619,-13.2,0,0.0,0,0.0,-154,-16.2
"54079","1","1021","73","0","2016","2","","Putnam County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,75,77,77,829623,0,0,836,"",2.60,0.75,0.76,0.77,0.63,0.00,0.00,0.83,"",0,0.0,1,1.4,6,8.5,4,5.5,35436,4.5,0,0.0,0,0.0,-5,-0.6
"54079","1","1021","73","0","2016","3","","Putnam County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,76,80,77,968143,0,0,959,"",2.64,0.81,0.84,0.77,0.71,0.00,0.00,0.88,"",0,0.0,2,2.7,1,1.3,-2,-2.5,28284,3.0,0,0.0,0,0.0,24,2.6
"54079","1","1021","73","0","2016","4","","Putnam County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,80,74,77,1012435,0,0,1011,"",2.66,0.81,0.76,0.77,0.71,0.00,0.00,0.92,"",0,0.0,4,5.3,-4,-5.1,-1,-1.3,54060,5.6,0,0.0,0,0.0,58,6.1
"54079","1","1023","73","0","2016","1","","Putnam County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,27,25,25,627940,0,0,1882,"",8.09,13.86,13.14,12.91,12.93,0.00,0.00,0.97,"",0,0.0,1,3.8,-1,-3.8,-2,-7.4,-12540,-2.0,0,0.0,0,0.0,11,0.6
