"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54081","0","10","70","0","2016","1","","Raleigh County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2203,31224,30943,31057,276480017,151700140,4060598,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-32,-1.4,-1609,-4.9,-1577,-4.8,-1183,-3.7,-29355570,-9.6,-16726561,-9.9,-512616,-11.2,-39,-5.4
"54081","0","10","70","0","2016","2","","Raleigh County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2193,31275,31467,31513,298102367,78223885,2060508,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-50,-2.2,-1149,-3.5,-1332,-4.1,-1260,-3.8,-23980220,-7.4,-607155,-0.8,-54683,-2.6,-28,-3.7
"54081","0","10","70","0","2016","3","","Raleigh County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2200,29592,29730,31092,296307652,43716292,1218684,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-46,-2.0,-1470,-4.7,-1452,-4.7,-1355,-4.2,-1548574,-0.5,-1353827,-3.0,11149,0.9,30,4.1
"54081","0","10","70","0","2016","4","","Raleigh County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2199,31113,31243,31540,300979980,31087142,847481,740,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-53,-2.4,-1252,-3.9,-1092,-3.4,-977,-3.0,-22996627,-7.1,-2408842,-7.2,-17835,-2.1,-29,-3.8
"54081","1","10","71","0","2016","1","","Raleigh County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1728,1722,1722,29737380,0,0,1327,"",4.18,2.79,2.81,2.81,3.78,0.00,0.00,1.35,"",-2,-3.3,-3,-0.2,4,0.2,7,0.4,-2673104,-8.2,0,0.0,0,0.0,-121,-8.4
"54081","1","10","71","0","2016","2","","Raleigh County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1729,1711,1704,27048220,0,0,1213,"",4.24,2.82,2.78,2.75,3.31,0.00,0.00,1.19,"",-2,-3.3,-5,-0.3,-10,-0.6,-41,-2.3,-78698,-0.3,0,0.0,0,0.0,9,0.7
"54081","1","10","71","0","2016","3","","Raleigh County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1699,1701,1699,31509616,0,0,1426,"",4.26,2.89,2.89,2.78,3.43,0.00,0.00,1.20,"",-1,-1.7,-60,-3.4,-49,-2.8,-41,-2.4,-381774,-1.2,0,0.0,0,0.0,24,1.7
"54081","1","10","71","0","2016","4","","Raleigh County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,1705,1715,1725,30092316,0,0,1350,"",4.29,2.81,2.82,2.77,3.55,0.00,0.00,1.27,"",0,0.0,-28,-1.6,-9,-0.5,-18,-1.0,2448180,8.9,0,0.0,0,0.0,123,10.0
"54081","1","102","72","0","2016","1","","Raleigh County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,1728,1722,1722,29737380,0,0,1327,"",4.19,2.84,2.86,2.86,3.85,0.00,0.00,1.35,"",-2,-3.3,-3,-0.2,4,0.2,7,0.4,-2673104,-8.2,0,0.0,0,0.0,-121,-8.4
"54081","1","102","72","0","2016","2","","Raleigh County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,1729,1711,1704,27048220,0,0,1213,"",4.25,2.88,2.83,2.80,3.37,0.00,0.00,1.19,"",-2,-3.3,-5,-0.3,-10,-0.6,-41,-2.3,-78698,-0.3,0,0.0,0,0.0,9,0.7
"54081","1","102","72","0","2016","3","","Raleigh County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,1699,1701,1699,31509616,0,0,1426,"",4.27,2.94,2.94,2.83,3.49,0.00,0.00,1.20,"",-1,-1.7,-60,-3.4,-49,-2.8,-41,-2.4,-381774,-1.2,0,0.0,0,0.0,24,1.7
"54081","1","102","72","0","2016","4","","Raleigh County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,1705,1715,1725,30092316,0,0,1350,"",4.30,2.86,2.87,2.82,3.61,0.00,0.00,1.27,"",0,0.0,-28,-1.6,-9,-0.5,-18,-1.0,2448180,8.9,0,0.0,0,0.0,123,10.0
"54081","1","1021","73","0","2016","1","","Raleigh County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,117,118,117,1266911,0,0,831,"",5.35,0.78,0.79,0.78,0.93,0.00,0.00,1.18,"",-1,-2.6,-5,-4.1,0,0.0,6,5.4,-257431,-16.9,0,0.0,0,0.0,-171,-17.1
"54081","1","1021","73","0","2016","2","","Raleigh County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,118,116,115,1277691,0,0,845,"",5.41,0.79,0.77,0.77,0.86,0.00,0.00,1.10,"",-1,-2.6,-6,-4.8,0,0.0,1,0.9,-6825,-0.5,0,0.0,0,0.0,8,1.0
"54081","1","1021","73","0","2016","3","","Raleigh County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,114,115,114,1520152,0,0,1023,"",5.45,0.80,0.81,0.77,0.92,0.00,0.00,1.16,"",-1,-2.6,0,0.0,-4,-3.4,-3,-2.6,14550,1.0,0,0.0,0,0.0,30,3.0
"54081","1","1021","73","0","2016","4","","Raleigh County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",37,114,117,117,1547269,0,0,1026,"",5.49,0.77,0.79,0.75,0.90,0.00,0.00,1.17,"",0,0.0,-3,-2.6,-2,-1.7,-3,-2.5,29179,1.9,0,0.0,0,0.0,42,4.3
"54081","1","1023","73","0","2016","1","","Raleigh County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,10,10,180226,0,0,1386,"",10.88,3.32,3.39,3.42,3.06,0.00,0.00,0.91,"",0,0.0,0,0.0,1,11.1,1,11.1,-19429,-9.7,0,0.0,0,0.0,-260,-15.8
"54081","1","1023","73","0","2016","2","","Raleigh County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,9,9,152759,0,0,1259,"",11.07,3.44,3.11,3.06,2.73,0.00,0.00,0.85,"",0,0.0,1,11.1,-1,-10.0,-1,-10.0,897,0.6,0,0.0,0,0.0,51,4.2
"54081","1","1023","73","0","2016","3","","Raleigh County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,9,9,9,169861,0,0,1452,"",11.13,3.25,3.28,3.20,2.83,0.00,0.00,0.87,"",0,0.0,-1,-10.0,-1,-10.0,-1,-10.0,-5210,-3.0,0,0.0,0,0.0,105,7.8
"54081","1","1023","73","0","2016","4","","Raleigh County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,9,9,9,149478,0,0,1278,"",11.20,3.19,3.18,3.15,2.89,0.00,0.00,0.91,"",0,0.0,-1,-10.0,-1,-10.0,-1,-10.0,-443,-0.3,0,0.0,0,0.0,125,10.8
"54081","1","1025","73","0","2016","1","","Raleigh County, West Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,803,802,804,13611399,0,0,1304,"",3.21,8.90,9.00,9.02,12.88,0.00,0.00,1.44,"",0,0.0,-2,-0.2,2,0.2,5,0.6,-2086346,-13.3,0,0.0,0,0.0,-203,-13.5
"54081","1","1025","73","0","2016","2","","Raleigh County, West Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,801,796,787,12946895,0,0,1253,"",3.24,9.01,8.94,8.86,11.28,0.00,0.00,1.26,"",0,0.0,3,0.4,-4,-0.5,-28,-3.4,-77040,-0.6,0,0.0,0,0.0,7,0.6
"54081","1","1025","73","0","2016","3","","Raleigh County, West Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,788,792,797,15059731,0,0,1462,"",3.24,9.33,9.36,9.02,11.70,0.00,0.00,1.27,"",0,0.0,-38,-4.6,-27,-3.3,-23,-2.8,-316050,-2.1,0,0.0,0,0.0,23,1.6
