"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"54087","0","10","70","0","2016","1","","Roane County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",291,2862,2854,2859,22671903,11950161,347619,610,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-5.5,-117,-3.9,-132,-4.4,-101,-3.4,-1113212,-4.7,-510420,-4.1,-33790,-8.9,-5,-0.8
"54087","0","10","70","0","2016","2","","Roane County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",290,2893,2921,2932,25531415,6676685,199529,674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-5.8,-140,-4.6,-153,-5.0,-182,-5.8,-497994,-1.9,-547754,-7.6,-29709,-13.0,23,3.5
"54087","0","10","70","0","2016","3","","Roane County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",292,2578,2723,3002,24383598,4743684,211981,678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-4.9,-155,-5.7,-37,-1.3,1,0.0,806162,3.4,1046253,28.3,99969,89.2,37,5.8
"54087","0","10","70","0","2016","4","","Roane County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",293,2947,2963,2995,26428354,2498615,79378,685,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-3.6,-58,-1.9,-8,-0.3,-4,-0.1,250486,1.0,177128,7.6,14934,23.2,12,1.8
"54087","1","10","71","0","2016","1","","Roane County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,24,24,24,257839,0,0,826,"",4.37,0.42,0.42,0.43,0.40,0.00,0.00,0.94,"",-1,-11.1,0,0.0,-2,-7.7,-5,-17.2,-20898,-7.5,0,0.0,0,0.0,12,1.5
"54087","1","10","71","0","2016","2","","Roane County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,24,26,29,254925,0,0,745,"",4.42,0.42,0.46,0.50,0.36,0.00,0.00,0.79,"",-1,-11.1,-2,-7.7,-1,-3.7,4,16.0,23910,10.3,0,0.0,0,0.0,62,9.1
"54087","1","10","71","0","2016","3","","Roane County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,29,27,25,291787,0,0,831,"",4.43,0.57,0.50,0.42,0.39,0.00,0.00,0.78,"",-1,-11.1,2,7.4,1,3.8,0,0.0,6972,2.4,0,0.0,0,0.0,-12,-1.4
"54087","1","10","71","0","2016","4","","Roane County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,26,24,26,289067,0,0,878,"",4.45,0.45,0.42,0.44,0.39,0.00,0.00,0.89,"",-1,-11.1,-1,-3.7,-7,-22.6,-3,-10.3,12732,4.6,0,0.0,0,0.0,145,19.8
"54087","1","102","72","0","2016","1","","Roane County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,24,24,24,257839,0,0,826,"",4.38,0.43,0.43,0.43,0.41,0.00,0.00,0.94,"",-1,-11.1,0,0.0,-2,-7.7,-5,-17.2,-20898,-7.5,0,0.0,0,0.0,12,1.5
"54087","1","102","72","0","2016","2","","Roane County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,24,26,29,254925,0,0,745,"",4.43,0.43,0.46,0.51,0.37,0.00,0.00,0.79,"",-1,-11.1,-2,-7.7,-1,-3.7,4,16.0,23910,10.3,0,0.0,0,0.0,62,9.1
"54087","1","102","72","0","2016","3","","Roane County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,29,27,25,291787,0,0,831,"",4.44,0.58,0.51,0.43,0.39,0.00,0.00,0.78,"",-1,-11.1,2,7.4,1,3.8,0,0.0,6972,2.4,0,0.0,0,0.0,-12,-1.4
"54087","1","102","72","0","2016","4","","Roane County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,26,24,26,289067,0,0,878,"",4.46,0.46,0.42,0.45,0.40,0.00,0.00,0.89,"",-1,-11.1,-1,-3.7,-7,-22.6,-3,-10.3,12732,4.6,0,0.0,0,0.0,145,19.8
"54087","1","1021","73","0","2016","1","","Roane County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,19,19,18,185291,0,0,764,"",6.56,1.38,1.38,1.31,1.65,0.00,0.00,1.22,"",-1,-14.3,-1,-5.0,-2,-9.5,-7,-28.0,-30437,-14.1,0,0.0,0,0.0,10,1.3
"54087","1","1021","73","0","2016","2","","Roane County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,19,21,20,194543,0,0,748,"",6.64,1.38,1.51,1.43,1.53,0.00,0.00,1.06,"",-1,-14.3,-2,-9.5,-1,-4.5,-1,-4.8,16167,9.1,0,0.0,0,0.0,105,16.3
"54087","1","1021","73","0","2016","3","","Roane County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,20,21,20,219940,0,0,832,"",6.66,1.62,1.61,1.40,1.61,0.00,0.00,1.05,"",-1,-14.3,0,0.0,1,5.0,1,5.3,6557,3.1,0,0.0,0,0.0,-3,-0.4
"54087","1","1021","73","0","2016","4","","Roane County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,20,18,18,215538,0,0,888,"",6.68,1.43,1.28,1.22,1.43,0.00,0.00,1.09,"",-1,-14.3,-1,-4.8,-2,-10.0,-1,-5.3,6304,3.0,0,0.0,0,0.0,83,10.3
"54087","1","1028","73","0","2016","1","","Roane County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,6,72548,0,0,1046,"",2.68,0.16,0.16,0.20,0.18,0.00,0.00,1.04,"",0,0.0,1,25.0,0,0.0,2,50.0,9539,15.1,0,0.0,0,0.0,-73,-6.5
"54087","1","1028","73","0","2016","2","","Roane County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,5,9,60382,0,0,733,"",2.72,0.16,0.16,0.29,0.14,0.00,0.00,0.69,"",0,0.0,0,0.0,0,0.0,5,125.0,7743,14.7,0,0.0,0,0.0,-135,-15.6
"54087","1","1028","73","0","2016","3","","Roane County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,5,71847,0,0,829,"",2.72,0.32,0.20,0.16,0.15,0.00,0.00,0.69,"",0,0.0,2,28.6,0,0.0,-1,-16.7,415,0.6,0,0.0,0,0.0,-39,-4.5
"54087","1","1028","73","0","2016","4","","Roane County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,8,73529,0,0,848,"",2.73,0.19,0.19,0.25,0.17,0.00,0.00,0.79,"",0,0.0,0,0.0,-5,-45.5,-2,-20.0,6428,9.6,0,0.0,0,0.0,274,47.7
"54087","1","48-49","74","0","2016","1","","Roane County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,19,19,18,185291,0,0,764,"",6.75,1.52,1.51,1.43,1.78,0.00,0.00,1.20,"",-1,-14.3,-1,-5.0,-2,-9.5,-7,-28.0,-30437,-14.1,0,0.0,0,0.0,10,1.3
"54087","1","48-49","74","0","2016","2","","Roane County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,19,21,20,194543,0,0,748,"",6.83,1.51,1.65,1.57,1.65,0.00,0.00,1.04,"",-1,-14.3,-2,-9.5,-1,-4.5,-1,-4.8,16167,9.1,0,0.0,0,0.0,105,16.3
"54087","1","48-49","74","0","2016","3","","Roane County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,21,20,219940,0,0,832,"",6.85,1.77,1.76,1.53,1.73,0.00,0.00,1.03,"",-1,-14.3,0,0.0,1,5.0,1,5.3,6557,3.1,0,0.0,0,0.0,-3,-0.4
"54087","1","48-49","74","0","2016","4","","Roane County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,18,18,215538,0,0,888,"",6.88,1.56,1.40,1.33,1.54,0.00,0.00,1.08,"",-1,-14.3,-1,-4.8,-2,-10.0,-1,-5.3,6304,3.0,0,0.0,0,0.0,83,10.3
"54087","1","491","75","0","2016","1","","Roane County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,19,19,18,185291,0,0,764,"",6.80,1.55,1.54,1.46,1.87,0.00,0.00,1.24,"",-1,-14.3,-1,-5.0,-2,-9.5,-7,-28.0,-30437,-14.1,0,0.0,0,0.0,10,1.3
"54087","1","491","75","0","2016","2","","Roane County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,19,21,20,194543,0,0,748,"",6.88,1.55,1.69,1.60,1.72,0.00,0.00,1.07,"",-1,-14.3,-2,-9.5,-1,-4.5,-1,-4.8,16167,9.1,0,0.0,0,0.0,105,16.3
"54087","1","491","75","0","2016","3","","Roane County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,21,20,219940,0,0,832,"",6.90,1.81,1.80,1.56,1.81,0.00,0.00,1.05,"",-1,-14.3,0,0.0,1,5.0,1,5.3,6557,3.1,0,0.0,0,0.0,-3,-0.4
"54087","1","491","75","0","2016","4","","Roane County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,18,18,215538,0,0,888,"",6.92,1.60,1.43,1.36,1.59,0.00,0.00,1.09,"",-1,-14.3,-1,-4.8,-2,-10.0,-1,-5.3,6304,3.0,0,0.0,0,0.0,83,10.3
