"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55021","0","10","70","0","2016","1","","Columbia County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1556,21043,21043,21234,193053977,115896636,2920163,704,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",71,4.8,738,3.6,875,4.3,786,3.8,8808529,4.8,5993219,5.5,-750363,-20.4,6,0.9
"55021","0","10","70","0","2016","2","","Columbia County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1554,21816,21989,22790,208117144,60117083,1841090,721,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,1.6,642,3.0,423,2.0,458,2.1,10588634,5.4,3157673,5.5,-334220,-15.4,20,2.9
"55021","0","10","70","0","2016","3","","Columbia County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1572,22420,22551,22477,220300753,39259229,1386261,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,1.4,515,2.4,691,3.2,502,2.3,18168884,9.0,3012362,8.3,-131120,-8.6,44,6.2
"55021","0","10","70","0","2016","4","","Columbia County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1570,22093,21907,21602,226017940,23138459,670078,795,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-0.6,213,1.0,556,2.6,96,0.4,2790482,1.3,-503375,-2.1,-208613,-23.7,-1,-0.1
"55021","1","10","71","0","2016","1","","Columbia County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,167,164,161,1976646,0,0,927,"",2.04,0.40,0.39,0.38,0.36,0.00,0.00,0.92,"",0,0.0,4,2.5,4,2.5,-3,-1.8,-235964,-10.7,0,0.0,0,0.0,-121,-11.5
"55021","1","10","71","0","2016","2","","Columbia County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,163,160,161,1851116,0,0,883,"",2.06,0.38,0.37,0.36,0.32,0.00,0.00,0.87,"",0,0.0,-5,-3.0,-8,-4.8,-4,-2.4,-85826,-4.4,0,0.0,0,0.0,-9,-1.0
"55021","1","10","71","0","2016","3","","Columbia County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,158,160,165,2174334,0,0,1039,"",1.95,0.35,0.36,0.37,0.32,0.00,0.00,0.88,"",-1,-5.0,-9,-5.4,-2,-1.2,3,1.9,-96333,-4.2,0,0.0,0,0.0,-28,-2.6
"55021","1","10","71","0","2016","4","","Columbia County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,159,165,168,2204519,0,0,1034,"",1.97,0.37,0.39,0.39,0.35,0.00,0.00,0.90,"",-1,-5.0,-8,-4.8,4,2.5,3,1.8,12660,0.6,0,0.0,0,0.0,8,0.8
"55021","1","102","72","0","2016","1","","Columbia County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,167,164,161,1976646,0,0,927,"",2.05,0.41,0.40,0.39,0.37,0.00,0.00,0.92,"",0,0.0,4,2.5,4,2.5,-3,-1.8,-235964,-10.7,0,0.0,0,0.0,-121,-11.5
"55021","1","102","72","0","2016","2","","Columbia County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,163,160,161,1851116,0,0,883,"",2.07,0.39,0.38,0.37,0.33,0.00,0.00,0.87,"",0,0.0,-5,-3.0,-8,-4.8,-4,-2.4,-85826,-4.4,0,0.0,0,0.0,-9,-1.0
"55021","1","102","72","0","2016","3","","Columbia County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,158,160,165,2174334,0,0,1039,"",1.96,0.36,0.36,0.38,0.32,0.00,0.00,0.88,"",-1,-5.0,-9,-5.4,-2,-1.2,3,1.9,-96333,-4.2,0,0.0,0,0.0,-28,-2.6
"55021","1","102","72","0","2016","4","","Columbia County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,159,165,168,2204519,0,0,1034,"",1.97,0.38,0.39,0.40,0.35,0.00,0.00,0.90,"",-1,-5.0,-8,-4.8,4,2.5,3,1.8,12660,0.6,0,0.0,0,0.0,8,0.8
"55021","1","1021","73","0","2016","1","","Columbia County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.86,1.40,1.36,1.35,1.62,0.00,0.00,1.19,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","1021","73","0","2016","2","","Columbia County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.89,1.34,1.33,1.27,1.48,0.00,0.00,1.13,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","1021","73","0","2016","3","","Columbia County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.89,1.27,1.28,1.31,1.48,0.00,0.00,1.15,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","1021","73","0","2016","4","","Columbia County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",2.91,1.31,1.38,1.36,1.48,0.00,0.00,1.09,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","1028","73","0","2016","1","","Columbia County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,25,26,23,425224,0,0,1326,"",1.50,0.11,0.11,0.10,0.12,0.00,0.00,1.14,"",0,0.0,2,8.7,3,13.0,-1,-4.2,12559,3.0,0,0.0,0,0.0,-34,-2.5
"55021","1","1028","73","0","2016","2","","Columbia County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,24,21,23,311857,0,0,1058,"",1.52,0.10,0.09,0.09,0.09,0.00,0.00,0.93,"",0,0.0,-1,-4.0,-4,-16.0,-2,-8.0,-85890,-21.6,0,0.0,0,0.0,-166,-13.6
"55021","1","1028","73","0","2016","3","","Columbia County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,22,22,25,357188,0,0,1195,"",1.26,0.09,0.09,0.10,0.09,0.00,0.00,0.90,"",-1,-16.7,-5,-18.5,-2,-8.3,1,4.2,-75527,-17.5,0,0.0,0,0.0,-136,-10.2
"55021","1","1028","73","0","2016","4","","Columbia County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,22,21,23,293935,0,0,1028,"",1.27,0.09,0.09,0.10,0.08,0.00,0.00,0.82,"",-1,-16.7,-1,-4.3,-2,-8.7,-2,-8.0,-50120,-14.6,0,0.0,0,0.0,-90,-8.1
"55021","1","48-49","74","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.95,1.54,1.49,1.47,1.75,0.00,0.00,1.17,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","48-49","74","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.97,1.47,1.45,1.39,1.60,0.00,0.00,1.11,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","48-49","74","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.97,1.38,1.40,1.43,1.58,0.00,0.00,1.13,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","48-49","74","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",2.99,1.43,1.51,1.48,1.60,0.00,0.00,1.08,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","491","75","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.97,1.57,1.52,1.51,1.84,0.00,0.00,1.20,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","491","75","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.99,1.50,1.48,1.42,1.67,0.00,0.00,1.14,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","491","75","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.99,1.41,1.43,1.46,1.65,0.00,0.00,1.15,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","491","75","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",3.02,1.46,1.55,1.51,1.65,0.00,0.00,1.10,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","4911","76","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.97,1.57,1.52,1.51,1.84,0.00,0.00,1.20,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","4911","76","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.99,1.50,1.48,1.42,1.67,0.00,0.00,1.14,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","4911","76","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.99,1.41,1.43,1.46,1.65,0.00,0.00,1.15,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","4911","76","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",3.02,1.46,1.55,1.51,1.65,0.00,0.00,1.10,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","49111","77","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.97,1.57,1.52,1.51,1.84,0.00,0.00,1.20,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","49111","77","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.99,1.50,1.48,1.42,1.67,0.00,0.00,1.14,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","49111","77","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.99,1.41,1.43,1.46,1.65,0.00,0.00,1.15,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","49111","77","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",3.02,1.46,1.55,1.51,1.65,0.00,0.00,1.10,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","491110","78","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,142,138,138,1551422,0,0,857,"",2.97,1.57,1.52,1.51,1.84,0.00,0.00,1.20,"",0,0.0,2,1.4,1,0.7,-2,-1.4,-248523,-13.8,0,0.0,0,0.0,-139,-14.0
"55021","1","491110","78","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,139,139,138,1539259,0,0,854,"",2.99,1.50,1.48,1.42,1.67,0.00,0.00,1.14,"",0,0.0,-4,-2.8,-4,-2.8,-2,-1.4,64,0.0,0,0.0,0,0.0,20,2.4
"55021","1","491110","78","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,136,138,140,1817146,0,0,1013,"",2.99,1.41,1.43,1.46,1.65,0.00,0.00,1.15,"",0,0.0,-4,-2.9,0,0.0,2,1.4,-20806,-1.1,0,0.0,0,0.0,-7,-0.7
"55021","1","491110","78","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,137,144,145,1910584,0,0,1035,"",3.02,1.46,1.55,1.51,1.65,0.00,0.00,1.10,"",0,0.0,-7,-4.9,6,4.3,5,3.6,62780,3.4,0,0.0,0,0.0,25,2.5
"55021","1","92","74","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,25,26,23,425224,0,0,1326,"",1.50,0.11,0.11,0.10,0.12,0.00,0.00,1.14,"",0,0.0,2,8.7,3,13.0,-1,-4.2,12559,3.0,0,0.0,0,0.0,-34,-2.5
"55021","1","92","74","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,24,21,23,311857,0,0,1058,"",1.52,0.10,0.09,0.09,0.09,0.00,0.00,0.93,"",0,0.0,-1,-4.0,-4,-16.0,-2,-8.0,-85890,-21.6,0,0.0,0,0.0,-166,-13.6
"55021","1","92","74","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,22,22,25,357188,0,0,1195,"",1.26,0.09,0.09,0.10,0.09,0.00,0.00,0.90,"",-1,-16.7,-5,-18.5,-2,-8.3,1,4.2,-75527,-17.5,0,0.0,0,0.0,-136,-10.2
"55021","1","92","74","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,22,21,23,293935,0,0,1028,"",1.27,0.09,0.09,0.10,0.08,0.00,0.00,0.82,"",-1,-16.7,-1,-4.3,-2,-8.7,-2,-8.0,-50120,-14.6,0,0.0,0,0.0,-90,-8.1
"55021","1","923","75","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,8,7,135346,0,0,1358,"",2.34,0.29,0.29,0.25,0.33,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,-1,-12.5,-21222,-13.6,0,0.0,0,0.0,-147,-9.8
"55021","1","923","75","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,8,128056,0,0,1343,"",2.38,0.25,0.25,0.27,0.30,0.00,0.00,1.15,"",0,0.0,-1,-12.5,-1,-12.5,0,0.0,-13921,-9.8,0,0.0,0,0.0,-22,-1.6
"55021","1","923","75","0","2016","3","","Columbia County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,8,8,148686,0,0,1430,"",2.38,0.27,0.27,0.27,0.29,0.00,0.00,1.05,"",0,0.0,0,0.0,0,0.0,0,0.0,-16046,-9.7,0,0.0,0,0.0,-154,-9.7
"55021","1","923","75","0","2016","4","","Columbia County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,107235,0,0,1178,"",2.40,0.25,0.25,0.25,0.22,0.00,0.00,0.90,"",0,0.0,0,0.0,-1,-12.5,-1,-12.5,-14252,-11.7,0,0.0,0,0.0,-41,-3.4
"55021","1","9231","76","0","2016","1","","Columbia County, Wisconsin","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,8,7,135346,0,0,1358,"",2.34,0.29,0.29,0.25,0.33,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,-1,-12.5,-21222,-13.6,0,0.0,0,0.0,-147,-9.8
"55021","1","9231","76","0","2016","2","","Columbia County, Wisconsin","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,8,128056,0,0,1343,"",2.38,0.25,0.25,0.27,0.30,0.00,0.00,1.15,"",0,0.0,-1,-12.5,-1,-12.5,0,0.0,-13921,-9.8,0,0.0,0,0.0,-22,-1.6
