"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55049","0","10","70","0","2016","1","","Iowa County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",640,9661,9639,9708,88786199,57993222,1522216,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,3.6,-124,-1.3,-92,-0.9,-125,-1.3,-5744981,-6.1,-2368495,-3.9,-789104,-34.1,-37,-5.0
"55049","0","10","70","0","2016","2","","Iowa County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",635,10046,10230,10627,97457335,32988267,1044157,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-68,-0.7,-189,-1.8,-138,-1.3,752610,0.8,2321201,7.6,-232909,-18.2,15,2.1
"55049","0","10","70","0","2016","3","","Iowa County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",640,10384,10370,10108,96289118,16835891,562415,720,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.9,-212,-2.0,-308,-2.9,-398,-3.8,-1111196,-1.1,-2198246,-11.5,-262711,-31.8,13,1.8
"55049","0","10","70","0","2016","4","","Iowa County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",644,10106,10254,9872,107595183,11595817,360606,821,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-1.5,-585,-5.5,-423,-4.0,-521,-5.0,-1100917,-1.0,-945919,-7.5,-151302,-29.6,31,3.9
"55049","1","10","71","0","2016","1","","Iowa County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,78,81,77,874528,0,0,855,"",3.72,0.41,0.42,0.40,0.35,0.00,0.00,0.84,"",0,0.0,1,1.3,10,14.1,3,4.1,-40565,-4.4,0,0.0,0,0.0,-96,-10.1
"55049","1","10","71","0","2016","2","","Iowa County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,77,78,75,820170,0,0,823,"",3.79,0.39,0.39,0.36,0.31,0.00,0.00,0.81,"",0,0.0,3,4.1,4,5.4,-4,-5.1,24073,3.0,0,0.0,0,0.0,14,1.7
"55049","1","10","71","0","2016","3","","Iowa County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,76,77,76,976955,0,0,985,"",3.79,0.37,0.38,0.38,0.33,0.00,0.00,0.87,"",0,0.0,-2,-2.6,-1,-1.3,0,0.0,5786,0.6,0,0.0,0,0.0,19,2.0
"55049","1","10","71","0","2016","4","","Iowa County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,72,74,72,903002,0,0,956,"",3.79,0.37,0.37,0.37,0.30,0.00,0.00,0.81,"",0,0.0,-4,-5.3,-2,-2.6,-7,-8.9,-8522,-0.9,0,0.0,0,0.0,45,4.9
"55049","1","102","72","0","2016","1","","Iowa County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,78,81,77,874528,0,0,855,"",3.73,0.41,0.43,0.41,0.35,0.00,0.00,0.84,"",0,0.0,1,1.3,10,14.1,3,4.1,-40565,-4.4,0,0.0,0,0.0,-96,-10.1
"55049","1","102","72","0","2016","2","","Iowa County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,77,78,75,820170,0,0,823,"",3.79,0.40,0.40,0.37,0.31,0.00,0.00,0.81,"",0,0.0,3,4.1,4,5.4,-4,-5.1,24073,3.0,0,0.0,0,0.0,14,1.7
