"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55059","0","10","70","0","2016","1","","Kenosha County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3127,62278,61875,61816,619329536,329060296,8797340,769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",195,6.7,7356,13.4,6742,12.2,6181,11.1,23155041,3.9,34177002,11.6,-1118723,-11.3,-61,-7.3
"55059","0","10","70","0","2016","2","","Kenosha County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3151,61821,62478,63446,609978319,174689412,5132642,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",122,4.0,5210,9.2,4432,7.6,4018,6.8,43048376,7.6,26343077,17.8,-203314,-3.8,-2,-0.3
"55059","0","10","70","0","2016","3","","Kenosha County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3215,64423,64302,64562,653083726,113831802,3376023,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",123,4.0,4437,7.4,3750,6.2,3349,5.5,55471540,9.3,10127635,9.8,-300685,-8.2,21,2.8
"55059","0","10","70","0","2016","4","","Kenosha County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3229,64907,66509,66267,717131570,88043256,2545241,837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,1.5,3757,6.1,4817,7.8,80,0.1,12673108,1.8,-14040303,-13.8,-1017975,-28.6,-23,-2.7
"55059","1","10","71","0","2016","1","","Kenosha County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,255,255,256,3527919,0,0,1063,"",0.91,0.21,0.21,0.21,0.20,0.00,0.00,0.96,"",0,0.0,6,2.4,0,0.0,6,2.4,-599862,-14.5,0,0.0,0,0.0,-200,-15.8
"55059","1","10","71","0","2016","2","","Kenosha County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,253,265,260,3455973,0,0,1025,"",0.92,0.21,0.22,0.21,0.21,0.00,0.00,0.98,"",0,0.0,-1,-0.4,12,4.7,11,4.4,35473,1.0,0,0.0,0,0.0,-19,-1.8
"55059","1","10","71","0","2016","3","","Kenosha County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,253,257,256,4045078,0,0,1219,"",0.91,0.20,0.20,0.20,0.20,0.00,0.00,1.00,"",0,0.0,6,2.4,11,4.5,2,0.8,-15524,-0.4,0,0.0,0,0.0,-35,-2.8
"55059","1","10","71","0","2016","4","","Kenosha County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,260,258,257,4280236,0,0,1275,"",0.91,0.21,0.20,0.20,0.21,0.00,0.00,1.06,"",0,0.0,16,6.6,4,1.6,8,3.2,324031,8.2,0,0.0,0,0.0,53,4.3
"55059","1","102","72","0","2016","1","","Kenosha County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,255,255,256,3527919,0,0,1063,"",0.92,0.21,0.21,0.21,0.20,0.00,0.00,0.96,"",0,0.0,6,2.4,0,0.0,6,2.4,-599862,-14.5,0,0.0,0,0.0,-200,-15.8
"55059","1","102","72","0","2016","2","","Kenosha County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,253,265,260,3455973,0,0,1025,"",0.92,0.21,0.22,0.21,0.21,0.00,0.00,0.98,"",0,0.0,-1,-0.4,12,4.7,11,4.4,35473,1.0,0,0.0,0,0.0,-19,-1.8
