"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55079","0","10","70","0","2016","1","","Milwaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25154,477441,480210,481365,6215036637,2795859774,66838952,997,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",274,1.1,7314,1.6,6076,1.3,5654,1.2,-32240157,-0.5,9738720,0.3,-20803263,-23.7,-18,-1.8
"55079","0","10","70","0","2016","2","","Milwaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25202,485457,485910,487488,5983321255,1154443025,31045534,946,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-143,-0.6,4507,0.9,1831,0.4,1898,0.4,193640336,3.3,24313640,2.2,-8601036,-21.7,25,2.7
"55079","0","10","70","0","2016","3","","Milwaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25608,478097,485602,487187,6097858825,695543688,19016514,970,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",130,0.5,1615,0.3,826,0.2,1199,0.2,314922623,5.4,20418481,3.0,-4825383,-20.2,48,5.2
"55079","0","10","70","0","2016","4","","Milwaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",25718,486958,488508,487907,6604745711,516537058,14227914,1042,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-181,-0.7,-880,-0.2,-937,-0.2,-1492,-0.3,-23774250,-0.4,-38709485,-7.0,-5519187,-27.9,-1,-0.1
"55079","1","10","71","0","2016","1","","Milwaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",81,9311,9335,9302,158162091,0,0,1306,"",0.51,0.98,0.98,0.98,0.89,0.00,0.00,0.91,"",1,1.2,42,0.5,28,0.3,46,0.5,-16943834,-9.7,0,0.0,0,0.0,-146,-10.1
"55079","1","10","71","0","2016","2","","Milwaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",81,9355,9266,9283,148194488,0,0,1226,"",0.52,0.98,0.98,0.97,0.90,0.00,0.00,0.93,"",1,1.2,14,0.1,9,0.1,24,0.3,2699421,1.9,0,0.0,0,0.0,21,1.7
"55079","1","10","71","0","2016","3","","Milwaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",81,9290,9272,9318,173984556,0,0,1440,"",0.51,0.98,0.96,0.97,0.92,0.00,0.00,0.95,"",1,1.2,-50,-0.5,13,0.1,41,0.4,3149946,1.8,0,0.0,0,0.0,26,1.8
"55079","1","10","71","0","2016","4","","Milwaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",81,9238,9301,9520,172868912,0,0,1422,"",0.51,0.97,0.98,0.99,0.93,0.00,0.00,0.95,"",1,1.2,-70,-0.8,-11,-0.1,-69,-0.7,13674267,8.6,0,0.0,0,0.0,120,9.2
"55079","1","102","72","0","2016","1","","Milwaukee County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",81,9311,9335,9302,158162091,0,0,1306,"",0.51,1.00,1.00,1.00,0.91,0.00,0.00,0.91,"",1,1.2,42,0.5,28,0.3,46,0.5,-16943834,-9.7,0,0.0,0,0.0,-146,-10.1
"55079","1","102","72","0","2016","2","","Milwaukee County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",81,9355,9266,9283,148194488,0,0,1226,"",0.52,1.00,0.99,0.99,0.92,0.00,0.00,0.93,"",1,1.2,14,0.1,9,0.1,24,0.3,2699421,1.9,0,0.0,0,0.0,21,1.7
