"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55089","0","10","70","0","2016","1","","Ozaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2769,41835,42194,42281,449421025,259667578,5492953,821,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",85,3.2,2137,5.4,2341,5.9,2299,5.8,14822854,3.4,12635187,5.1,-1505293,-21.5,-18,-2.1
"55089","0","10","70","0","2016","2","","Ozaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2773,42836,43381,43517,459225512,117974185,2949068,817,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,1.1,1729,4.2,1533,3.7,1214,2.9,18301193,4.2,6939978,6.3,-652244,-18.1,5,0.6
"55089","0","10","70","0","2016","3","","Ozaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2815,43397,43687,43435,482162672,68102502,1760276,853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,1.5,1741,4.2,1705,4.1,1292,3.1,41965993,9.5,5837956,9.4,-299096,-14.5,45,5.6
"55089","0","10","70","0","2016","4","","Ozaukee County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2806,43657,43699,43361,519175018,46692235,1161741,917,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-0.7,816,1.9,697,1.6,566,1.3,-6821130,-1.3,-3922098,-7.7,-485725,-29.5,-27,-2.9
"55089","1","10","71","0","2016","1","","Ozaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,150,150,151,1878883,0,0,961,"",0.46,0.18,0.18,0.18,0.15,0.00,0.00,0.81,"",0,0.0,5,3.4,4,2.7,6,4.1,-358098,-16.0,0,0.0,0,0.0,-223,-18.8
"55089","1","10","71","0","2016","2","","Ozaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,152,150,151,1833117,0,0,934,"",0.46,0.18,0.18,0.18,0.15,0.00,0.00,0.82,"",0,0.0,1,0.7,1,0.7,1,0.7,25329,1.4,0,0.0,0,0.0,7,0.8
"55089","1","10","71","0","2016","3","","Ozaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,149,148,147,2149782,0,0,1117,"",0.46,0.17,0.17,0.17,0.14,0.00,0.00,0.84,"",0,0.0,5,3.5,4,2.8,-3,-2.0,-8775,-0.4,0,0.0,0,0.0,-20,-1.8
"55089","1","10","71","0","2016","4","","Ozaukee County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,151,148,151,2436088,0,0,1249,"",0.46,0.18,0.17,0.18,0.17,0.00,0.00,0.95,"",0,0.0,5,3.4,-4,-2.6,-2,-1.3,85525,3.6,0,0.0,0,0.0,46,3.8
"55089","1","102","72","0","2016","1","","Ozaukee County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,150,150,151,1878883,0,0,961,"",0.46,0.18,0.18,0.18,0.15,0.00,0.00,0.81,"",0,0.0,5,3.4,4,2.7,6,4.1,-358098,-16.0,0,0.0,0,0.0,-223,-18.8
"55089","1","102","72","0","2016","2","","Ozaukee County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,152,150,151,1833117,0,0,934,"",0.46,0.18,0.18,0.18,0.15,0.00,0.00,0.82,"",0,0.0,1,0.7,1,0.7,1,0.7,25329,1.4,0,0.0,0,0.0,7,0.8
