"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55113","0","10","70","0","2016","1","","Sawyer County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",663,6245,6303,6238,50242046,30425147,902047,617,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,4.1,259,4.3,331,5.5,220,3.7,3671714,7.9,1558380,5.4,-151714,-14.4,19,3.2
"55113","0","10","70","0","2016","2","","Sawyer County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",664,6420,6863,7141,54126068,19873758,722782,612,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.5,56,0.9,20,0.3,-39,-0.5,1768711,3.4,246582,1.3,-152920,-17.5,19,3.2
"55113","0","10","70","0","2016","3","","Sawyer County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",659,7328,7372,7073,60453303,13827751,529430,641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,169,2.4,246,3.5,209,3.0,4497149,8.0,405539,3.0,-66789,-11.2,30,4.9
"55113","0","10","70","0","2016","4","","Sawyer County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",653,6901,6619,6543,59012002,7437272,253613,679,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-1.5,115,1.7,219,3.4,134,2.1,1213393,2.1,358595,5.1,-30432,-10.7,-2,-0.3
"55113","1","10","71","0","2016","1","","Sawyer County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,69,68,69,814097,0,0,912,"",2.64,0.56,0.54,0.56,0.57,0.00,0.00,1.03,"",0,0.0,-6,-8.0,-2,-2.9,1,1.5,-52852,-6.1,0,0.0,0,0.0,-27,-2.9
"55113","1","10","71","0","2016","2","","Sawyer County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,68,69,73,756811,0,0,832,"",2.66,0.54,0.51,0.52,0.51,0.00,0.00,0.97,"",0,0.0,-3,-4.2,-5,-6.8,-4,-5.2,-76044,-9.1,0,0.0,0,0.0,-34,-3.9
"55113","1","10","71","0","2016","3","","Sawyer County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,75,77,74,1001318,0,0,1022,"",2.70,0.51,0.53,0.53,0.53,0.00,0.00,1.02,"",0,0.0,1,1.4,2,2.7,1,1.4,11144,1.1,0,0.0,0,0.0,-7,-0.7
"55113","1","10","71","0","2016","4","","Sawyer County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,76,75,73,881801,0,0,908,"",2.74,0.56,0.58,0.57,0.53,0.00,0.00,0.93,"",0,0.0,5,7.0,2,2.7,2,2.8,42716,5.1,0,0.0,0,0.0,7,0.8
"55113","1","102","72","0","2016","1","","Sawyer County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,69,68,69,814097,0,0,912,"",2.64,0.57,0.55,0.57,0.58,0.00,0.00,1.03,"",0,0.0,-6,-8.0,-2,-2.9,1,1.5,-52852,-6.1,0,0.0,0,0.0,-27,-2.9
"55113","1","102","72","0","2016","2","","Sawyer County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,68,69,73,756811,0,0,832,"",2.66,0.55,0.52,0.53,0.52,0.00,0.00,0.97,"",0,0.0,-3,-4.2,-5,-6.8,-4,-5.2,-76044,-9.1,0,0.0,0,0.0,-34,-3.9
