"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"55141","0","10","70","0","2016","1","","Wood County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1933,37404,37459,37636,387954533,203407234,4756588,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",73,3.9,1198,3.3,1234,3.4,1160,3.2,28788833,8.0,1736647,0.9,-1559080,-24.7,35,4.6
"55141","0","10","70","0","2016","2","","Wood County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1936,38391,38453,38513,420162224,94537425,2750257,841,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,1.6,1294,3.5,1090,2.9,1114,3.0,38704561,10.1,-1104667,-1.2,-632108,-18.7,54,6.9
"55141","0","10","70","0","2016","3","","Wood County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1957,37831,37626,38265,425507635,49610376,1439082,863,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,1.7,1178,3.2,943,2.6,980,2.6,49463528,13.2,752234,1.5,-252393,-14.9,79,10.1
"55141","0","10","70","0","2016","4","","Wood County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1953,38527,38606,38368,425485931,36035992,986157,850,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,952,2.5,1226,3.3,1186,3.2,6267351,1.5,-1489622,-4.0,-265446,-21.2,-13,-1.5
"55141","1","10","71","0","2016","1","","Wood County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,182,178,181,2245642,0,0,958,"",1.40,0.25,0.24,0.24,0.20,0.00,0.00,0.84,"",0,0.0,-9,-4.7,-11,-5.8,-7,-3.7,-320649,-12.5,0,0.0,0,0.0,-85,-8.1
"55141","1","10","71","0","2016","2","","Wood County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,185,183,185,2120815,0,0,885,"",1.41,0.25,0.24,0.24,0.18,0.00,0.00,0.75,"",0,0.0,-1,-0.5,-6,-3.2,-2,-1.1,-81987,-3.7,0,0.0,0,0.0,-20,-2.2
"55141","1","10","71","0","2016","3","","Wood County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,185,184,186,2555634,0,0,1063,"",1.40,0.25,0.25,0.25,0.19,0.00,0.00,0.79,"",0,0.0,-8,-4.1,-3,-1.6,-4,-2.1,30544,1.2,0,0.0,0,0.0,41,4.0
"55141","1","10","71","0","2016","4","","Wood County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,188,187,191,2503110,0,0,1021,"",1.42,0.25,0.25,0.25,0.21,0.00,0.00,0.83,"",0,0.0,2,1.1,3,1.6,5,2.7,52296,2.1,0,0.0,0,0.0,4,0.4
"55141","1","102","72","0","2016","1","","Wood County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,182,178,181,2245642,0,0,958,"",1.40,0.25,0.24,0.25,0.21,0.00,0.00,0.84,"",0,0.0,-9,-4.7,-11,-5.8,-7,-3.7,-320649,-12.5,0,0.0,0,0.0,-85,-8.1
"55141","1","102","72","0","2016","2","","Wood County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,185,183,185,2120815,0,0,885,"",1.41,0.25,0.25,0.25,0.19,0.00,0.00,0.75,"",0,0.0,-1,-0.5,-6,-3.2,-2,-1.1,-81987,-3.7,0,0.0,0,0.0,-20,-2.2
"55141","1","102","72","0","2016","3","","Wood County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,185,184,186,2555634,0,0,1063,"",1.41,0.25,0.25,0.25,0.20,0.00,0.00,0.79,"",0,0.0,-8,-4.1,-3,-1.6,-4,-2.1,30544,1.2,0,0.0,0,0.0,41,4.0
"55141","1","102","72","0","2016","4","","Wood County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,188,187,191,2503110,0,0,1021,"",1.42,0.25,0.25,0.26,0.21,0.00,0.00,0.83,"",0,0.0,2,1.1,3,1.6,5,2.7,52296,2.1,0,0.0,0,0.0,4,0.4
"55141","1","1021","73","0","2016","1","","Wood County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,151,149,150,1658450,0,0,850,"",1.98,0.84,0.82,0.83,0.86,0.00,0.00,1.04,"",0,0.0,-5,-3.2,-7,-4.5,-6,-3.8,-327507,-16.5,0,0.0,0,0.0,-129,-13.2
"55141","1","1021","73","0","2016","2","","Wood County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,151,152,154,1658112,0,0,837,"",1.99,0.83,0.83,0.84,0.79,0.00,0.00,0.95,"",0,0.0,-4,-2.6,-4,-2.6,-1,-0.6,-11567,-0.7,0,0.0,0,0.0,10,1.2
"55141","1","1021","73","0","2016","3","","Wood County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,151,151,153,1979188,0,0,1004,"",1.99,0.83,0.84,0.84,0.83,0.00,0.00,1.00,"",0,0.0,-7,-4.4,-5,-3.2,-3,-1.9,-6671,-0.3,0,0.0,0,0.0,29,3.0
"55141","1","1021","73","0","2016","4","","Wood County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,156,157,156,2042317,0,0,1005,"",2.01,0.85,0.86,0.82,0.84,0.00,0.00,0.99,"",0,0.0,0,0.0,3,1.9,5,3.3,80041,4.1,0,0.0,0,0.0,23,2.3
"55141","1","1028","73","0","2016","1","","Wood County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,31,29,31,587192,0,0,1489,"",1.01,0.08,0.07,0.08,0.08,0.00,0.00,1.13,"",0,0.0,-4,-11.4,-4,-12.1,-1,-3.1,6858,1.2,0,0.0,0,0.0,150,11.2
"55141","1","1028","73","0","2016","2","","Wood County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,34,31,31,462703,0,0,1112,"",1.02,0.08,0.08,0.08,0.07,0.00,0.00,0.84,"",0,0.0,3,9.7,-2,-6.1,-1,-3.1,-70420,-13.2,0,0.0,0,0.0,-170,-13.3
"55141","1","1028","73","0","2016","3","","Wood County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,34,33,33,576446,0,0,1330,"",1.01,0.08,0.08,0.08,0.07,0.00,0.00,0.87,"",0,0.0,-1,-2.9,2,6.5,-1,-2.9,37215,6.9,0,0.0,0,0.0,86,6.9
"55141","1","1028","73","0","2016","4","","Wood County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,32,30,35,460793,0,0,1096,"",1.02,0.08,0.07,0.09,0.07,0.00,0.00,0.82,"",0,0.0,2,6.7,0,0.0,0,0.0,-27745,-5.7,0,0.0,0,0.0,-91,-7.7
"55141","1","48-49","74","0","2016","1","","Wood County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,151,149,150,1658450,0,0,850,"",2.03,0.92,0.90,0.90,0.93,0.00,0.00,1.02,"",0,0.0,-5,-3.2,-7,-4.5,-6,-3.8,-327507,-16.5,0,0.0,0,0.0,-129,-13.2
"55141","1","48-49","74","0","2016","2","","Wood County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,151,152,154,1658112,0,0,837,"",2.05,0.91,0.91,0.92,0.85,0.00,0.00,0.94,"",0,0.0,-4,-2.6,-4,-2.6,-1,-0.6,-11567,-0.7,0,0.0,0,0.0,10,1.2
"55141","1","48-49","74","0","2016","3","","Wood County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,151,151,153,1979188,0,0,1004,"",2.04,0.91,0.92,0.92,0.89,0.00,0.00,0.98,"",0,0.0,-7,-4.4,-5,-3.2,-3,-1.9,-6671,-0.3,0,0.0,0,0.0,29,3.0
"55141","1","48-49","74","0","2016","4","","Wood County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,156,157,156,2042317,0,0,1005,"",2.06,0.93,0.94,0.90,0.91,0.00,0.00,0.98,"",0,0.0,0,0.0,3,1.9,5,3.3,80041,4.1,0,0.0,0,0.0,23,2.3
"55141","1","491","75","0","2016","1","","Wood County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,151,149,150,1658450,0,0,850,"",2.05,0.94,0.92,0.92,0.98,0.00,0.00,1.05,"",0,0.0,-5,-3.2,-7,-4.5,-6,-3.8,-327507,-16.5,0,0.0,0,0.0,-129,-13.2
"55141","1","491","75","0","2016","2","","Wood County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,151,152,154,1658112,0,0,837,"",2.06,0.93,0.93,0.94,0.89,0.00,0.00,0.96,"",0,0.0,-4,-2.6,-4,-2.6,-1,-0.6,-11567,-0.7,0,0.0,0,0.0,10,1.2
"55141","1","491","75","0","2016","3","","Wood County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,151,151,153,1979188,0,0,1004,"",2.06,0.93,0.94,0.94,0.93,0.00,0.00,1.00,"",0,0.0,-7,-4.4,-5,-3.2,-3,-1.9,-6671,-0.3,0,0.0,0,0.0,29,3.0
"55141","1","491","75","0","2016","4","","Wood County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,156,157,156,2042317,0,0,1005,"",2.08,0.95,0.96,0.92,0.94,0.00,0.00,1.00,"",0,0.0,0,0.0,3,1.9,5,3.3,80041,4.1,0,0.0,0,0.0,23,2.3
"55141","1","4911","76","0","2016","1","","Wood County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,151,149,150,1658450,0,0,850,"",2.05,0.94,0.92,0.92,0.98,0.00,0.00,1.05,"",0,0.0,-5,-3.2,-7,-4.5,-6,-3.8,-327507,-16.5,0,0.0,0,0.0,-129,-13.2
"55141","1","4911","76","0","2016","2","","Wood County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,151,152,154,1658112,0,0,837,"",2.06,0.93,0.93,0.94,0.89,0.00,0.00,0.96,"",0,0.0,-4,-2.6,-4,-2.6,-1,-0.6,-11567,-0.7,0,0.0,0,0.0,10,1.2
"55141","1","4911","76","0","2016","3","","Wood County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,151,151,153,1979188,0,0,1004,"",2.06,0.93,0.94,0.94,0.93,0.00,0.00,1.00,"",0,0.0,-7,-4.4,-5,-3.2,-3,-1.9,-6671,-0.3,0,0.0,0,0.0,29,3.0
"55141","1","4911","76","0","2016","4","","Wood County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,156,157,156,2042317,0,0,1005,"",2.08,0.95,0.96,0.92,0.94,0.00,0.00,1.00,"",0,0.0,0,0.0,3,1.9,5,3.3,80041,4.1,0,0.0,0,0.0,23,2.3
"55141","1","49111","77","0","2016","1","","Wood County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,151,149,150,1658450,0,0,850,"",2.05,0.94,0.92,0.92,0.98,0.00,0.00,1.05,"",0,0.0,-5,-3.2,-7,-4.5,-6,-3.8,-327507,-16.5,0,0.0,0,0.0,-129,-13.2
"55141","1","49111","77","0","2016","2","","Wood County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,151,152,154,1658112,0,0,837,"",2.06,0.93,0.93,0.94,0.89,0.00,0.00,0.96,"",0,0.0,-4,-2.6,-4,-2.6,-1,-0.6,-11567,-0.7,0,0.0,0,0.0,10,1.2
"55141","1","49111","77","0","2016","3","","Wood County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,151,151,153,1979188,0,0,1004,"",2.06,0.93,0.94,0.94,0.93,0.00,0.00,1.00,"",0,0.0,-7,-4.4,-5,-3.2,-3,-1.9,-6671,-0.3,0,0.0,0,0.0,29,3.0
"55141","1","49111","77","0","2016","4","","Wood County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,156,157,156,2042317,0,0,1005,"",2.08,0.95,0.96,0.92,0.94,0.00,0.00,1.00,"",0,0.0,0,0.0,3,1.9,5,3.3,80041,4.1,0,0.0,0,0.0,23,2.3
