"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"56000","0","10","50","0","2016","1","","Wyoming -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",26065,268712,267686,268480,2970598226,1924985907,21768150,852,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",136,0.5,-8597,-3.1,-9890,-3.6,-9820,-3.5,-250361286,-7.8,-194309070,-9.2,-3585888,-14.1,-40,-4.5
"56000","0","10","50","0","2016","2","","Wyoming -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",26217,268752,274191,282095,3035487751,1279945599,17842563,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,0.2,-10036,-3.6,-10128,-3.6,-10450,-3.6,-183965664,-5.7,-9255889,-0.7,-1397682,-7.3,-19,-2.2
"56000","0","10","50","0","2016","3","","Wyoming -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",26040,276993,276508,275420,3107045777,882064260,13330689,865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-208,-0.8,-11559,-4.0,-11667,-4.0,-12801,-4.4,-135051184,-4.2,-19836079,-2.2,-1825682,-12.0,0,0.0
"56000","0","10","50","0","2016","4","","Wyoming -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",25864,271868,265026,266030,3111373498,567785668,7621720,894,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-176,-0.7,-13045,-4.6,-11616,-4.2,-10639,-3.8,-295443715,-8.7,-42621783,-7.0,-1567647,-17.1,-44,-4.7
"56000","1","10","51","0","2016","1","","Wyoming -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",406,6969,6948,7023,110568781,0,0,1219,"",2.47,1.31,1.31,1.32,1.31,0.00,0.00,1.00,"",-5,-1.2,191,2.8,170,2.5,157,2.3,-3303531,-2.9,0,0.0,0,0.0,-68,-5.3
"56000","1","10","51","0","2016","2","","Wyoming -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",402,7083,7493,8266,107408001,0,0,1085,"",2.46,1.35,1.40,1.49,1.29,0.00,0.00,0.91,"",-5,-1.2,136,2.0,121,1.6,317,4.0,3161402,3.0,0,0.0,0,0.0,5,0.5
"56000","1","10","51","0","2016","3","","Wyoming -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",407,8253,8131,7976,138857997,0,0,1315,"",2.53,1.50,1.49,1.47,1.44,0.00,0.00,0.97,"",1,0.2,171,2.1,121,1.5,172,2.2,6725030,5.1,0,0.0,0,0.0,39,3.1
"56000","1","10","51","0","2016","4","","Wyoming -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",410,7565,7178,7161,115912769,0,0,1221,"",2.58,1.43,1.39,1.37,1.32,0.00,0.00,0.95,"",7,1.7,153,2.1,130,1.8,66,0.9,8592967,8.0,0,0.0,0,0.0,72,6.3
"56000","1","102","52","0","2016","1","","Wyoming -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",406,6969,6948,7023,110568781,0,0,1219,"",2.48,1.33,1.33,1.35,1.33,0.00,0.00,1.00,"",-5,-1.2,191,2.8,170,2.5,157,2.3,-3303531,-2.9,0,0.0,0,0.0,-68,-5.3
"56000","1","102","52","0","2016","2","","Wyoming -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",402,7083,7493,8266,107408001,0,0,1085,"",2.46,1.37,1.42,1.52,1.31,0.00,0.00,0.91,"",-5,-1.2,136,2.0,121,1.6,317,4.0,3161402,3.0,0,0.0,0,0.0,5,0.5
