"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72003","0","10","70","0","2016","1","","Aguada Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",467,4148,4188,4216,18431914,9623251,351039,339,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,-247,-5.6,-219,-5.0,-250,-5.6,-423206,-2.2,-248001,-2.5,-15734,-4.3,11,3.4
"72003","0","10","70","0","2016","2","","Aguada Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",466,4203,4241,4148,18846253,6460213,242248,345,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-190,-4.3,-144,-3.3,-103,-2.4,-414110,-2.2,-182664,-2.7,-7435,-3.0,4,1.2
"72003","0","10","70","0","2016","3","","Aguada Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",467,3891,3959,4094,18066358,2978935,115468,349,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.7,-86,-2.2,-151,-3.7,-152,-3.6,-102531,-0.6,-17445,-0.6,-168,-0.1,9,2.6
"72003","0","10","70","0","2016","4","","Aguada Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",475,4097,4142,4282,20202536,2170308,83725,372,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,3.9,-163,-3.8,-98,-2.3,-168,-3.8,-607037,-2.9,-16067,-0.7,-894,-1.1,1,0.3
"72003","1","10","71","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,17,19,19,311698,0,0,1308,"",0.68,0.21,0.23,0.23,0.59,0.00,0.00,2.69,"",-1,-33.3,-2,-10.5,-2,-9.5,-2,-9.5,-49412,-13.7,0,0.0,0,0.0,-58,-4.2
"72003","1","10","71","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,19,19,18,306888,0,0,1265,"",0.69,0.23,0.23,0.22,0.59,0.00,0.00,2.62,"",-1,-33.3,-2,-9.5,-2,-9.5,-2,-10.0,-15238,-4.7,0,0.0,0,0.0,66,5.5
"72003","1","10","71","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,18,19,19,348779,0,0,1437,"",0.69,0.23,0.24,0.24,0.62,0.00,0.00,2.63,"",-1,-33.3,-2,-10.0,1,5.6,1,5.6,-36013,-9.4,0,0.0,0,0.0,-149,-9.4
"72003","1","10","71","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,19,20,19,389090,0,0,1548,"",0.69,0.24,0.25,0.23,0.68,0.00,0.00,2.89,"",-1,-33.3,-1,-5.0,0,0.0,-3,-13.6,2417,0.6,0,0.0,0,0.0,109,7.6
"72003","1","102","72","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,17,19,19,311698,0,0,1308,"",0.68,0.21,0.23,0.23,0.60,0.00,0.00,2.68,"",-1,-33.3,-2,-10.5,-2,-9.5,-2,-9.5,-49412,-13.7,0,0.0,0,0.0,-58,-4.2
"72003","1","102","72","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,19,19,18,306888,0,0,1265,"",0.69,0.24,0.23,0.22,0.60,0.00,0.00,2.62,"",-1,-33.3,-2,-9.5,-2,-9.5,-2,-10.0,-15238,-4.7,0,0.0,0,0.0,66,5.5
"72003","1","102","72","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,18,19,19,348779,0,0,1437,"",0.69,0.24,0.25,0.24,0.63,0.00,0.00,2.63,"",-1,-33.3,-2,-10.0,1,5.6,1,5.6,-36013,-9.4,0,0.0,0,0.0,-149,-9.4
"72003","1","102","72","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,19,20,19,389090,0,0,1548,"",0.69,0.24,0.25,0.23,0.70,0.00,0.00,2.89,"",-1,-33.3,-1,-5.0,0,0.0,-3,-13.6,2417,0.6,0,0.0,0,0.0,109,7.6
"72003","1","1021","73","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,12,12,179509,0,0,1218,"",0.68,0.50,0.59,0.59,1.97,0.00,0.00,3.50,"",0,0.0,-1,-9.1,-1,-7.7,-1,-7.7,-64303,-26.4,0,0.0,0,0.0,-303,-19.9
"72003","1","1021","73","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,173944,0,0,1115,"",0.69,0.60,0.59,0.61,1.85,0.00,0.00,3.08,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-4405,-2.5,0,0.0,0,0.0,-28,-2.4
"72003","1","1021","73","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,209791,0,0,1345,"",0.69,0.64,0.63,0.61,2.08,0.00,0.00,3.30,"",0,0.0,1,9.1,2,20.0,2,20.0,1854,0.9,0,0.0,0,0.0,-203,-13.1
"72003","1","1021","73","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,13,12,233366,0,0,1456,"",0.69,0.62,0.66,0.57,2.02,0.00,0.00,3.29,"",0,0.0,1,9.1,2,18.2,0,0.0,28617,14.0,0,0.0,0,0.0,66,4.7
"72003","1","1028","73","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,132189,0,0,1453,"",0.83,0.16,0.16,0.15,0.40,0.00,0.00,2.59,"",-1,-50.0,-1,-12.5,-1,-12.5,-1,-12.5,14891,12.7,0,0.0,0,0.0,325,28.8
"72003","1","1028","73","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,6,132944,0,0,1534,"",0.85,0.16,0.16,0.14,0.42,0.00,0.00,2.82,"",-1,-50.0,-1,-12.5,-2,-22.2,-3,-33.3,-10833,-7.5,0,0.0,0,0.0,258,20.2
"72003","1","1028","73","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,7,7,138988,0,0,1604,"",0.85,0.14,0.16,0.16,0.40,0.00,0.00,2.60,"",-1,-50.0,-3,-33.3,-1,-12.5,-1,-12.5,-37867,-21.4,0,0.0,0,0.0,-29,-1.8
"72003","1","1028","73","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,155724,0,0,1711,"",0.84,0.16,0.16,0.15,0.46,0.00,0.00,2.93,"",-1,-50.0,-2,-22.2,-2,-22.2,-3,-30.0,-26200,-14.4,0,0.0,0,0.0,212,14.1
"72003","1","48-49","74","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,12,12,179509,0,0,1218,"",0.70,0.55,0.65,0.65,2.12,0.00,0.00,3.44,"",0,0.0,-1,-9.1,-1,-7.7,-1,-7.7,-64303,-26.4,0,0.0,0,0.0,-303,-19.9
"72003","1","48-49","74","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,12,12,173944,0,0,1115,"",0.71,0.66,0.65,0.66,2.00,0.00,0.00,3.04,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-4405,-2.5,0,0.0,0,0.0,-28,-2.4
"72003","1","48-49","74","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,12,12,209791,0,0,1345,"",0.71,0.70,0.69,0.67,2.22,0.00,0.00,3.23,"",0,0.0,1,9.1,2,20.0,2,20.0,1854,0.9,0,0.0,0,0.0,-203,-13.1
"72003","1","48-49","74","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,13,12,233366,0,0,1456,"",0.71,0.67,0.72,0.62,2.18,0.00,0.00,3.25,"",0,0.0,1,9.1,2,18.2,0,0.0,28617,14.0,0,0.0,0,0.0,66,4.7
"72003","1","491","75","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,12,12,179509,0,0,1218,"",0.71,0.56,0.66,0.66,2.23,0.00,0.00,3.55,"",0,0.0,-1,-9.1,-1,-7.7,-1,-7.7,-64303,-26.4,0,0.0,0,0.0,-303,-19.9
"72003","1","491","75","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,173944,0,0,1115,"",0.71,0.67,0.66,0.68,2.09,0.00,0.00,3.11,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-4405,-2.5,0,0.0,0,0.0,-28,-2.4
"72003","1","491","75","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,12,209791,0,0,1345,"",0.72,0.72,0.71,0.69,2.33,0.00,0.00,3.31,"",0,0.0,1,9.1,2,20.0,2,20.0,1854,0.9,0,0.0,0,0.0,-203,-13.1
"72003","1","491","75","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,13,12,233366,0,0,1456,"",0.71,0.69,0.74,0.63,2.26,0.00,0.00,3.30,"",0,0.0,1,9.1,2,18.2,0,0.0,28617,14.0,0,0.0,0,0.0,66,4.7
"72003","1","4911","76","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,12,12,179509,0,0,1218,"",0.71,0.56,0.66,0.66,2.23,0.00,0.00,3.55,"",0,0.0,-1,-9.1,-1,-7.7,-1,-7.7,-64303,-26.4,0,0.0,0,0.0,-303,-19.9
"72003","1","4911","76","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,173944,0,0,1115,"",0.71,0.67,0.66,0.68,2.09,0.00,0.00,3.11,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-4405,-2.5,0,0.0,0,0.0,-28,-2.4
"72003","1","4911","76","0","2016","3","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,12,209791,0,0,1345,"",0.72,0.72,0.71,0.69,2.33,0.00,0.00,3.31,"",0,0.0,1,9.1,2,20.0,2,20.0,1854,0.9,0,0.0,0,0.0,-203,-13.1
"72003","1","4911","76","0","2016","4","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,13,12,233366,0,0,1456,"",0.71,0.69,0.74,0.63,2.26,0.00,0.00,3.30,"",0,0.0,1,9.1,2,18.2,0,0.0,28617,14.0,0,0.0,0,0.0,66,4.7
"72003","1","49111","77","0","2016","1","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,12,12,179509,0,0,1218,"",0.71,0.56,0.66,0.66,2.23,0.00,0.00,3.55,"",0,0.0,-1,-9.1,-1,-7.7,-1,-7.7,-64303,-26.4,0,0.0,0,0.0,-303,-19.9
"72003","1","49111","77","0","2016","2","","Aguada Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,12,12,173944,0,0,1115,"",0.71,0.67,0.66,0.68,2.09,0.00,0.00,3.11,"",0,0.0,-1,-7.7,0,0.0,1,9.1,-4405,-2.5,0,0.0,0,0.0,-28,-2.4
