"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72055","0","10","70","0","2016","1","","Guanica Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",126,2384,2431,2484,11062111,5378482,238255,350,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,164,7.4,272,12.6,262,11.8,1021650,10.2,644244,13.6,28536,13.6,-1,-0.3
"72055","0","10","70","0","2016","2","","Guanica Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",129,2467,2476,2456,11223193,3810266,174908,350,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.8,168,7.3,167,7.2,141,6.1,611335,5.8,393678,11.5,18056,11.5,-4,-1.1
"72055","0","10","70","0","2016","3","","Guanica Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",125,2480,2534,2565,11823034,1795296,79327,360,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.3,184,8.0,210,9.0,210,8.9,1142684,10.7,266811,17.5,11369,16.7,7,2.0
"72055","0","10","70","0","2016","4","","Guanica Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",124,2551,2348,2419,11657850,955177,40776,368,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.6,253,11.0,20,0.9,48,2.0,-210372,-1.8,3442,0.4,521,1.3,-23,-5.9
"72055","1","10","71","0","2016","1","","Guanica Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,14,19,23,274354,0,0,1131,"",3.78,0.30,0.39,0.47,0.87,0.00,0.00,2.25,"",0,0.0,-2,-12.5,3,18.8,3,15.0,38227,16.2,0,0.0,0,0.0,83,7.9
"72055","1","10","71","0","2016","2","","Guanica Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,25,25,26,279462,0,0,849,"",3.73,0.52,0.52,0.54,0.91,0.00,0.00,1.73,"",0,0.0,6,31.6,4,19.0,4,18.2,20242,7.8,0,0.0,0,0.0,-116,-12.0
"72055","1","10","71","0","2016","3","","Guanica Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,28,27,28,329888,0,0,917,"",3.88,0.57,0.54,0.56,0.90,0.00,0.00,1.62,"",0,0.0,6,27.3,5,22.7,6,27.3,23980,7.8,0,0.0,0,0.0,-153,-14.3
"72055","1","10","71","0","2016","4","","Guanica Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,28,28,17,337283,0,0,1066,"",3.94,0.56,0.61,0.36,1.03,0.00,0.00,2.01,"",0,0.0,6,27.3,6,27.3,2,13.3,47340,16.3,0,0.0,0,0.0,-68,-6.0
"72055","1","102","72","0","2016","1","","Guanica Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,14,19,23,274354,0,0,1131,"",3.79,0.30,0.40,0.48,0.89,0.00,0.00,2.25,"",0,0.0,-2,-12.5,3,18.8,3,15.0,38227,16.2,0,0.0,0,0.0,83,7.9
"72055","1","102","72","0","2016","2","","Guanica Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,25,25,26,279462,0,0,849,"",3.74,0.53,0.53,0.55,0.92,0.00,0.00,1.73,"",0,0.0,6,31.6,4,19.0,4,18.2,20242,7.8,0,0.0,0,0.0,-116,-12.0
