"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72125","0","10","70","0","2016","1","","San German Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",396,8226,8182,8385,46530204,22702308,842222,433,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.5,-529,-6.0,-693,-7.8,-612,-6.8,-3108307,-6.3,-1756725,-7.2,-109490,-11.5,3,0.7
"72125","0","10","70","0","2016","2","","San German Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",401,8723,8724,8900,47587694,12583393,488241,417,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.8,-344,-3.8,-257,-2.9,107,1.2,-1993164,-4.0,405181,3.3,1277,0.3,-9,-2.1
"72125","0","10","70","0","2016","3","","San German Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",400,8803,8696,9387,49334828,5859752,240206,423,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.5,39,0.4,2,0.0,548,6.2,1037958,2.1,523079,9.8,28109,13.3,-1,-0.2
"72125","0","10","70","0","2016","4","","San German Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",395,9220,9288,9295,57401138,4998791,221410,476,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,200,2.2,302,3.4,135,1.5,696654,1.2,776509,18.4,47971,27.7,-6,-1.2
"72125","1","10","71","0","2016","1","","San German Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,15,15,15,200842,0,0,1030,"",0.80,0.09,0.09,0.09,0.15,0.00,0.00,1.66,"",-1,-33.3,-1,-6.2,-3,-16.7,-3,-16.7,-112050,-35.8,0,0.0,0,0.0,-359,-25.8
"72125","1","10","71","0","2016","2","","San German Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,14,13,14,201321,0,0,1133,"",0.80,0.08,0.08,0.08,0.15,0.00,0.00,1.94,"",-1,-33.3,-2,-12.5,-2,-13.3,-2,-12.5,-20093,-9.1,0,0.0,0,0.0,46,4.2
"72125","1","10","71","0","2016","3","","San German Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,13,15,16,227989,0,0,1196,"",0.81,0.07,0.09,0.09,0.15,0.00,0.00,1.80,"",-1,-33.3,-2,-13.3,-1,-6.2,-1,-5.9,-33943,-13.0,0,0.0,0,0.0,-63,-5.0
"72125","1","10","71","0","2016","4","","San German Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,13,13,13,245773,0,0,1454,"",0.82,0.07,0.07,0.07,0.15,0.00,0.00,2.12,"",-1,-33.3,-4,-23.5,-5,-27.8,-5,-27.8,-62440,-20.3,0,0.0,0,0.0,112,8.3
"72125","1","102","72","0","2016","1","","San German Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,15,15,15,200842,0,0,1030,"",0.80,0.09,0.09,0.09,0.15,0.00,0.00,1.65,"",-1,-33.3,-1,-6.2,-3,-16.7,-3,-16.7,-112050,-35.8,0,0.0,0,0.0,-359,-25.8
"72125","1","102","72","0","2016","2","","San German Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,14,13,14,201321,0,0,1133,"",0.80,0.08,0.08,0.08,0.16,0.00,0.00,1.94,"",-1,-33.3,-2,-12.5,-2,-13.3,-2,-12.5,-20093,-9.1,0,0.0,0,0.0,46,4.2
