"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72153","0","10","70","0","2016","1","","Yauco Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",443,6136,6170,6192,28676377,14461382,422607,358,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.3,-91,-1.5,-23,-0.4,-1,0.0,-612810,-2.1,15101,0.1,-46372,-9.9,-5,-1.4
"72153","0","10","70","0","2016","2","","Yauco Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",446,6176,6006,6007,28968020,7127815,219707,368,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.4,64,1.0,79,1.3,146,2.5,72922,0.3,-31142,-0.4,-14841,-6.3,-5,-1.3
"72153","0","10","70","0","2016","3","","Yauco Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",434,5948,5902,5945,29575626,3580190,113286,384,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,240,4.2,-62,-1.0,-21,-0.4,1111093,3.9,74264,2.1,-1724,-1.5,12,3.2
"72153","0","10","70","0","2016","4","","Yauco Municipio, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",427,5905,5951,6124,33035640,2582789,82352,424,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.8,-36,-0.6,-1,0.0,58,1.0,-22314,-0.1,51365,2.0,9,0.0,-1,-0.2
"72153","1","10","71","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,18,17,17,272654,0,0,1210,"",0.72,0.15,0.14,0.14,0.33,0.00,0.00,2.35,"",-1,-33.3,-4,-18.2,-5,-22.7,-4,-19.0,-73743,-21.3,0,0.0,0,0.0,-20,-1.6
"72153","1","10","71","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,16,17,17,250598,0,0,1157,"",0.72,0.13,0.14,0.14,0.32,0.00,0.00,2.24,"",-1,-33.3,-6,-27.3,-5,-22.7,-4,-19.0,-62703,-20.0,0,0.0,0,0.0,45,4.0
"72153","1","10","71","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,16,18,18,301259,0,0,1337,"",0.75,0.14,0.15,0.15,0.33,0.00,0.00,2.22,"",-1,-33.3,-6,-27.3,-4,-18.2,-4,-18.2,-58046,-16.2,0,0.0,0,0.0,81,6.4
"72153","1","10","71","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,17,19,19,328350,0,0,1378,"",0.76,0.15,0.16,0.16,0.35,0.00,0.00,2.26,"",-1,-33.3,-5,-22.7,-3,-13.6,-3,-13.6,-31790,-8.8,0,0.0,0,0.0,119,9.5
"72153","1","102","72","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,18,17,17,272654,0,0,1210,"",0.72,0.15,0.14,0.14,0.34,0.00,0.00,2.35,"",-1,-33.3,-4,-18.2,-5,-22.7,-4,-19.0,-73743,-21.3,0,0.0,0,0.0,-20,-1.6
"72153","1","102","72","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,16,17,17,250598,0,0,1157,"",0.72,0.13,0.15,0.15,0.32,0.00,0.00,2.24,"",-1,-33.3,-6,-27.3,-5,-22.7,-4,-19.0,-62703,-20.0,0,0.0,0,0.0,45,4.0
"72153","1","102","72","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,16,18,18,301259,0,0,1337,"",0.75,0.14,0.16,0.16,0.33,0.00,0.00,2.22,"",-1,-33.3,-6,-27.3,-4,-18.2,-4,-18.2,-58046,-16.2,0,0.0,0,0.0,81,6.4
"72153","1","102","72","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,17,19,19,328350,0,0,1378,"",0.76,0.15,0.17,0.16,0.36,0.00,0.00,2.26,"",-1,-33.3,-5,-22.7,-3,-13.6,-3,-13.6,-31790,-8.8,0,0.0,0,0.0,119,9.5
"72153","1","1021","73","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.72,0.54,0.50,0.54,1.72,0.00,0.00,3.26,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","1021","73","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.72,0.51,0.56,0.56,1.66,0.00,0.00,3.06,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","1021","73","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.75,0.53,0.60,0.60,1.75,0.00,0.00,3.04,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","1021","73","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.76,0.57,0.64,0.60,1.59,0.00,0.00,2.65,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","1028","73","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,1,29106,0,0,1343,"",0.88,0.03,0.03,0.02,0.06,0.00,0.00,2.27,"",-1,-50.0,-1,-33.3,-2,-50.0,-2,-66.7,-7905,-21.4,0,0.0,0,0.0,489,57.3
"72153","1","1028","73","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,10541,0,0,811,"",0.88,0.02,0.02,0.02,0.02,0.00,0.00,1.40,"",-1,-50.0,-3,-75.0,-3,-75.0,-3,-75.0,-43877,-80.6,0,0.0,0,0.0,-236,-22.5
"72153","1","1028","73","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12298,0,0,946,"",0.91,0.02,0.02,0.02,0.02,0.00,0.00,1.39,"",-1,-50.0,-3,-75.0,-4,-80.0,-4,-80.0,-54255,-81.5,0,0.0,0,0.0,-151,-13.8
"72153","1","1028","73","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,27637,0,0,2126,"",0.94,0.02,0.02,0.02,0.05,0.00,0.00,3.19,"",-1,-50.0,-4,-80.0,-4,-80.0,-5,-83.3,-47495,-63.2,0,0.0,0,0.0,1042,96.1
"72153","1","48-49","74","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.74,0.60,0.55,0.59,1.85,0.00,0.00,3.20,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","48-49","74","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.74,0.56,0.61,0.61,1.79,0.00,0.00,3.01,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","48-49","74","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.77,0.58,0.66,0.66,1.87,0.00,0.00,2.97,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","48-49","74","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.79,0.62,0.70,0.65,1.72,0.00,0.00,2.61,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","491","75","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.74,0.61,0.56,0.60,1.95,0.00,0.00,3.30,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","491","75","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.75,0.57,0.63,0.62,1.87,0.00,0.00,3.08,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","491","75","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.77,0.59,0.67,0.67,1.96,0.00,0.00,3.04,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","491","75","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.79,0.64,0.71,0.66,1.78,0.00,0.00,2.65,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","4911","76","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.74,0.61,0.56,0.60,1.95,0.00,0.00,3.30,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","4911","76","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.75,0.57,0.63,0.62,1.87,0.00,0.00,3.08,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","4911","76","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.77,0.59,0.67,0.67,1.96,0.00,0.00,3.04,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","4911","76","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.79,0.64,0.71,0.66,1.78,0.00,0.00,2.65,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","49111","77","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.74,0.61,0.56,0.60,1.95,0.00,0.00,3.30,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","49111","77","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.75,0.57,0.63,0.62,1.87,0.00,0.00,3.08,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","49111","77","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.77,0.59,0.67,0.67,1.96,0.00,0.00,3.04,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","49111","77","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.79,0.64,0.71,0.66,1.78,0.00,0.00,2.65,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","491110","78","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,15,16,243548,0,0,1196,"",0.74,0.61,0.56,0.60,1.95,0.00,0.00,3.30,"",0,0.0,-3,-15.8,-3,-16.7,-2,-11.1,-65838,-21.3,0,0.0,0,0.0,-102,-7.9
"72153","1","491110","78","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,16,16,240057,0,0,1179,"",0.75,0.57,0.63,0.62,1.87,0.00,0.00,3.08,"",0,0.0,-3,-16.7,-2,-11.1,-1,-5.9,-18826,-7.3,0,0.0,0,0.0,52,4.6
"72153","1","491110","78","0","2016","3","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,17,17,288961,0,0,1361,"",0.77,0.59,0.67,0.67,1.96,0.00,0.00,3.04,"",0,0.0,-3,-16.7,0,0.0,0,0.0,-3791,-1.3,0,0.0,0,0.0,62,4.8
"72153","1","491110","78","0","2016","4","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,18,18,300713,0,0,1335,"",0.79,0.64,0.71,0.66,1.78,0.00,0.00,2.65,"",0,0.0,-1,-5.9,1,5.9,2,12.5,15705,5.5,0,0.0,0,0.0,20,1.5
"72153","1","92","74","0","2016","1","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,1,29106,0,0,1343,"",0.88,0.03,0.03,0.02,0.06,0.00,0.00,2.27,"",-1,-50.0,-1,-33.3,-2,-50.0,-2,-66.7,-7905,-21.4,0,0.0,0,0.0,489,57.3
"72153","1","92","74","0","2016","2","","Yauco Municipio, Puerto Rico","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,10541,0,0,811,"",0.88,0.02,0.02,0.02,0.02,0.00,0.00,1.40,"",-1,-50.0,-3,-75.0,-3,-75.0,-3,-75.0,-43877,-80.6,0,0.0,0,0.0,-236,-22.5
