"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"72999","0","10","70","0","2016","1","","Unknown Or Undefined, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",277,1919,2021,1937,25838829,7779527,264866,1015,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-7.0,37,2.0,68,3.5,29,1.5,1011246,4.1,-1230050,-13.7,-56203,-17.5,17,1.7
"72999","0","10","70","0","2016","2","","Unknown Or Undefined, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",279,2146,2130,2113,22898667,3048726,124458,827,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-6.1,570,36.2,472,28.5,346,19.6,1401731,6.5,119972,4.1,15100,13.8,-165,-16.6
"72999","0","10","70","0","2016","3","","Unknown Or Undefined, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",268,1799,1796,1799,23181567,1079819,36798,992,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-6.6,110,6.5,80,4.7,63,3.6,1342905,6.1,-232279,-17.7,-9722,-20.9,12,1.2
"72999","0","10","70","0","2016","4","","Unknown Or Undefined, Puerto Rico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",268,1831,1823,1937,27690952,1504874,52646,1143,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-5.6,61,3.4,6,0.3,124,6.8,4962713,21.8,474815,46.1,15026,39.9,172,17.7
"72999","1","10","71","0","2016","1","","Unknown Or Undefined, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,263,257,268,5115306,0,0,1498,"",13.19,6.90,6.42,7.01,6.96,0.00,0.00,1.03,"",3,15.0,48,22.3,22,9.4,45,20.2,815371,19.0,0,0.0,0,0.0,24,1.6
"72999","1","10","71","0","2016","2","","Unknown Or Undefined, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,269,269,272,4861490,0,0,1385,"",13.22,6.40,6.46,6.54,7.74,0.00,0.00,1.20,"",3,15.0,51,23.4,47,21.2,40,17.2,1036065,27.1,0,0.0,0,0.0,71,5.4
"72999","1","10","71","0","2016","3","","Unknown Or Undefined, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,275,286,284,5926624,0,0,1619,"",13.88,7.69,8.04,8.03,8.25,0.00,0.00,1.04,"",0,0.0,27,10.9,41,16.7,46,19.3,765110,14.8,0,0.0,0,0.0,-10,-0.6
"72999","1","10","71","0","2016","4","","Unknown Or Undefined, Puerto Rico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,261,260,256,5227610,0,0,1553,"",13.98,7.30,7.32,6.71,6.70,0.00,0.00,0.94,"",0,0.0,4,1.6,2,0.8,-7,-2.7,471913,9.9,0,0.0,0,0.0,142,10.1
"72999","1","102","72","0","2016","1","","Unknown Or Undefined, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,263,257,268,5115306,0,0,1498,"",13.22,7.02,6.54,7.13,7.08,0.00,0.00,1.03,"",3,15.0,48,22.3,22,9.4,45,20.2,815371,19.0,0,0.0,0,0.0,24,1.6
"72999","1","102","72","0","2016","2","","Unknown Or Undefined, Puerto Rico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,269,269,272,4861490,0,0,1385,"",13.24,6.52,6.57,6.66,7.88,0.00,0.00,1.20,"",3,15.0,51,23.4,47,21.2,40,17.2,1036065,27.1,0,0.0,0,0.0,71,5.4
