"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1058","0","10","40","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",23336,430021,433538,434952,5497016496,1970302121,64341345,977,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-91,-0.4,4369,1.0,6028,1.4,6514,1.5,85907415,1.6,76635922,4.0,-10042669,-13.5,3,0.3
"C1058","0","10","40","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",23511,441503,442739,446632,5959765401,639390799,22644700,1033,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,0.1,8350,1.9,4123,0.9,4484,1.0,369287786,6.6,28571139,4.7,-3173270,-12.3,51,5.2
"C1058","0","10","40","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",23668,433574,434297,442291,5773885332,418408665,14857615,1017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,0.1,6030,1.4,7889,1.9,7204,1.7,321460574,5.9,10032391,2.5,-2105809,-12.4,41,4.2
"C1058","0","10","40","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",23755,448721,447718,446274,6020186809,310347440,10672251,1035,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,0.1,6637,1.5,5451,1.2,5548,1.3,-92385481,-1.5,-3752409,-1.2,-2213132,-17.2,-30,-2.8
"C1058","1","10","41","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",189,6333,6376,6411,112909716,0,0,1363,"",1.29,0.74,0.74,0.75,0.72,0.00,0.00,0.97,"",-3,-1.6,-2,0.0,48,0.8,73,1.2,-7042884,-5.9,0,0.0,0,0.0,-94,-6.5
"C1058","1","10","41","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",191,6360,6388,6408,104725707,0,0,1262,"",1.30,0.74,0.74,0.73,0.64,0.00,0.00,0.87,"",-3,-1.5,-15,-0.2,47,0.7,62,1.0,-1775883,-1.7,0,0.0,0,0.0,-27,-2.1
"C1058","1","10","41","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",193,6440,6463,6485,123343744,0,0,1468,"",1.32,0.75,0.75,0.75,0.69,0.00,0.00,0.92,"",0,0.0,49,0.8,87,1.4,148,2.3,4612583,3.9,0,0.0,0,0.0,34,2.4
"C1058","1","10","41","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",192,6440,6475,6491,119231821,0,0,1418,"",1.32,0.74,0.74,0.74,0.70,0.00,0.00,0.95,"",-2,-1.0,62,1.0,103,1.6,78,1.2,4156665,3.6,0,0.0,0,0.0,32,2.3
"C1058","2","10","41","0","2016","1","","Albany-Schenectady-Troy, NY MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",371,48535,48987,49251,710442241,67899,3495,1117,"",2.21,3.49,3.44,3.46,3.87,0.01,0.14,1.12,"",6,1.6,-125,-0.3,75,0.2,-150,-0.3,19844041,2.9,2691,4.1,-1365,-28.1,33,3.0
"C1058","2","10","41","0","2016","2","","Albany-Schenectady-Troy, NY MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",374,49319,48928,47958,832763118,2489,115,1314,"",2.23,3.43,3.43,3.40,3.94,0.00,0.01,1.15,"",8,2.2,46,0.1,-173,-0.4,-141,-0.3,109832068,15.2,-2885,-53.7,-351,-75.3,175,15.4
"C1058","2","10","41","0","2016","3","","Albany-Schenectady-Troy, NY MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",376,48158,47837,48805,757821093,3604,159,1208,"",2.24,3.48,3.47,3.42,3.70,0.00,0.01,1.07,"",8,2.2,364,0.8,211,0.4,506,1.0,-45155964,-5.6,2099,139.5,54,51.4,-81,-6.3
"C1058","2","10","41","0","2016","4","","Albany-Schenectady-Troy, NY MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",378,48857,48792,48830,826875180,908,40,1303,"",2.26,3.38,3.39,3.41,4.15,0.00,0.00,1.22,"",9,2.4,459,0.9,424,0.9,476,1.0,12880249,1.6,341,60.1,0,0.0,9,0.7
"C1058","3","10","41","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",452,42762,43947,43672,510332016,3467726,70207,903,"",1.10,0.98,0.99,0.98,1.06,0.17,0.20,1.08,"",3,0.7,239,0.6,64,0.1,302,0.7,-8219938,-1.6,-42321,-1.2,-18694,-21.0,-19,-2.1
"C1058","3","10","41","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",452,44223,43975,44912,621379535,898106,20852,1077,"",1.10,0.99,0.98,1.02,1.07,0.09,0.15,1.08,"",2,0.4,754,1.7,-367,-0.8,-389,-0.9,31749700,5.4,38578,4.5,-4968,-19.2,55,5.4
"C1058","3","10","41","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",453,30960,30890,41696,380903711,921491,20163,849,"",1.10,0.83,0.79,0.95,0.79,0.13,0.23,0.91,"",1,0.2,-145,-0.5,1201,4.0,998,2.5,27176094,7.7,56654,6.6,-3206,-13.7,45,5.6
"C1058","3","10","41","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",453,44026,44312,44663,541885542,427118,7937,940,"",1.11,0.98,0.98,1.00,1.02,0.07,0.13,1.03,"",1,0.2,-146,-0.3,-81,-0.2,215,0.5,-21771595,-3.9,14573,3.5,-2940,-27.0,-38,-3.9
"C1058","5","10","41","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22324,332391,334228,335618,4163332523,1966766496,64267643,959,"",0.99,0.91,0.91,0.91,0.89,1.01,1.00,0.98,"",-97,-0.4,4257,1.3,5841,1.8,6289,1.9,81326196,2.0,76675552,4.1,-10022610,-13.5,3,0.3
"C1058","5","10","41","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22494,341601,343448,347354,4400897041,638490204,22623733,984,"",0.99,0.91,0.92,0.92,0.88,1.02,1.01,0.96,"",20,0.1,7565,2.3,4616,1.4,4952,1.4,229481901,5.5,28535446,4.7,-3167951,-12.3,36,3.8
"C1058","5","10","41","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22646,348016,349107,345305,4511816784,417483570,14837293,999,"",0.99,0.93,0.94,0.92,0.92,1.02,1.01,0.99,"",15,0.1,5762,1.7,6390,1.9,5552,1.6,334827861,8.0,9973638,2.4,-2102657,-12.4,58,6.2
"C1058","5","10","41","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22732,349398,348139,346290,4532194266,309919414,10664274,1002,"",0.99,0.92,0.92,0.92,0.89,1.03,1.01,0.97,"",12,0.1,6262,1.8,5005,1.5,4779,1.4,-87650800,-1.9,-3767323,-1.2,-2210192,-17.2,-35,-3.4
"C1058","5","101","42","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2942,43400,42856,43331,762134562,398024249,18013462,1357,"",0.97,0.69,0.68,0.68,0.83,0.90,0.99,1.22,"",-51,-1.7,673,1.6,658,1.6,829,2.0,5083448,0.7,12197347,3.2,-2387817,-11.7,-14,-1.0
"C1058","5","101","42","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2940,44893,46298,47276,829453953,92356097,5657213,1382,"",0.97,0.69,0.71,0.71,0.82,0.72,0.93,1.15,"",-39,-1.3,784,1.8,436,1.0,268,0.6,2280415,0.3,-4512615,-4.7,-812849,-12.6,-12,-0.9
"C1058","5","101","42","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2959,47976,48106,47587,867543891,59732415,3515322,1393,"",0.97,0.73,0.74,0.73,0.87,0.77,0.92,1.18,"",-12,-0.4,351,0.7,405,0.8,739,1.6,62867884,7.8,-14299350,-19.3,-862381,-19.7,87,6.7
"C1058","5","101","42","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2934,47641,46336,45320,856629639,39290238,2191220,1419,"",0.96,0.72,0.71,0.70,0.83,0.77,0.90,1.17,"",-16,-0.5,1302,2.8,672,1.5,594,1.3,-41586510,-4.6,-1214482,-3.0,-356779,-14.0,-97,-6.4
"C1058","5","1011","43","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",157,1415,1384,1482,14919563,11595201,633848,804,"",0.47,0.26,0.25,0.27,0.19,0.33,0.51,0.72,"",0,0.0,120,9.3,104,8.1,160,12.1,2957957,24.7,1733220,17.6,125915,24.8,96,13.6
"C1058","5","1011","43","0","2016","2","","Albany-Schenectady-Troy, NY MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",155,1627,1796,1876,18581867,5408924,315983,809,"",0.46,0.28,0.30,0.30,0.22,0.41,0.52,0.76,"",0,0.0,103,6.8,44,2.5,120,6.8,1751956,10.4,-71770,-1.3,5255,1.7,37,4.8
"C1058","5","1011","43","0","2016","3","","Albany-Schenectady-Troy, NY MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",154,1898,1940,2027,20653787,3544659,204017,813,"",0.46,0.31,0.32,0.33,0.26,0.37,0.45,0.80,"",-4,-2.5,71,3.9,63,3.4,69,3.5,1926124,10.3,13281,0.4,-11835,-5.5,50,6.6
"C1058","5","1011","43","0","2016","4","","Albany-Schenectady-Troy, NY MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",153,2023,1839,1732,20062590,2163839,108700,828,"",0.46,0.33,0.32,0.32,0.25,0.34,0.38,0.77,"",-4,-2.5,82,4.2,112,6.5,66,4.0,444337,2.3,2017,0.1,-6128,-5.3,-21,-2.5
"C1058","5","1012","43","0","2016","1","","Albany-Schenectady-Troy, NY MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2160,16256,15756,16131,238859207,149386210,9732162,1145,"",1.16,0.84,0.81,0.82,0.95,1.10,1.33,1.16,"",-51,-2.3,-732,-4.3,-714,-4.3,-498,-3.0,-5193600,-2.1,-2960407,-1.9,-1557517,-13.8,21,1.9
