"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1390","0","10","40","0","2016","1","","Bismarck, ND MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4789,70183,70543,70721,826661283,501858434,4580903,902,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",99,2.1,28,0.0,221,0.3,-15,0.0,-11811158,-1.4,-3475264,-0.7,1284557,39.0,-14,-1.5
"C1390","0","10","40","0","2016","2","","Bismarck, ND MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4835,71842,72148,72639,840609244,426686774,5029738,895,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",80,1.7,-5,0.0,-684,-0.9,-742,-1.0,5832,0.0,9279992,2.2,1467554,41.2,5,0.6
"C1390","0","10","40","0","2016","3","","Bismarck, ND MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4869,71879,71651,71901,881248044,321141727,4476451,944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",73,1.5,-895,-1.2,-950,-1.3,-573,-0.8,4055233,0.5,10313090,3.3,1284614,40.2,15,1.6
"C1390","0","10","40","0","2016","4","","Bismarck, ND MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4886,72476,72100,71084,910189840,209148033,2720405,974,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",84,1.7,-859,-1.2,-1049,-1.4,-1255,-1.7,-39494721,-4.2,-3234642,-1.5,784313,40.5,-28,-2.8
"C1390","1","10","41","0","2016","1","","Bismarck, ND MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,1399,1406,1413,25386961,0,0,1389,"",2.09,1.00,1.01,1.01,1.08,0.00,0.00,1.07,"",-2,-3.1,21,1.5,34,2.5,36,2.6,1383183,5.8,0,0.0,0,0.0,47,3.5
"C1390","1","10","41","0","2016","2","","Bismarck, ND MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,1427,1462,1481,23231432,0,0,1227,"",2.09,1.01,1.04,1.04,1.01,0.00,0.00,0.98,"",0,0.0,52,3.8,81,5.9,87,6.2,305987,1.3,0,0.0,0,0.0,-48,-3.8
"C1390","1","10","41","0","2016","3","","Bismarck, ND MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,1477,1470,1467,27602175,0,0,1443,"",2.09,1.03,1.04,1.04,1.01,0.00,0.00,0.98,"",0,0.0,84,6.0,46,3.2,56,4.0,2487195,9.9,0,0.0,0,0.0,72,5.3
"C1390","1","10","41","0","2016","4","","Bismarck, ND MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,1457,1461,1484,25427016,0,0,1333,"",2.10,1.03,1.04,1.06,0.99,0.00,0.00,0.95,"",0,0.0,69,5.0,39,2.7,57,4.0,839403,3.4,0,0.0,0,0.0,-6,-0.4
"C1390","2","10","41","0","2016","1","N","Bismarck, ND MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,0,0,0,0,0,0,0,"N",2.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","2","10","41","0","2016","2","N","Bismarck, ND MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,0,0,0,0,0,0,0,"N",2.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","2","10","41","0","2016","3","N","Bismarck, ND MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,0,0,0,0,0,0,0,"N",2.49,0,0,0,0,0,0,0,"N",-1,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","2","10","41","0","2016","4","N","Bismarck, ND MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",86,0,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","3","10","41","0","2016","1","N","Bismarck, ND MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",68,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",-2,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","3","10","41","0","2016","2","N","Bismarck, ND MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",67,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",-2,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1390","3","10","41","0","2016","3","N","Bismarck, ND MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",67,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",-1,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
