"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1698","0","10","40","0","2016","1","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",267119,4349097,4354515,4378987,67586019813,28962848934,882411563,1192,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4059,-1.5,84542,2.0,80337,1.9,75323,1.8,797701246,1.2,582105418,2.1,-76529087,-8.0,-8,-0.7
"C1698","0","10","40","0","2016","2","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",270167,4431606,4466341,4505618,62948898392,10509477458,318559781,1084,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4506,-1.6,71584,1.6,47011,1.1,44401,1.0,2055411542,3.4,247082068,2.4,-28218185,-8.1,23,2.2
"C1698","0","10","40","0","2016","3","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",272174,4459795,4472973,4485284,64344843819,6245687813,187964045,1107,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5379,-1.9,59908,1.4,57697,1.3,57288,1.3,3243677975,5.3,163689624,2.7,-14264680,-7.1,42,3.9
"C1698","0","10","40","0","2016","4","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",274448,4499926,4510215,4501256,69151099198,4703518408,140722315,1181,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2064,-0.7,46706,1.0,51360,1.2,35548,0.8,-698392431,-1.0,-205740214,-4.2,-20669249,-12.8,-24,-2.0
"C1698","1","10","41","0","2016","1","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",654,53381,53442,53579,1055341634,0,0,1518,"",0.39,0.62,0.62,0.62,0.55,0.00,0.00,0.89,"",-9,-1.4,-243,-0.5,125,0.2,255,0.5,-90316875,-7.9,0,0.0,0,0.0,-132,-8.0
"C1698","1","10","41","0","2016","2","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",653,53616,53859,54038,977842314,0,0,1397,"",0.39,0.62,0.62,0.61,0.57,0.00,0.00,0.92,"",-6,-0.9,-721,-1.3,536,1.0,704,1.3,11935024,1.2,0,0.0,0,0.0,12,0.9
"C1698","1","10","41","0","2016","3","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",653,53997,53823,53857,1135378712,0,0,1621,"",0.39,0.61,0.61,0.61,0.57,0.00,0.00,0.93,"",-5,-0.8,463,0.9,422,0.8,499,0.9,13877345,1.2,0,0.0,0,0.0,6,0.4
"C1698","1","10","41","0","2016","4","","Chicago-Naperville-Elgin, IL-IN-WI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",653,53913,54139,55666,1110409875,0,0,1565,"",0.39,0.61,0.62,0.63,0.57,0.00,0.00,0.92,"",-6,-0.9,574,1.1,502,0.9,846,1.5,56573566,5.4,0,0.0,0,0.0,62,4.1
"C1698","2","10","41","0","2016","1","","Chicago-Naperville-Elgin, IL-IN-WI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",88,34132,34682,34838,527189773,0,0,1174,"",0.05,0.24,0.24,0.24,0.23,0.00,0.00,0.96,"",-18,-17.0,-884,-2.5,-771,-2.2,-815,-2.3,-15596756,-2.9,0,0.0,0,0.0,-6,-0.5
"C1698","2","10","41","0","2016","2","","Chicago-Naperville-Elgin, IL-IN-WI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",89,34436,34309,33024,545883493,0,0,1238,"",0.05,0.24,0.24,0.23,0.24,0.00,0.00,1.03,"",-17,-16.0,-977,-2.8,-683,-2.0,-621,-1.8,9628379,1.8,0,0.0,0,0.0,49,4.1
