"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1790","0","10","40","0","2016","1","","Columbia, SC MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18094,364090,366393,367180,3939985324,2061010939,30505076,828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",141,0.8,8526,2.4,8570,2.4,8129,2.3,117016662,3.1,82881829,4.2,-6505423,-17.6,5,0.6
"C1790","0","10","40","0","2016","2","","Columbia, SC MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18405,370535,372367,370221,3951987146,1002429421,15079405,819,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",559,3.1,9478,2.6,9093,2.5,8351,2.3,186396085,4.9,82023521,8.9,-2298866,-13.2,19,2.4
"C1790","0","10","40","0","2016","3","","Columbia, SC MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18328,369030,371231,373259,4141758410,569194529,8690070,858,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",53,0.3,8142,2.3,8240,2.3,8073,2.2,347139285,9.1,68171890,13.6,-685840,-7.3,54,6.7
"C1790","0","10","40","0","2016","4","","Columbia, SC MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",18521,374255,378897,378216,4211037303,443818685,7098728,859,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",334,1.8,5516,1.5,4885,1.3,3136,0.8,-16762351,-0.4,-6070068,-1.3,-2245556,-24.0,-14,-1.6
"C1790","1","10","41","0","2016","1","","Columbia, SC MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",157,10198,10190,10206,163591027,0,0,1234,"",1.38,1.41,1.40,1.41,1.46,0.00,0.00,1.04,"",-3,-1.9,166,1.7,125,1.2,151,1.5,-2273954,-1.4,0,0.0,0,0.0,-35,-2.8
"C1790","1","10","41","0","2016","2","","Columbia, SC MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",156,10163,10147,10224,151927094,0,0,1148,"",1.36,1.40,1.39,1.40,1.40,0.00,0.00,1.00,"",-3,-1.9,51,0.5,98,1.0,147,1.5,-2645075,-1.7,0,0.0,0,0.0,-32,-2.7
"C1790","1","10","41","0","2016","3","","Columbia, SC MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",157,10108,10077,10065,172268021,0,0,1314,"",1.39,1.38,1.37,1.37,1.34,0.00,0.00,0.98,"",0,0.0,-1,0.0,-71,-0.7,-100,-1.0,5840258,3.5,0,0.0,0,0.0,52,4.1
"C1790","1","10","41","0","2016","4","","Columbia, SC MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",158,10028,10146,10411,166989350,0,0,1260,"",1.39,1.37,1.37,1.40,1.41,0.00,0.00,1.02,"",-1,-0.6,-111,-1.1,-63,-0.6,-9,-0.1,3300387,2.0,0,0.0,0,0.0,32,2.6
"C1790","2","10","41","0","2016","1","","Columbia, SC MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",210,32681,33276,33536,374090617,666501,8021,868,"",1.61,2.77,2.77,2.79,2.85,0.11,0.66,1.03,"",0,0.0,199,0.6,345,1.0,469,1.4,7731336,2.1,-64671,-8.8,-10894,-57.6,10,1.2
"C1790","2","10","41","0","2016","2","","Columbia, SC MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",210,33646,33566,32613,369101533,471946,6174,853,"",1.60,2.79,2.80,2.79,2.63,0.07,0.44,0.94,"",0,0.0,316,0.9,369,1.1,481,1.5,6007978,1.7,-26492,-5.3,-7326,-54.3,4,0.5
"C1790","2","10","41","0","2016","3","","Columbia, SC MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",209,33687,33390,34269,385319528,324800,4226,877,"",1.61,2.86,2.84,2.84,2.62,0.06,0.40,0.92,"",-2,-0.9,710,2.2,535,1.6,617,1.8,18469394,5.0,24622,8.2,-4359,-50.8,26,3.1
"C1790","2","10","41","0","2016","4","","Columbia, SC MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",209,33937,33997,33950,399913072,234407,3039,906,"",1.60,2.82,2.79,2.80,2.87,0.04,0.25,1.02,"",-2,-0.9,527,1.6,643,1.9,358,1.1,5820395,1.5,85271,57.2,-1227,-28.8,0,0.0
"C1790","3","10","41","0","2016","1","","Columbia, SC MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",312,37777,37970,38082,399326645,12860324,134581,810,"",0.98,1.02,1.01,1.01,1.16,0.59,0.81,1.14,"",-4,-1.3,8,0.0,-66,-0.2,-76,-0.2,11391397,2.9,6286544,95.6,71629,113.8,24,3.1
"C1790","3","10","41","0","2016","2","","Columbia, SC MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",312,38036,38162,37704,436423139,6152909,62563,884,"",0.97,1.01,1.01,1.03,1.13,0.38,0.68,1.11,"",-4,-1.3,59,0.2,152,0.4,630,1.7,18053765,4.3,3072992,99.8,32612,108.9,30,3.5
"C1790","3","10","41","0","2016","3","","Columbia, SC MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",367,35722,36817,37613,438464961,2936148,27961,919,"",1.15,1.12,1.11,1.02,1.26,0.32,0.54,1.17,"",51,16.1,67,0.2,75,0.2,117,0.3,47393311,12.1,1241171,73.2,21,0.1,98,11.9
"C1790","3","10","41","0","2016","4","","Columbia, SC MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",366,37967,38084,38183,425404892,1799595,16736,859,"",1.15,1.01,1.00,1.01,1.14,0.20,0.41,1.14,"",48,15.1,101,0.3,-65,-0.2,170,0.4,-15378621,-3.5,-4384292,-70.9,-71614,-81.1,-33,-3.7
"C1790","5","10","41","0","2016","1","","Columbia, SC MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17415,283434,284957,285356,3002977035,2047484114,30362474,812,"",0.99,0.92,0.92,0.92,0.90,1.01,1.00,0.98,"",148,0.9,8153,3.0,8166,3.0,7585,2.7,100167883,3.5,76659956,3.9,-6566158,-17.8,5,0.6
