"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1814","0","10","40","0","2016","1","","Columbus, OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",46549,973070,973623,979175,12615124315,4940963532,106240068,995,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",919,2.0,19485,2.0,20483,2.1,23208,2.4,222516700,1.8,86983739,1.8,-6193139,-5.5,-4,-0.4
"C1814","0","10","40","0","2016","2","","Columbus, OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",47006,990222,1000253,1001279,12262713197,1506606026,33307450,946,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1273,2.8,20950,2.2,18641,1.9,16931,1.7,386693049,3.3,44165584,3.0,-841276,-2.5,12,1.3
"C1814","0","10","40","0","2016","3","","Columbus, OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",47399,1004319,1008614,1007641,13042941289,988385977,21943686,996,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1241,2.7,20173,2.0,20525,2.1,24625,2.5,1033372699,8.6,40942499,4.3,-498864,-2.2,58,6.2
"C1814","0","10","40","0","2016","4","","Columbus, OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",47559,1016763,1025623,1023966,13204799079,854945987,19128673,994,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1080,2.3,21866,2.2,24180,2.4,21923,2.2,-154230313,-1.2,-5335156,-0.6,-1076061,-5.3,-34,-3.3
"C1814","1","10","41","0","2016","1","","Columbus, OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",218,13951,14091,14069,235468162,0,0,1290,"",0.74,0.72,0.73,0.73,0.66,0.00,0.00,0.90,"",-2,-0.9,296,2.2,460,3.4,449,3.3,-23887542,-9.2,0,0.0,0,0.0,-173,-11.8
"C1814","1","10","41","0","2016","2","","Columbus, OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",217,14083,14079,14161,229736169,0,0,1253,"",0.74,0.73,0.72,0.72,0.68,0.00,0.00,0.95,"",-1,-0.5,275,2.0,380,2.8,407,3.0,7154393,3.2,0,0.0,0,0.0,8,0.6
"C1814","1","10","41","0","2016","3","","Columbus, OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",219,14210,14269,14285,272816114,0,0,1472,"",0.75,0.71,0.71,0.72,0.67,0.00,0.00,0.94,"",3,1.4,484,3.5,564,4.1,555,4.0,12417831,4.8,0,0.0,0,0.0,12,0.8
"C1814","1","10","41","0","2016","4","","Columbus, OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",221,14332,14345,14613,272630833,0,0,1453,"",0.76,0.72,0.72,0.72,0.73,0.00,0.00,1.01,"",7,3.3,496,3.6,377,2.7,464,3.3,33124635,13.8,0,0.0,0,0.0,136,10.3
"C1814","2","10","41","0","2016","1","","Columbus, OH MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",270,56843,56690,56880,971591942,0,0,1316,"",0.81,1.81,1.77,1.77,2.31,0.00,0.00,1.29,"",5,1.9,941,1.7,600,1.1,638,1.1,36904016,3.9,0,0.0,0,0.0,34,2.7
"C1814","2","10","41","0","2016","2","","Columbus, OH MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",272,58002,57119,57080,945343702,0,0,1267,"",0.81,1.80,1.77,1.80,2.17,0.00,0.00,1.21,"",1,0.4,1626,2.9,519,0.9,470,0.8,31094300,3.4,0,0.0,0,0.0,23,1.8
